,location,target,type,quantile,forecast_date,target_end_date,value
0,US,1 day ahead cum death,Point,,2020-06-23,2020-06-24,121945.88727874725
1,53,1 day ahead cum death,Point,,2020-06-23,2020-06-24,1292.5844776854199
2,17,1 day ahead cum death,Point,,2020-06-23,2020-06-24,6736.98455137751
3,06,1 day ahead cum death,Point,,2020-06-23,2020-06-24,5704.93312442188
4,04,1 day ahead cum death,Point,,2020-06-23,2020-06-24,1433.4127496869
5,25,1 day ahead cum death,Point,,2020-06-23,2020-06-24,7911.112020486759
6,55,1 day ahead cum death,Point,,2020-06-23,2020-06-24,756.4860262208971
7,48,1 day ahead cum death,Point,,2020-06-23,2020-06-24,2266.61239267213
8,31,1 day ahead cum death,Point,,2020-06-23,2020-06-24,258.554844736995
9,49,1 day ahead cum death,Point,,2020-06-23,2020-06-24,166.022036838298
10,41,1 day ahead cum death,Point,,2020-06-23,2020-06-24,194.53725535706903
11,12,1 day ahead cum death,Point,,2020-06-23,2020-06-24,3288.31832423995
12,36,1 day ahead cum death,Point,,2020-06-23,2020-06-24,31269.3972119702
13,44,1 day ahead cum death,Point,,2020-06-23,2020-06-24,910.755983569214
14,13,1 day ahead cum death,Point,,2020-06-23,2020-06-24,2725.13913590989
15,33,1 day ahead cum death,Point,,2020-06-23,2020-06-24,345.66053744452904
16,37,1 day ahead cum death,Point,,2020-06-23,2020-06-24,1318.98130369815
17,34,1 day ahead cum death,Point,,2020-06-23,2020-06-24,13055.6375380409
18,08,1 day ahead cum death,Point,,2020-06-23,2020-06-24,1672.55717137648
19,24,1 day ahead cum death,Point,,2020-06-23,2020-06-24,3105.47818665314
20,32,1 day ahead cum death,Point,,2020-06-23,2020-06-24,493.35435316985297
21,47,1 day ahead cum death,Point,,2020-06-23,2020-06-24,551.026742110943
22,15,1 day ahead cum death,Point,,2020-06-23,2020-06-24,17.000045718317498
23,18,1 day ahead cum death,Point,,2020-06-23,2020-06-24,2586.80412757564
24,21,1 day ahead cum death,Point,,2020-06-23,2020-06-24,541.986247602216
25,27,1 day ahead cum death,Point,,2020-06-23,2020-06-24,1438.1765549738097
26,40,1 day ahead cum death,Point,,2020-06-23,2020-06-24,372.86741422626096
27,42,1 day ahead cum death,Point,,2020-06-23,2020-06-24,6500.33372714407
28,45,1 day ahead cum death,Point,,2020-06-23,2020-06-24,686.849020323911
29,11,1 day ahead cum death,Point,,2020-06-23,2020-06-24,538.921103004292
30,20,1 day ahead cum death,Point,,2020-06-23,2020-06-24,262.105329434606
31,29,1 day ahead cum death,Point,,2020-06-23,2020-06-24,984.493554097864
32,50,1 day ahead cum death,Point,,2020-06-23,2020-06-24,56.06660581719321
33,51,1 day ahead cum death,Point,,2020-06-23,2020-06-24,1653.3201036207402
34,09,1 day ahead cum death,Point,,2020-06-23,2020-06-24,4286.47401370405
35,19,1 day ahead cum death,Point,,2020-06-23,2020-06-24,695.8683883972569
36,22,1 day ahead cum death,Point,,2020-06-23,2020-06-24,3149.5708815268604
37,39,1 day ahead cum death,Point,,2020-06-23,2020-06-24,2756.8797077869604
38,26,1 day ahead cum death,Point,,2020-06-23,2020-06-24,6122.75362885382
39,46,1 day ahead cum death,Point,,2020-06-23,2020-06-24,83.9759585941055
40,05,1 day ahead cum death,Point,,2020-06-23,2020-06-24,243.658741283647
41,10,1 day ahead cum death,Point,,2020-06-23,2020-06-24,508.67974268185
42,28,1 day ahead cum death,Point,,2020-06-23,2020-06-24,1000.7443478464301
43,35,1 day ahead cum death,Point,,2020-06-23,2020-06-24,480.63263870107596
44,38,1 day ahead cum death,Point,,2020-06-23,2020-06-24,78.6616844778872
45,56,1 day ahead cum death,Point,,2020-06-23,2020-06-24,20.3798199550979
46,02,1 day ahead cum death,Point,,2020-06-23,2020-06-24,12.077112143201802
47,23,1 day ahead cum death,Point,,2020-06-23,2020-06-24,102.65186146574699
48,01,1 day ahead cum death,Point,,2020-06-23,2020-06-24,879.730902788525
49,16,1 day ahead cum death,Point,,2020-06-23,2020-06-24,89.32024760046
50,30,1 day ahead cum death,Point,,2020-06-23,2020-06-24,21.308338843132802
51,72,1 day ahead cum death,Point,,2020-06-23,2020-06-24,149.589786174234
52,78,1 day ahead cum death,Point,,2020-06-23,2020-06-24,12.0
53,66,1 day ahead cum death,Point,,2020-06-23,2020-06-24,52.8333333333333
54,54,1 day ahead cum death,Point,,2020-06-23,2020-06-24,92.6263413835903
55,69,1 day ahead cum death,Point,,2020-06-23,2020-06-24,9.0
56,60,1 day ahead cum death,Point,,2020-06-23,2020-06-24,0.0
57,US,2 day ahead cum death,Point,,2020-06-23,2020-06-25,122668.20151320822
58,53,2 day ahead cum death,Point,,2020-06-23,2020-06-25,1301.42528470158
59,17,2 day ahead cum death,Point,,2020-06-23,2020-06-25,6765.14103391207
60,06,2 day ahead cum death,Point,,2020-06-23,2020-06-25,5786.094446803821
61,04,2 day ahead cum death,Point,,2020-06-23,2020-06-25,1472.62965916862
62,25,2 day ahead cum death,Point,,2020-06-23,2020-06-25,7931.541322931759
63,55,2 day ahead cum death,Point,,2020-06-23,2020-06-25,762.820054491064
64,48,2 day ahead cum death,Point,,2020-06-23,2020-06-25,2298.42529800993
65,31,2 day ahead cum death,Point,,2020-06-23,2020-06-25,260.95818697562
66,49,2 day ahead cum death,Point,,2020-06-23,2020-06-25,169.12639323595
67,41,2 day ahead cum death,Point,,2020-06-23,2020-06-25,197.09631721914903
68,12,2 day ahead cum death,Point,,2020-06-23,2020-06-25,3340.25583209268
69,36,2 day ahead cum death,Point,,2020-06-23,2020-06-25,31305.7031888364
70,44,2 day ahead cum death,Point,,2020-06-23,2020-06-25,915.244302465323
71,13,2 day ahead cum death,Point,,2020-06-23,2020-06-25,2756.34070552592
72,33,2 day ahead cum death,Point,,2020-06-23,2020-06-25,348.21950540978105
73,37,2 day ahead cum death,Point,,2020-06-23,2020-06-25,1342.5148772326402
74,34,2 day ahead cum death,Point,,2020-06-23,2020-06-25,13085.318574011999
75,08,2 day ahead cum death,Point,,2020-06-23,2020-06-25,1679.91233225419
76,24,2 day ahead cum death,Point,,2020-06-23,2020-06-25,3117.7150327393297
77,32,2 day ahead cum death,Point,,2020-06-23,2020-06-25,497.989396116028
78,47,2 day ahead cum death,Point,,2020-06-23,2020-06-25,560.193241691172
79,15,2 day ahead cum death,Point,,2020-06-23,2020-06-25,17.0000974973068
80,18,2 day ahead cum death,Point,,2020-06-23,2020-06-25,2604.35533100175
81,21,2 day ahead cum death,Point,,2020-06-23,2020-06-25,546.927767618491
82,27,2 day ahead cum death,Point,,2020-06-23,2020-06-25,1451.2340049530999
83,40,2 day ahead cum death,Point,,2020-06-23,2020-06-25,374.81684007985297
84,42,2 day ahead cum death,Point,,2020-06-23,2020-06-25,6536.69727766333
85,45,2 day ahead cum death,Point,,2020-06-23,2020-06-25,702.8141881903999
86,11,2 day ahead cum death,Point,,2020-06-23,2020-06-25,540.73687710885
87,20,2 day ahead cum death,Point,,2020-06-23,2020-06-25,264.15746408346297
88,29,2 day ahead cum death,Point,,2020-06-23,2020-06-25,992.809806062953
89,50,2 day ahead cum death,Point,,2020-06-23,2020-06-25,56.11939709469271
90,51,2 day ahead cum death,Point,,2020-06-23,2020-06-25,1661.2217634281799
91,09,2 day ahead cum death,Point,,2020-06-23,2020-06-25,4295.49406568693
92,19,2 day ahead cum death,Point,,2020-06-23,2020-06-25,702.595439539284
93,22,2 day ahead cum death,Point,,2020-06-23,2020-06-25,3165.5111855254
94,39,2 day ahead cum death,Point,,2020-06-23,2020-06-25,2779.6886810540996
95,26,2 day ahead cum death,Point,,2020-06-23,2020-06-25,6136.512239524621
96,46,2 day ahead cum death,Point,,2020-06-23,2020-06-25,84.9380271407763
97,05,2 day ahead cum death,Point,,2020-06-23,2020-06-25,250.217359671211
98,10,2 day ahead cum death,Point,,2020-06-23,2020-06-25,512.994251884317
99,28,2 day ahead cum death,Point,,2020-06-23,2020-06-25,1012.72856906857
100,35,2 day ahead cum death,Point,,2020-06-23,2020-06-25,485.277201188221
101,38,2 day ahead cum death,Point,,2020-06-23,2020-06-25,79.327391693734
102,56,2 day ahead cum death,Point,,2020-06-23,2020-06-25,20.775976251547803
103,02,2 day ahead cum death,Point,,2020-06-23,2020-06-25,12.142366405950101
104,23,2 day ahead cum death,Point,,2020-06-23,2020-06-25,103.28753631138001
105,01,2 day ahead cum death,Point,,2020-06-23,2020-06-25,895.902603326282
106,16,2 day ahead cum death,Point,,2020-06-23,2020-06-25,89.746725507262
107,30,2 day ahead cum death,Point,,2020-06-23,2020-06-25,21.616264643767902
108,72,2 day ahead cum death,Point,,2020-06-23,2020-06-25,150.140110458647
109,78,2 day ahead cum death,Point,,2020-06-23,2020-06-25,17.9493346917818
110,66,2 day ahead cum death,Point,,2020-06-23,2020-06-25,99.83238571907579
111,54,2 day ahead cum death,Point,,2020-06-23,2020-06-25,93.3013306413238
112,69,2 day ahead cum death,Point,,2020-06-23,2020-06-25,14.666666666666698
113,60,2 day ahead cum death,Point,,2020-06-23,2020-06-25,0.0
114,US,3 day ahead cum death,Point,,2020-06-23,2020-06-26,123388.50033759055
115,53,3 day ahead cum death,Point,,2020-06-23,2020-06-26,1310.48217196371
116,17,3 day ahead cum death,Point,,2020-06-23,2020-06-26,6791.78678322781
117,06,3 day ahead cum death,Point,,2020-06-23,2020-06-26,5869.431191191
