location,forecast_date,target,target_end_date,type,quantile,value,pop
01,2020-12-28,1 wk ahead inc death,2021-01-02,point,,294.002,4903185
01,2020-12-28,1 wk ahead inc death,2021-01-02,quantile,0.01,91.5949,4903185
01,2020-12-28,1 wk ahead inc death,2021-01-02,quantile,0.025,110.2803,4903185
01,2020-12-28,1 wk ahead inc death,2021-01-02,quantile,0.05,129.527,4903185
01,2020-12-28,1 wk ahead inc death,2021-01-02,quantile,0.1,159.862,4903185
01,2020-12-28,1 wk ahead inc death,2021-01-02,quantile,0.15,183.7798,4903185
01,2020-12-28,1 wk ahead inc death,2021-01-02,quantile,0.2,197.6,4903185
01,2020-12-28,1 wk ahead inc death,2021-01-02,quantile,0.25,214.40725,4903185
01,2020-12-28,1 wk ahead inc death,2021-01-02,quantile,0.3,230.877,4903185
01,2020-12-28,1 wk ahead inc death,2021-01-02,quantile,0.35,246.80275,4903185
01,2020-12-28,1 wk ahead inc death,2021-01-02,quantile,0.4,262.4762,4903185
01,2020-12-28,1 wk ahead inc death,2021-01-02,quantile,0.45,277.323,4903185
01,2020-12-28,1 wk ahead inc death,2021-01-02,quantile,0.5,294.002,4903185
01,2020-12-28,1 wk ahead inc death,2021-01-02,quantile,0.55,312.25265,4903185
01,2020-12-28,1 wk ahead inc death,2021-01-02,quantile,0.6,329.11,4903185
01,2020-12-28,1 wk ahead inc death,2021-01-02,quantile,0.65,347.01,4903185
01,2020-12-28,1 wk ahead inc death,2021-01-02,quantile,0.7,368.5068,4903185
01,2020-12-28,1 wk ahead inc death,2021-01-02,quantile,0.75,391.976,4903185
01,2020-12-28,1 wk ahead inc death,2021-01-02,quantile,0.8,415.5664,4903185
01,2020-12-28,1 wk ahead inc death,2021-01-02,quantile,0.85,449.336,4903185
01,2020-12-28,1 wk ahead inc death,2021-01-02,quantile,0.9,493.1288,4903185
01,2020-12-28,1 wk ahead inc death,2021-01-02,quantile,0.95,587.9165,4903185
01,2020-12-28,1 wk ahead inc death,2021-01-02,quantile,0.975,636.92005,4903185
01,2020-12-28,1 wk ahead inc death,2021-01-02,quantile,0.99,757.53378,4903185
01,2020-12-28,2 wk ahead inc death,2021-01-09,point,,345.134,4903185
01,2020-12-28,2 wk ahead inc death,2021-01-09,quantile,0.01,88.39665,4903185
01,2020-12-28,2 wk ahead inc death,2021-01-09,quantile,0.025,114.67415,4903185
01,2020-12-28,2 wk ahead inc death,2021-01-09,quantile,0.05,144.0503,4903185
01,2020-12-28,2 wk ahead inc death,2021-01-09,quantile,0.1,175.2203,4903185
01,2020-12-28,2 wk ahead inc death,2021-01-09,quantile,0.15,207.94435,4903185
01,2020-12-28,2 wk ahead inc death,2021-01-09,quantile,0.2,228.728,4903185
01,2020-12-28,2 wk ahead inc death,2021-01-09,quantile,0.25,249.991,4903185
01,2020-12-28,2 wk ahead inc death,2021-01-09,quantile,0.3,269.176,4903185
01,2020-12-28,2 wk ahead inc death,2021-01-09,quantile,0.35,290.306,4903185
01,2020-12-28,2 wk ahead inc death,2021-01-09,quantile,0.4,304.62,4903185
01,2020-12-28,2 wk ahead inc death,2021-01-09,quantile,0.45,326.03875,4903185
01,2020-12-28,2 wk ahead inc death,2021-01-09,quantile,0.5,345.134,4903185
01,2020-12-28,2 wk ahead inc death,2021-01-09,quantile,0.55,366.90125,4903185
01,2020-12-28,2 wk ahead inc death,2021-01-09,quantile,0.6,391.043,4903185
01,2020-12-28,2 wk ahead inc death,2021-01-09,quantile,0.65,415.5001,4903185
01,2020-12-28,2 wk ahead inc death,2021-01-09,quantile,0.7,440.4988,4903185
01,2020-12-28,2 wk ahead inc death,2021-01-09,quantile,0.75,470.521,4903185
01,2020-12-28,2 wk ahead inc death,2021-01-09,quantile,0.8,506.7134,4903185
01,2020-12-28,2 wk ahead inc death,2021-01-09,quantile,0.85,539.616,4903185
01,2020-12-28,2 wk ahead inc death,2021-01-09,quantile,0.9,596.3342,4903185
01,2020-12-28,2 wk ahead inc death,2021-01-09,quantile,0.95,672.5816,4903185
01,2020-12-28,2 wk ahead inc death,2021-01-09,quantile,0.975,753.60775,4903185
01,2020-12-28,2 wk ahead inc death,2021-01-09,quantile,0.99,891.40668,4903185
01,2020-12-28,3 wk ahead inc death,2021-01-16,point,,355.848,4903185
01,2020-12-28,3 wk ahead inc death,2021-01-16,quantile,0.01,81.38681,4903185
01,2020-12-28,3 wk ahead inc death,2021-01-16,quantile,0.025,111.5413,4903185
01,2020-12-28,3 wk ahead inc death,2021-01-16,quantile,0.05,137.5049,4903185
01,2020-12-28,3 wk ahead inc death,2021-01-16,quantile,0.1,172.6846,4903185
01,2020-12-28,3 wk ahead inc death,2021-01-16,quantile,0.15,203.249,4903185
01,2020-12-28,3 wk ahead inc death,2021-01-16,quantile,0.2,229.292,4903185
01,2020-12-28,3 wk ahead inc death,2021-01-16,quantile,0.25,249.562,4903185
01,2020-12-28,3 wk ahead inc death,2021-01-16,quantile,0.3,268.6775,4903185
01,2020-12-28,3 wk ahead inc death,2021-01-16,quantile,0.35,287.521,4903185
01,2020-12-28,3 wk ahead inc death,2021-01-16,quantile,0.4,307.034,4903185
01,2020-12-28,3 wk ahead inc death,2021-01-16,quantile,0.45,328.27675,4903185
01,2020-12-28,3 wk ahead inc death,2021-01-16,quantile,0.5,355.848,4903185
01,2020-12-28,3 wk ahead inc death,2021-01-16,quantile,0.55,376.43825,4903185
01,2020-12-28,3 wk ahead inc death,2021-01-16,quantile,0.6,395.4898,4903185
01,2020-12-28,3 wk ahead inc death,2021-01-16,quantile,0.65,421.9432,4903185
01,2020-12-28,3 wk ahead inc death,2021-01-16,quantile,0.7,454.1102,4903185
01,2020-12-28,3 wk ahead inc death,2021-01-16,quantile,0.75,486.014,4903185
01,2020-12-28,3 wk ahead inc death,2021-01-16,quantile,0.8,516.36,4903185
01,2020-12-28,3 wk ahead inc death,2021-01-16,quantile,0.85,560.2738,4903185
01,2020-12-28,3 wk ahead inc death,2021-01-16,quantile,0.9,617.203600000001,4903185
01,2020-12-28,3 wk ahead inc death,2021-01-16,quantile,0.95,737.8334,4903185
01,2020-12-28,3 wk ahead inc death,2021-01-16,quantile,0.975,824.32195,4903185
01,2020-12-28,3 wk ahead inc death,2021-01-16,quantile,0.99,995.20952,4903185
01,2020-12-28,4 wk ahead inc death,2021-01-23,point,,357.852,4903185
01,2020-12-28,4 wk ahead inc death,2021-01-23,quantile,0.01,47.97816,4903185
01,2020-12-28,4 wk ahead inc death,2021-01-23,quantile,0.025,85.401175,4903185
01,2020-12-28,4 wk ahead inc death,2021-01-23,quantile,0.05,118.39615,4903185
01,2020-12-28,4 wk ahead inc death,2021-01-23,quantile,0.1,161.5048,4903185
01,2020-12-28,4 wk ahead inc death,2021-01-23,quantile,0.15,195.1458,4903185
01,2020-12-28,4 wk ahead inc death,2021-01-23,quantile,0.2,223.331,4903185
01,2020-12-28,4 wk ahead inc death,2021-01-23,quantile,0.25,250.7545,4903185
01,2020-12-28,4 wk ahead inc death,2021-01-23,quantile,0.3,269.972,4903185
01,2020-12-28,4 wk ahead inc death,2021-01-23,quantile,0.35,291.12,4903185
01,2020-12-28,4 wk ahead inc death,2021-01-23,quantile,0.4,313.532,4903185
01,2020-12-28,4 wk ahead inc death,2021-01-23,quantile,0.45,337.955,4903185
01,2020-12-28,4 wk ahead inc death,2021-01-23,quantile,0.5,357.852,4903185
01,2020-12-28,4 wk ahead inc death,2021-01-23,quantile,0.55,382.06525,4903185
01,2020-12-28,4 wk ahead inc death,2021-01-23,quantile,0.6,405.514,4903185
01,2020-12-28,4 wk ahead inc death,2021-01-23,quantile,0.65,431.7981,4903185
01,2020-12-28,4 wk ahead inc death,2021-01-23,quantile,0.7,458.7828,4903185
