forecast_date,target,location,target_end_date,type,quantile,value
2020-12-07,1 wk ahead cum death,US,2020-12-12,point,NA,291885.28105228103
2020-12-07,2 wk ahead cum death,US,2020-12-19,point,NA,303702.4292374292
2020-12-07,3 wk ahead cum death,US,2020-12-26,point,NA,315636.42624042626
2020-12-07,4 wk ahead cum death,US,2021-01-02,point,NA,326409.72627372626
2020-12-07,5 wk ahead cum death,US,2021-01-09,point,NA,335900.7559107559
2020-12-07,6 wk ahead cum death,US,2021-01-16,point,NA,344114.34965034964
2020-12-07,1 wk ahead cum death,US,2020-12-12,quantile,0.01,291578.04
2020-12-07,1 wk ahead cum death,US,2020-12-12,quantile,0.025,291620.1
2020-12-07,1 wk ahead cum death,US,2020-12-12,quantile,0.05,291668
2020-12-07,1 wk ahead cum death,US,2020-12-12,quantile,0.1,291714
2020-12-07,1 wk ahead cum death,US,2020-12-12,quantile,0.15,291751.30000000005
2020-12-07,1 wk ahead cum death,US,2020-12-12,quantile,0.2,291776
2020-12-07,1 wk ahead cum death,US,2020-12-12,quantile,0.25,291799
2020-12-07,1 wk ahead cum death,US,2020-12-12,quantile,0.3,291817
2020-12-07,1 wk ahead cum death,US,2020-12-12,quantile,0.35,291836
2020-12-07,1 wk ahead cum death,US,2020-12-12,quantile,0.4,291853
2020-12-07,1 wk ahead cum death,US,2020-12-12,quantile,0.45,291870
2020-12-07,1 wk ahead cum death,US,2020-12-12,quantile,0.5,291888
2020-12-07,1 wk ahead cum death,US,2020-12-12,quantile,0.55,291905
2020-12-07,1 wk ahead cum death,US,2020-12-12,quantile,0.6,291923.2
2020-12-07,1 wk ahead cum death,US,2020-12-12,quantile,0.65,291942
2020-12-07,1 wk ahead cum death,US,2020-12-12,quantile,0.7,291959
2020-12-07,1 wk ahead cum death,US,2020-12-12,quantile,0.75,291978
2020-12-07,1 wk ahead cum death,US,2020-12-12,quantile,0.8,291997
2020-12-07,1 wk ahead cum death,US,2020-12-12,quantile,0.85,292022
2020-12-07,1 wk ahead cum death,US,2020-12-12,quantile,0.9,292049.8
2020-12-07,1 wk ahead cum death,US,2020-12-12,quantile,0.95,292091
2020-12-07,1 wk ahead cum death,US,2020-12-12,quantile,0.975,292125.95
2020-12-07,1 wk ahead cum death,US,2020-12-12,quantile,0.99,292169.92000000004
2020-12-07,2 wk ahead cum death,US,2020-12-19,quantile,0.01,303146
2020-12-07,2 wk ahead cum death,US,2020-12-19,quantile,0.025,303223.14999999997
2020-12-07,2 wk ahead cum death,US,2020-12-19,quantile,0.05,303300
2020-12-07,2 wk ahead cum death,US,2020-12-19,quantile,0.1,303386
2020-12-07,2 wk ahead cum death,US,2020-12-19,quantile,0.15,303441.3
2020-12-07,2 wk ahead cum death,US,2020-12-19,quantile,0.2,303486
2020-12-07,2 wk ahead cum death,US,2020-12-19,quantile,0.25,303536
2020-12-07,2 wk ahead cum death,US,2020-12-19,quantile,0.3,303585
2020-12-07,2 wk ahead cum death,US,2020-12-19,quantile,0.35,303622
2020-12-07,2 wk ahead cum death,US,2020-12-19,quantile,0.4,303655.8
2020-12-07,2 wk ahead cum death,US,2020-12-19,quantile,0.45,303687
2020-12-07,2 wk ahead cum death,US,2020-12-19,quantile,0.5,303718
2020-12-07,2 wk ahead cum death,US,2020-12-19,quantile,0.55,303748
2020-12-07,2 wk ahead cum death,US,2020-12-19,quantile,0.6,303782
2020-12-07,2 wk ahead cum death,US,2020-12-19,quantile,0.65,303810
2020-12-07,2 wk ahead cum death,US,2020-12-19,quantile,0.7,303844
2020-12-07,2 wk ahead cum death,US,2020-12-19,quantile,0.75,303876
2020-12-07,2 wk ahead cum death,US,2020-12-19,quantile,0.8,303908
2020-12-07,2 wk ahead cum death,US,2020-12-19,quantile,0.85,303946
2020-12-07,2 wk ahead cum death,US,2020-12-19,quantile,0.9,303994
2020-12-07,2 wk ahead cum death,US,2020-12-19,quantile,0.95,304055
2020-12-07,2 wk ahead cum death,US,2020-12-19,quantile,0.975,304112.9
2020-12-07,2 wk ahead cum death,US,2020-12-19,quantile,0.99,304184.98
2020-12-07,3 wk ahead cum death,US,2020-12-26,quantile,0.01,314815.06
2020-12-07,3 wk ahead cum death,US,2020-12-26,quantile,0.025,314954.25
2020-12-07,3 wk ahead cum death,US,2020-12-26,quantile,0.05,315053
2020-12-07,3 wk ahead cum death,US,2020-12-26,quantile,0.1,315193
2020-12-07,3 wk ahead cum death,US,2020-12-26,quantile,0.15,315274
2020-12-07,3 wk ahead cum death,US,2020-12-26,quantile,0.2,315348
2020-12-07,3 wk ahead cum death,US,2020-12-26,quantile,0.25,315414
2020-12-07,3 wk ahead cum death,US,2020-12-26,quantile,0.3,315469.6
2020-12-07,3 wk ahead cum death,US,2020-12-26,quantile,0.35,315526
2020-12-07,3 wk ahead cum death,US,2020-12-26,quantile,0.4,315577
2020-12-07,3 wk ahead cum death,US,2020-12-26,quantile,0.45,315629
2020-12-07,3 wk ahead cum death,US,2020-12-26,quantile,0.5,315673
2020-12-07,3 wk ahead cum death,US,2020-12-26,quantile,0.55,315716
2020-12-07,3 wk ahead cum death,US,2020-12-26,quantile,0.6,315757.2
2020-12-07,3 wk ahead cum death,US,2020-12-26,quantile,0.65,315794
2020-12-07,3 wk ahead cum death,US,2020-12-26,quantile,0.7,315830
2020-12-07,3 wk ahead cum death,US,2020-12-26,quantile,0.75,315877
2020-12-07,3 wk ahead cum death,US,2020-12-26,quantile,0.8,315926
2020-12-07,3 wk ahead cum death,US,2020-12-26,quantile,0.85,315983
2020-12-07,3 wk ahead cum death,US,2020-12-26,quantile,0.9,316035
2020-12-07,3 wk ahead cum death,US,2020-12-26,quantile,0.95,316112.9
2020-12-07,3 wk ahead cum death,US,2020-12-26,quantile,0.975,316175.8
2020-12-07,3 wk ahead cum death,US,2020-12-26,quantile,0.99,316250.98
2020-12-07,4 wk ahead cum death,US,2021-01-02,quantile,0.01,325358.14
2020-12-07,4 wk ahead cum death,US,2021-01-02,quantile,0.025,325517.1
2020-12-07,4 wk ahead cum death,US,2021-01-02,quantile,0.05,325670.2
2020-12-07,4 wk ahead cum death,US,2021-01-02,quantile,0.1,325846.2
2020-12-07,4 wk ahead cum death,US,2021-01-02,quantile,0.15,325970.6
2020-12-07,4 wk ahead cum death,US,2021-01-02,quantile,0.2,326061
2020-12-07,4 wk ahead cum death,US,2021-01-02,quantile,0.25,326141.5
2020-12-07,4 wk ahead cum death,US,2021-01-02,quantile,0.3,326215
2020-12-07,4 wk ahead cum death,US,2021-01-02,quantile,0.35,326282.7
2020-12-07,4 wk ahead cum death,US,2021-01-02,quantile,0.4,326347
2020-12-07,4 wk ahead cum death,US,2021-01-02,quantile,0.45,326400
2020-12-07,4 wk ahead cum death,US,2021-01-02,quantile,0.5,326448
2020-12-07,4 wk ahead cum death,US,2021-01-02,quantile,0.55,326504
2020-12-07,4 wk ahead cum death,US,2021-01-02,quantile,0.6,326555
