forecast_date,target,location,target_end_date,type,quantile,value
2020-11-30,1 wk ahead cum death,US,2020-12-05,point,NA,274606.03996003995
2020-11-30,2 wk ahead cum death,US,2020-12-12,point,NA,284399.5381285381
2020-11-30,3 wk ahead cum death,US,2020-12-19,point,NA,294706.91475191474
2020-11-30,4 wk ahead cum death,US,2020-12-26,point,NA,305057.7152847153
2020-11-30,5 wk ahead cum death,US,2021-01-02,point,NA,315102.671994672
2020-11-30,6 wk ahead cum death,US,2021-01-09,point,NA,324467.88411588414
2020-11-30,1 wk ahead cum death,US,2020-12-05,quantile,0.01,274388
2020-11-30,1 wk ahead cum death,US,2020-12-05,quantile,0.025,274420.05
2020-11-30,1 wk ahead cum death,US,2020-12-05,quantile,0.05,274448
2020-11-30,1 wk ahead cum death,US,2020-12-05,quantile,0.1,274479
2020-11-30,1 wk ahead cum death,US,2020-12-05,quantile,0.15,274503
2020-11-30,1 wk ahead cum death,US,2020-12-05,quantile,0.2,274524
2020-11-30,1 wk ahead cum death,US,2020-12-05,quantile,0.25,274539.5
2020-11-30,1 wk ahead cum death,US,2020-12-05,quantile,0.3,274555
2020-11-30,1 wk ahead cum death,US,2020-12-05,quantile,0.35,274568
2020-11-30,1 wk ahead cum death,US,2020-12-05,quantile,0.4,274580
2020-11-30,1 wk ahead cum death,US,2020-12-05,quantile,0.45,274593
2020-11-30,1 wk ahead cum death,US,2020-12-05,quantile,0.5,274605
2020-11-30,1 wk ahead cum death,US,2020-12-05,quantile,0.55,274617
2020-11-30,1 wk ahead cum death,US,2020-12-05,quantile,0.6,274630
2020-11-30,1 wk ahead cum death,US,2020-12-05,quantile,0.65,274646
2020-11-30,1 wk ahead cum death,US,2020-12-05,quantile,0.7,274658
2020-11-30,1 wk ahead cum death,US,2020-12-05,quantile,0.75,274674
2020-11-30,1 wk ahead cum death,US,2020-12-05,quantile,0.8,274689
2020-11-30,1 wk ahead cum death,US,2020-12-05,quantile,0.85,274708
2020-11-30,1 wk ahead cum death,US,2020-12-05,quantile,0.9,274731.8
2020-11-30,1 wk ahead cum death,US,2020-12-05,quantile,0.95,274764
