,location,target,type,quantile,forecast_date,target_end_date,value
0,01,1 day ahead cum death,point,,2020-06-07,2020-06-08,714.0
1,01,1 day ahead cum death,quantile,0.01,2020-06-07,2020-06-08,711.0
2,01,1 day ahead cum death,quantile,0.025,2020-06-07,2020-06-08,712.0
3,01,1 day ahead cum death,quantile,0.05,2020-06-07,2020-06-08,712.0
4,01,1 day ahead cum death,quantile,0.1,2020-06-07,2020-06-08,712.0
5,01,1 day ahead cum death,quantile,0.15,2020-06-07,2020-06-08,713.0
6,01,1 day ahead cum death,quantile,0.2,2020-06-07,2020-06-08,713.0
7,01,1 day ahead cum death,quantile,0.25,2020-06-07,2020-06-08,713.0
8,01,1 day ahead cum death,quantile,0.3,2020-06-07,2020-06-08,713.0
9,01,1 day ahead cum death,quantile,0.35,2020-06-07,2020-06-08,713.0
10,01,1 day ahead cum death,quantile,0.4,2020-06-07,2020-06-08,714.0
11,01,1 day ahead cum death,quantile,0.45,2020-06-07,2020-06-08,714.0
12,01,1 day ahead cum death,quantile,0.5,2020-06-07,2020-06-08,714.0
13,01,1 day ahead cum death,quantile,0.55,2020-06-07,2020-06-08,714.0
14,01,1 day ahead cum death,quantile,0.6,2020-06-07,2020-06-08,714.0
15,01,1 day ahead cum death,quantile,0.65,2020-06-07,2020-06-08,714.0
16,01,1 day ahead cum death,quantile,0.7,2020-06-07,2020-06-08,715.0
17,01,1 day ahead cum death,quantile,0.75,2020-06-07,2020-06-08,715.0
18,01,1 day ahead cum death,quantile,0.8,2020-06-07,2020-06-08,715.0
19,01,1 day ahead cum death,quantile,0.85,2020-06-07,2020-06-08,715.0
20,01,1 day ahead cum death,quantile,0.9,2020-06-07,2020-06-08,716.0
21,01,1 day ahead cum death,quantile,0.95,2020-06-07,2020-06-08,716.0
22,01,1 day ahead cum death,quantile,0.975,2020-06-07,2020-06-08,717.0
23,01,1 day ahead cum death,quantile,0.99,2020-06-07,2020-06-08,717.0
24,01,2 day ahead cum death,point,,2020-06-07,2020-06-09,736.0
25,01,2 day ahead cum death,quantile,0.01,2020-06-07,2020-06-09,730.0
26,01,2 day ahead cum death,quantile,0.025,2020-06-07,2020-06-09,731.0
27,01,2 day ahead cum death,quantile,0.05,2020-06-07,2020-06-09,732.0
28,01,2 day ahead cum death,quantile,0.1,2020-06-07,2020-06-09,733.0
29,01,2 day ahead cum death,quantile,0.15,2020-06-07,2020-06-09,733.0
30,01,2 day ahead cum death,quantile,0.2,2020-06-07,2020-06-09,734.0
31,01,2 day ahead cum death,quantile,0.25,2020-06-07,2020-06-09,734.0
32,01,2 day ahead cum death,quantile,0.3,2020-06-07,2020-06-09,735.0
33,01,2 day ahead cum death,quantile,0.35,2020-06-07,2020-06-09,735.0
34,01,2 day ahead cum death,quantile,0.4,2020-06-07,2020-06-09,736.0
35,01,2 day ahead cum death,quantile,0.45,2020-06-07,2020-06-09,736.0
36,01,2 day ahead cum death,quantile,0.5,2020-06-07,2020-06-09,736.0
37,01,2 day ahead cum death,quantile,0.55,2020-06-07,2020-06-09,737.0
38,01,2 day ahead cum death,quantile,0.6,2020-06-07,2020-06-09,737.0
39,01,2 day ahead cum death,quantile,0.65,2020-06-07,2020-06-09,737.0
40,01,2 day ahead cum death,quantile,0.7,2020-06-07,2020-06-09,738.0
41,01,2 day ahead cum death,quantile,0.75,2020-06-07,2020-06-09,738.0
42,01,2 day ahead cum death,quantile,0.8,2020-06-07,2020-06-09,739.0
43,01,2 day ahead cum death,quantile,0.85,2020-06-07,2020-06-09,739.0
44,01,2 day ahead cum death,quantile,0.9,2020-06-07,2020-06-09,740.0
45,01,2 day ahead cum death,quantile,0.95,2020-06-07,2020-06-09,742.0
46,01,2 day ahead cum death,quantile,0.975,2020-06-07,2020-06-09,743.0
47,01,2 day ahead cum death,quantile,0.99,2020-06-07,2020-06-09,746.0
48,01,3 day ahead cum death,point,,2020-06-07,2020-06-10,759.0
49,01,3 day ahead cum death,quantile,0.01,2020-06-07,2020-06-10,749.0
50,01,3 day ahead cum death,quantile,0.025,2020-06-07,2020-06-10,751.0
51,01,3 day ahead cum death,quantile,0.05,2020-06-07,2020-06-10,752.0
52,01,3 day ahead cum death,quantile,0.1,2020-06-07,2020-06-10,754.0
53,01,3 day ahead cum death,quantile,0.15,2020-06-07,2020-06-10,755.0
