"","target","location","forecast_date","target_end_date","quantile","value","type"
"1","1 day ahead inc hosp","02",2023-10-09,2023-10-10,0.01,0,"quantile"
"2","1 day ahead inc hosp","02",2023-10-09,2023-10-10,0.025,0,"quantile"
"3","1 day ahead inc hosp","02",2023-10-09,2023-10-10,0.05,0,"quantile"
"4","1 day ahead inc hosp","02",2023-10-09,2023-10-10,0.1,0,"quantile"
"5","1 day ahead inc hosp","02",2023-10-09,2023-10-10,0.15,0,"quantile"
"6","1 day ahead inc hosp","02",2023-10-09,2023-10-10,0.2,0,"quantile"
"7","1 day ahead inc hosp","02",2023-10-09,2023-10-10,0.25,0,"quantile"
"8","1 day ahead inc hosp","02",2023-10-09,2023-10-10,0.3,0.590612444587715,"quantile"
"9","1 day ahead inc hosp","02",2023-10-09,2023-10-10,0.35,1.24189494570163,"quantile"
"10","1 day ahead inc hosp","02",2023-10-09,2023-10-10,0.4,1.75629721049933,"quantile"
"11","1 day ahead inc hosp","02",2023-10-09,2023-10-10,0.45,2.40679959878425,"quantile"
"12","1 day ahead inc hosp","02",2023-10-09,2023-10-10,0.5,2.88475104552633,"quantile"
"13","1 day ahead inc hosp","02",2023-10-09,2023-10-10,0.55,3.39722282100216,"quantile"
"14","1 day ahead inc hosp","02",2023-10-09,2023-10-10,0.6,3.8401880022279,"quantile"
"15","1 day ahead inc hosp","02",2023-10-09,2023-10-10,0.65,4.52536963648633,"quantile"
"16","1 day ahead inc hosp","02",2023-10-09,2023-10-10,0.7,5.15898034924836,"quantile"
"17","1 day ahead inc hosp","02",2023-10-09,2023-10-10,0.75,5.84007040998602,"quantile"
"18","1 day ahead inc hosp","02",2023-10-09,2023-10-10,0.8,6.64324299886573,"quantile"
"19","1 day ahead inc hosp","02",2023-10-09,2023-10-10,0.85,7.69505594867356,"quantile"
"20","1 day ahead inc hosp","02",2023-10-09,2023-10-10,0.9,8.63916510689816,"quantile"
"21","1 day ahead inc hosp","02",2023-10-09,2023-10-10,0.95,10.5387420861386,"quantile"
"22","1 day ahead inc hosp","02",2023-10-09,2023-10-10,0.975,13.1353046102734,"quantile"
"23","1 day ahead inc hosp","02",2023-10-09,2023-10-10,0.99,15.3889631573364,"quantile"
"24","2 day ahead inc hosp","02",2023-10-09,2023-10-11,0.01,0,"quantile"
"25","2 day ahead inc hosp","02",2023-10-09,2023-10-11,0.025,0,"quantile"
"26","2 day ahead inc hosp","02",2023-10-09,2023-10-11,0.05,0,"quantile"
"27","2 day ahead inc hosp","02",2023-10-09,2023-10-11,0.1,0,"quantile"
"28","2 day ahead inc hosp","02",2023-10-09,2023-10-11,0.15,0,"quantile"
"29","2 day ahead inc hosp","02",2023-10-09,2023-10-11,0.2,0,"quantile"
"30","2 day ahead inc hosp","02",2023-10-09,2023-10-11,0.25,0,"quantile"
"31","2 day ahead inc hosp","02",2023-10-09,2023-10-11,0.3,0.486511191978478,"quantile"
"32","2 day ahead inc hosp","02",2023-10-09,2023-10-11,0.35,1.03500424688968,"quantile"
"33","2 day ahead inc hosp","02",2023-10-09,2023-10-11,0.4,1.60601343569595,"quantile"
"34","2 day ahead inc hosp","02",2023-10-09,2023-10-11,0.45,2.1942935148192,"quantile"
"35","2 day ahead inc hosp","02",2023-10-09,2023-10-11,0.5,2.746826165415,"quantile"
"36","2 day ahead inc hosp","02",2023-10-09,2023-10-11,0.55,3.33239137501529,"quantile"
"37","2 day ahead inc hosp","02",2023-10-09,2023-10-11,0.6,3.87227749166349,"quantile"
"38","2 day ahead inc hosp","02",2023-10-09,2023-10-11,0.65,4.54604651839562,"quantile"
"39","2 day ahead inc hosp","02",2023-10-09,2023-10-11,0.7,5.25962481118031,"quantile"
"40","2 day ahead inc hosp","02",2023-10-09,2023-10-11,0.75,5.84832619835603,"quantile"
"41","2 day ahead inc hosp","02",2023-10-09,2023-10-11,0.8,6.61972113146137,"quantile"
"42","2 day ahead inc hosp","02",2023-10-09,2023-10-11,0.85,7.48619084021476,"quantile"
"43","2 day ahead inc hosp","02",2023-10-09,2023-10-11,0.9,8.67189011970856,"quantile"
"44","2 day ahead inc hosp","02",2023-10-09,2023-10-11,0.95,10.7602862684502,"quantile"
"45","2 day ahead inc hosp","02",2023-10-09,2023-10-11,0.975,12.0530733978795,"quantile"
"46","2 day ahead inc hosp","02",2023-10-09,2023-10-11,0.99,13.9455239910957,"quantile"
