"target","location","forecast_date","target_end_date","quantile","value","type"
"1 day ahead inc hosp","02",2023-02-06,2023-02-07,0.01,0,"quantile"
"1 day ahead inc hosp","02",2023-02-06,2023-02-07,0.025,0,"quantile"
"1 day ahead inc hosp","02",2023-02-06,2023-02-07,0.05,0,"quantile"
"1 day ahead inc hosp","02",2023-02-06,2023-02-07,0.1,0.156477801111281,"quantile"
"1 day ahead inc hosp","02",2023-02-06,2023-02-07,0.15,1.69594645218543,"quantile"
"1 day ahead inc hosp","02",2023-02-06,2023-02-07,0.2,2.74309905451246,"quantile"
"1 day ahead inc hosp","02",2023-02-06,2023-02-07,0.25,3.69643326807498,"quantile"
"1 day ahead inc hosp","02",2023-02-06,2023-02-07,0.3,4.52400769151874,"quantile"
"1 day ahead inc hosp","02",2023-02-06,2023-02-07,0.35,5.16528324879779,"quantile"
"1 day ahead inc hosp","02",2023-02-06,2023-02-07,0.4,6.08116709484337,"quantile"
"1 day ahead inc hosp","02",2023-02-06,2023-02-07,0.45,6.81572805648634,"quantile"
"1 day ahead inc hosp","02",2023-02-06,2023-02-07,0.5,7.47027490594455,"quantile"
"1 day ahead inc hosp","02",2023-02-06,2023-02-07,0.55,8.14155234823806,"quantile"
"1 day ahead inc hosp","02",2023-02-06,2023-02-07,0.6,8.61736864827481,"quantile"
"1 day ahead inc hosp","02",2023-02-06,2023-02-07,0.65,9.32696176850884,"quantile"
"1 day ahead inc hosp","02",2023-02-06,2023-02-07,0.7,10.1109911509833,"quantile"
"1 day ahead inc hosp","02",2023-02-06,2023-02-07,0.75,10.9246646330411,"quantile"
"1 day ahead inc hosp","02",2023-02-06,2023-02-07,0.8,11.7177520690752,"quantile"
"1 day ahead inc hosp","02",2023-02-06,2023-02-07,0.85,12.6387821887919,"quantile"
"1 day ahead inc hosp","02",2023-02-06,2023-02-07,0.9,13.7726007320315,"quantile"
"1 day ahead inc hosp","02",2023-02-06,2023-02-07,0.95,15.7022867346299,"quantile"
"1 day ahead inc hosp","02",2023-02-06,2023-02-07,0.975,17.2914305800438,"quantile"
"1 day ahead inc hosp","02",2023-02-06,2023-02-07,0.99,18.8979356864009,"quantile"
"2 day ahead inc hosp","02",2023-02-06,2023-02-08,0.01,0,"quantile"
"2 day ahead inc hosp","02",2023-02-06,2023-02-08,0.025,0,"quantile"
"2 day ahead inc hosp","02",2023-02-06,2023-02-08,0.05,0,"quantile"
"2 day ahead inc hosp","02",2023-02-06,2023-02-08,0.1,1.34995261379774,"quantile"
"2 day ahead inc hosp","02",2023-02-06,2023-02-08,0.15,2.35915683076743,"quantile"
"2 day ahead inc hosp","02",2023-02-06,2023-02-08,0.2,3.32021747294352,"quantile"
