location,target,type,quantile,forecast_date,target_end_date,value
33,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,1
34,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,151
35,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,12
36,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,382
37,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,63
38,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,0
39,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,70
40,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,7
41,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,5
42,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,93
44,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,19
45,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,15
46,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,0
47,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,16
48,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,147
49,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,3
50,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,0
51,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,137
53,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,18
54,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,0
55,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,42
56,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,0
US,1 day ahead inc hosp,quantile,0.01,2020-05-21,2020-05-22,3355
01,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,26
02,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,0
04,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,41
05,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,6
06,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,236
08,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,46
09,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,142
10,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,19
12,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,101
13,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,56
15,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,0
16,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,0
17,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,303
18,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,70
19,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,32
20,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,7
21,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,26
22,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,38
23,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,1
24,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,149
25,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,97
26,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,56
27,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,79
28,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,24
29,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,14
30,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,0
31,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,27
32,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,9
33,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,2
34,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,157
35,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,14
36,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,384
37,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,66
38,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,1
39,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,74
40,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,8
41,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,5
42,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,98
44,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,20
45,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,15
46,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,1
47,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,18
48,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,157
49,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,5
50,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,0
51,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,143
53,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,19
54,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,0
55,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,42
56,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,0
US,1 day ahead inc hosp,quantile,0.025,2020-05-21,2020-05-22,3361
01,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,27
02,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,0
04,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,42
05,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,7
06,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,248
08,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,48
09,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,143
10,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,19
12,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,105
13,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,59
15,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,0
16,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,0
17,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,306
18,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,74
19,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,35
20,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,8
21,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,28
22,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,40
23,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,3
24,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,155
25,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,99
26,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,57
27,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,80
28,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,25
29,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,15
30,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,0
31,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,31
32,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,9
33,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,3
34,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,161
35,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,16
36,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,388
37,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,68
38,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,1
39,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,75
40,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,9
41,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,6
42,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,104
44,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,21
45,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,16
46,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,2
47,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,19
48,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,160
49,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,6
50,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,0
51,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,146
53,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,20
54,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,0
55,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,45
56,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,0
US,1 day ahead inc hosp,quantile,0.05,2020-05-21,2020-05-22,3376
01,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,31
02,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,0
04,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,43
05,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,8
06,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,251
08,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,51
09,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,146
10,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,20
12,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,107
13,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,63
15,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,0
16,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,0
17,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,310
18,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,78
19,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,37
20,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,10
21,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,31
22,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,43
23,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,3
24,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,159
25,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,101
26,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,59
27,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,82
28,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,25
29,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,17
30,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,0
31,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,31
32,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,10
33,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,4
34,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,169
35,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,17
36,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,397
37,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,71
38,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,1
39,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,78
40,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,10
41,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,7
42,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,108
44,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,23
45,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,17
46,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,2
47,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,20
48,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,163
49,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,7
50,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,0
51,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,150
53,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,24
54,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,0
55,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,47
56,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,1
US,1 day ahead inc hosp,quantile,0.1,2020-05-21,2020-05-22,3385
01,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,32
02,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,0
04,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,45
05,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,9
06,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,254
08,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,52
09,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,150
10,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,22
12,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,109
13,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,65
15,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,0
