date,location,location_name,value
1/22/20,01,Alabama,0
1/22/20,02,Alaska,0
1/22/20,04,Arizona,0
1/22/20,05,Arkansas,0
1/22/20,06,California,0
1/22/20,08,Colorado,0
1/22/20,09,Connecticut,0
1/22/20,10,Delaware,0
1/22/20,11,District of Columbia,0
1/22/20,12,Florida,0
1/22/20,13,Georgia,0
1/22/20,15,Hawaii,0
1/22/20,16,Idaho,0
1/22/20,17,Illinois,0
1/22/20,18,Indiana,0
1/22/20,19,Iowa,0
1/22/20,20,Kansas,0
1/22/20,21,Kentucky,0
1/22/20,22,Louisiana,0
1/22/20,23,Maine,0
1/22/20,24,Maryland,0
1/22/20,25,Massachusetts,0
1/22/20,26,Michigan,0
1/22/20,27,Minnesota,0
1/22/20,28,Mississippi,0
1/22/20,29,Missouri,0
1/22/20,30,Montana,0
1/22/20,31,Nebraska,0
1/22/20,32,Nevada,0
1/22/20,33,New Hampshire,0
1/22/20,34,New Jersey,0
1/22/20,35,New Mexico,0
1/22/20,36,New York,0
1/22/20,37,North Carolina,0
1/22/20,38,North Dakota,0
1/22/20,39,Ohio,0
1/22/20,40,Oklahoma,0
1/22/20,41,Oregon,0
1/22/20,42,Pennsylvania,0
1/22/20,44,Rhode Island,0
1/22/20,45,South Carolina,0
1/22/20,46,South Dakota,0
1/22/20,47,Tennessee,0
1/22/20,48,Texas,0
1/22/20,49,Utah,0
1/22/20,50,Vermont,0
1/22/20,51,Virginia,0
1/22/20,53,Washington,0
1/22/20,54,West Virginia,0
1/22/20,55,Wisconsin,0
1/22/20,56,Wyoming,0
1/22/20,US,US,0
1/23/20,01,Alabama,0
1/23/20,02,Alaska,0
1/23/20,04,Arizona,0
1/23/20,05,Arkansas,0
1/23/20,06,California,0
1/23/20,08,Colorado,0
1/23/20,09,Connecticut,0
1/23/20,10,Delaware,0
1/23/20,11,District of Columbia,0
1/23/20,12,Florida,0
1/23/20,13,Georgia,0
1/23/20,15,Hawaii,0
1/23/20,16,Idaho,0
1/23/20,17,Illinois,0
1/23/20,18,Indiana,0
1/23/20,19,Iowa,0
1/23/20,20,Kansas,0
1/23/20,21,Kentucky,0
1/23/20,22,Louisiana,0
1/23/20,23,Maine,0
1/23/20,24,Maryland,0
1/23/20,25,Massachusetts,0
1/23/20,26,Michigan,0
1/23/20,27,Minnesota,0
1/23/20,28,Mississippi,0
1/23/20,29,Missouri,0
1/23/20,30,Montana,0
1/23/20,31,Nebraska,0
1/23/20,32,Nevada,0
1/23/20,33,New Hampshire,0
1/23/20,34,New Jersey,0
1/23/20,35,New Mexico,0
1/23/20,36,New York,0
1/23/20,37,North Carolina,0
1/23/20,38,North Dakota,0
1/23/20,39,Ohio,0
1/23/20,40,Oklahoma,0
1/23/20,41,Oregon,0
1/23/20,42,Pennsylvania,0
1/23/20,44,Rhode Island,0
1/23/20,45,South Carolina,0
1/23/20,46,South Dakota,0
1/23/20,47,Tennessee,0
1/23/20,48,Texas,0
1/23/20,49,Utah,0
1/23/20,50,Vermont,0
1/23/20,51,Virginia,0
1/23/20,53,Washington,0
1/23/20,54,West Virginia,0
1/23/20,55,Wisconsin,0
1/23/20,56,Wyoming,0
1/23/20,US,US,0
1/24/20,01,Alabama,0
1/24/20,02,Alaska,0
1/24/20,04,Arizona,0
1/24/20,05,Arkansas,0
1/24/20,06,California,0
1/24/20,08,Colorado,0
1/24/20,09,Connecticut,0
1/24/20,10,Delaware,0
1/24/20,11,District of Columbia,0
1/24/20,12,Florida,0
1/24/20,13,Georgia,0
1/24/20,15,Hawaii,0
1/24/20,16,Idaho,0
1/24/20,17,Illinois,0
1/24/20,18,Indiana,0
1/24/20,19,Iowa,0
1/24/20,20,Kansas,0
1/24/20,21,Kentucky,0
1/24/20,22,Louisiana,0
1/24/20,23,Maine,0
1/24/20,24,Maryland,0
1/24/20,25,Massachusetts,0
1/24/20,26,Michigan,0
1/24/20,27,Minnesota,0
1/24/20,28,Mississippi,0
1/24/20,29,Missouri,0
1/24/20,30,Montana,0
1/24/20,31,Nebraska,0
1/24/20,32,Nevada,0
1/24/20,33,New Hampshire,0
1/24/20,34,New Jersey,0
1/24/20,35,New Mexico,0
1/24/20,36,New York,0
1/24/20,37,North Carolina,0
1/24/20,38,North Dakota,0
1/24/20,39,Ohio,0
1/24/20,40,Oklahoma,0
