"","confirmed_date","state_name","confirmed_total","death_total","population","State","Time","Time2","predicted"
"28108",2021-07-25,"OR",0,0,4217737,7,552,9,101
"28159",2021-07-26,"OR",0,0,4217737,7,553,10,85
"28210",2021-07-27,"OR",0,0,4217737,7,554,11,71
"28025",2021-07-23,"PA",0,0,12801989,26,550,7,179
"28076",2021-07-24,"PA",0,0,12801989,26,551,8,150
"28127",2021-07-25,"PA",0,0,12801989,26,552,9,126
"28178",2021-07-26,"PA",0,0,12801989,26,553,10,106
"28229",2021-07-27,"PA",0,0,12801989,26,554,11,89
"28009",2021-07-23,"RI",0,0,1059361,10,550,7,0
"28060",2021-07-24,"RI",0,0,1059361,10,551,8,0
"28111",2021-07-25,"RI",0,0,1059361,10,552,9,0
"28162",2021-07-26,"RI",0,0,1059361,10,553,10,0
"28213",2021-07-27,"RI",0,0,1059361,10,554,11,0
"28026",2021-07-23,"SC",0,0,5148714,27,550,7,235
"28077",2021-07-24,"SC",0,0,5148714,27,551,8,197
"28128",2021-07-25,"SC",0,0,5148714,27,552,9,166
"28179",2021-07-26,"SC",0,0,5148714,27,553,10,140
"28230",2021-07-27,"SC",0,0,5148714,27,554,11,117
"28038",2021-07-23,"SD",0,0,884659,39,550,7,11
"28089",2021-07-24,"SD",0,0,884659,39,551,8,9
"28140",2021-07-25,"SD",0,0,884659,39,552,9,7
"28191",2021-07-26,"SD",0,0,884659,39,553,10,6
"28242",2021-07-27,"SD",0,0,884659,39,554,11,5
"28018",2021-07-23,"TN",0,0,6829174,19,550,7,226
"28069",2021-07-24,"TN",0,0,6829174,19,551,8,190
"28120",2021-07-25,"TN",0,0,6829174,19,552,9,160
"28171",2021-07-26,"TN",0,0,6829174,19,553,10,134
"28222",2021-07-27,"TN",0,0,6829174,19,554,11,113
"28014",2021-07-23,"TX",0,0,28995881,15,550,7,1426
"28065",2021-07-24,"TX",0,0,28995881,15,551,8,1199
"28116",2021-07-25,"TX",0,0,28995881,15,552,9,1008
"28167",2021-07-26,"TX",0,0,28995881,15,553,10,848
"28218",2021-07-27,"TX",0,0,28995881,15,554,11,713
"28027",2021-07-23,"UT",0,0,3205958,28,550,7,241
"28078",2021-07-24,"UT",0,0,3205958,28,551,8,203
"28129",2021-07-25,"UT",0,0,3205958,28,552,9,171
"28180",2021-07-26,"UT",0,0,3205958,28,553,10,143
"28231",2021-07-27,"UT",0,0,3205958,28,554,11,121
"28031",2021-07-23,"VA",0,0,8535519,32,550,7,181
"28082",2021-07-24,"VA",0,0,8535519,32,551,8,152
"28133",2021-07-25,"VA",0,0,8535519,32,552,9,128
"28184",2021-07-26,"VA",0,0,8535519,32,553,10,108
"28235",2021-07-27,"VA",0,0,8535519,32,554,11,90
"28032",2021-07-23,"VT",0,0,623989,33,550,7,6
"28083",2021-07-24,"VT",0,0,623989,33,551,8,5
"28134",2021-07-25,"VT",0,0,623989,33,552,9,4
"28185",2021-07-26,"VT",0,0,623989,33,553,10,4
"28236",2021-07-27,"VT",0,0,623989,33,554,11,3
"28000",2021-07-23,"WA",0,0,7614893,1,550,7,229
"28051",2021-07-24,"WA",0,0,7614893,1,551,8,192
"28102",2021-07-25,"WA",0,0,7614893,1,552,9,162
"28153",2021-07-26,"WA",0,0,7614893,1,553,10,136
"28204",2021-07-27,"WA",0,0,7614893,1,554,11,114
"28005",2021-07-23,"WI",0,0,5822434,6,550,7,89
"28056",2021-07-24,"WI",0,0,5822434,6,551,8,75
"28107",2021-07-25,"WI",0,0,5822434,6,552,9,63
"28158",2021-07-26,"WI",0,0,5822434,6,553,10,53
"28209",2021-07-27,"WI",0,0,5822434,6,554,11,44
"28050",2021-07-23,"WV",0,0,1792147,51,550,7,37
"28101",2021-07-24,"WV",0,0,1792147,51,551,8,31
"28152",2021-07-25,"WV",0,0,1792147,51,552,9,26
"28203",2021-07-26,"WV",0,0,1792147,51,553,10,22
"28254",2021-07-27,"WV",0,0,1792147,51,554,11,18
"28044",2021-07-23,"WY",0,0,578759,45,550,7,37
"28095",2021-07-24,"WY",0,0,578759,45,551,8,31
"28146",2021-07-25,"WY",0,0,578759,45,552,9,26
"28197",2021-07-26,"WY",0,0,578759,45,553,10,22
"28248",2021-07-27,"WY",0,0,578759,45,554,11,19
