timezero,unit,target,value
2020-01-13,01,1_week_ahead_cum,0
2020-01-13,02,1_week_ahead_cum,0
2020-01-13,04,1_week_ahead_cum,0
2020-01-13,05,1_week_ahead_cum,0
2020-01-13,06,1_week_ahead_cum,0
2020-01-13,08,1_week_ahead_cum,0
2020-01-13,09,1_week_ahead_cum,0
2020-01-13,10,1_week_ahead_cum,0
2020-01-13,11,1_week_ahead_cum,0
2020-01-13,12,1_week_ahead_cum,0
2020-01-13,13,1_week_ahead_cum,0
2020-01-13,15,1_week_ahead_cum,0
2020-01-13,16,1_week_ahead_cum,0
2020-01-13,17,1_week_ahead_cum,0
2020-01-13,18,1_week_ahead_cum,0
2020-01-13,19,1_week_ahead_cum,0
2020-01-13,20,1_week_ahead_cum,0
2020-01-13,21,1_week_ahead_cum,0
2020-01-13,22,1_week_ahead_cum,0
2020-01-13,23,1_week_ahead_cum,0
2020-01-13,24,1_week_ahead_cum,0
2020-01-13,25,1_week_ahead_cum,0
2020-01-13,26,1_week_ahead_cum,0
2020-01-13,27,1_week_ahead_cum,0
2020-01-13,28,1_week_ahead_cum,0
2020-01-13,29,1_week_ahead_cum,0
2020-01-13,30,1_week_ahead_cum,0
2020-01-13,31,1_week_ahead_cum,0
2020-01-13,32,1_week_ahead_cum,0
2020-01-13,33,1_week_ahead_cum,0
2020-01-13,34,1_week_ahead_cum,0
2020-01-13,35,1_week_ahead_cum,0
2020-01-13,36,1_week_ahead_cum,0
2020-01-13,37,1_week_ahead_cum,0
2020-01-13,38,1_week_ahead_cum,0
2020-01-13,39,1_week_ahead_cum,0
2020-01-13,40,1_week_ahead_cum,0
2020-01-13,41,1_week_ahead_cum,0
2020-01-13,42,1_week_ahead_cum,0
2020-01-13,44,1_week_ahead_cum,0
2020-01-13,45,1_week_ahead_cum,0
2020-01-13,46,1_week_ahead_cum,0
2020-01-13,47,1_week_ahead_cum,0
2020-01-13,48,1_week_ahead_cum,0
2020-01-13,49,1_week_ahead_cum,0
2020-01-13,50,1_week_ahead_cum,0
2020-01-13,51,1_week_ahead_cum,0
2020-01-13,53,1_week_ahead_cum,0
2020-01-13,54,1_week_ahead_cum,0
2020-01-13,55,1_week_ahead_cum,0
2020-01-13,56,1_week_ahead_cum,0
2020-01-13,US,1_week_ahead_cum,0
2020-01-20,01,1_week_ahead_cum,0
2020-01-20,02,1_week_ahead_cum,0
2020-01-20,04,1_week_ahead_cum,0
2020-01-20,05,1_week_ahead_cum,0
2020-01-20,06,1_week_ahead_cum,0
2020-01-20,08,1_week_ahead_cum,0
2020-01-20,09,1_week_ahead_cum,0
2020-01-20,10,1_week_ahead_cum,0
2020-01-20,11,1_week_ahead_cum,0
2020-01-20,12,1_week_ahead_cum,0
2020-01-20,13,1_week_ahead_cum,0
2020-01-20,15,1_week_ahead_cum,0
2020-01-20,16,1_week_ahead_cum,0
2020-01-20,17,1_week_ahead_cum,0
2020-01-20,18,1_week_ahead_cum,0
2020-01-20,19,1_week_ahead_cum,0
2020-01-20,20,1_week_ahead_cum,0
2020-01-20,21,1_week_ahead_cum,0
2020-01-20,22,1_week_ahead_cum,0
2020-01-20,23,1_week_ahead_cum,0
2020-01-20,24,1_week_ahead_cum,0
2020-01-20,25,1_week_ahead_cum,0
2020-01-20,26,1_week_ahead_cum,0
2020-01-20,27,1_week_ahead_cum,0
2020-01-20,28,1_week_ahead_cum,0
2020-01-20,29,1_week_ahead_cum,0
2020-01-20,30,1_week_ahead_cum,0
2020-01-20,31,1_week_ahead_cum,0
2020-01-20,32,1_week_ahead_cum,0
2020-01-20,33,1_week_ahead_cum,0
2020-01-20,34,1_week_ahead_cum,0
2020-01-20,35,1_week_ahead_cum,0
2020-01-20,36,1_week_ahead_cum,0
2020-01-20,37,1_week_ahead_cum,0
2020-01-20,38,1_week_ahead_cum,0
2020-01-20,39,1_week_ahead_cum,0
2020-01-20,40,1_week_ahead_cum,0
2020-01-20,41,1_week_ahead_cum,0
2020-01-20,42,1_week_ahead_cum,0
2020-01-20,44,1_week_ahead_cum,0
2020-01-20,45,1_week_ahead_cum,0
2020-01-20,46,1_week_ahead_cum,0
2020-01-20,47,1_week_ahead_cum,0
2020-01-20,48,1_week_ahead_cum,0
2020-01-20,49,1_week_ahead_cum,0
2020-01-20,50,1_week_ahead_cum,0
2020-01-20,51,1_week_ahead_cum,0
2020-01-20,53,1_week_ahead_cum,0
2020-01-20,54,1_week_ahead_cum,0
2020-01-20,55,1_week_ahead_cum,0
2020-01-20,56,1_week_ahead_cum,0
2020-01-20,US,1_week_ahead_cum,0
2020-01-27,01,1_week_ahead_cum,0
2020-01-27,02,1_week_ahead_cum,0
2020-01-27,04,1_week_ahead_cum,0
2020-01-27,05,1_week_ahead_cum,0
2020-01-27,06,1_week_ahead_cum,0
2020-01-27,08,1_week_ahead_cum,0
2020-01-27,09,1_week_ahead_cum,0
2020-01-27,10,1_week_ahead_cum,0
2020-01-27,11,1_week_ahead_cum,0
2020-01-27,12,1_week_ahead_cum,0
2020-01-27,13,1_week_ahead_cum,0
2020-01-27,15,1_week_ahead_cum,0
2020-01-27,16,1_week_ahead_cum,0
2020-01-27,17,1_week_ahead_cum,0
2020-01-27,18,1_week_ahead_cum,0
2020-01-27,19,1_week_ahead_cum,0
