,week,location_long,level_0,value,year,day,state_code,state,state_name
0,4,Alabama,1/25/20,0.0,2020,7,01,AL,Alabama
1,4,Alaska,1/25/20,0.0,2020,7,02,AK,Alaska
2,4,Arizona,1/25/20,0.0,2020,7,04,AZ,Arizona
3,4,Arkansas,1/25/20,0.0,2020,7,05,AR,Arkansas
4,4,California,1/25/20,0.0,2020,7,06,CA,California
5,4,Colorado,1/25/20,0.0,2020,7,08,CO,Colorado
6,4,Connecticut,1/25/20,0.0,2020,7,09,CT,Connecticut
7,4,Delaware,1/25/20,0.0,2020,7,10,DE,Delaware
8,4,District of Columbia,1/25/20,0.0,2020,7,11,DC,District of Columbia
9,4,Florida,1/25/20,0.0,2020,7,12,FL,Florida
10,4,Georgia,1/25/20,0.0,2020,7,13,GA,Georgia
11,4,Hawaii,1/25/20,0.0,2020,7,15,HI,Hawaii
12,4,Idaho,1/25/20,0.0,2020,7,16,ID,Idaho
13,4,Illinois,1/25/20,0.0,2020,7,17,IL,Illinois
14,4,Indiana,1/25/20,0.0,2020,7,18,IN,Indiana
15,4,Iowa,1/25/20,0.0,2020,7,19,IA,Iowa
16,4,Kansas,1/25/20,0.0,2020,7,20,KS,Kansas
17,4,Kentucky,1/25/20,0.0,2020,7,21,KY,Kentucky
18,4,Louisiana,1/25/20,0.0,2020,7,22,LA,Louisiana
19,4,Maine,1/25/20,0.0,2020,7,23,ME,Maine
20,4,Maryland,1/25/20,0.0,2020,7,24,MD,Maryland
21,4,Massachusetts,1/25/20,0.0,2020,7,25,MA,Massachusetts
22,4,Michigan,1/25/20,0.0,2020,7,26,MI,Michigan
23,4,Minnesota,1/25/20,0.0,2020,7,27,MN,Minnesota
24,4,Mississippi,1/25/20,0.0,2020,7,28,MS,Mississippi
25,4,Missouri,1/25/20,0.0,2020,7,29,MO,Missouri
26,4,Montana,1/25/20,0.0,2020,7,30,MT,Montana
27,4,Nebraska,1/25/20,0.0,2020,7,31,NE,Nebraska
28,4,Nevada,1/25/20,0.0,2020,7,32,NV,Nevada
29,4,New Hampshire,1/25/20,0.0,2020,7,33,NH,New Hampshire
30,4,New Jersey,1/25/20,0.0,2020,7,34,NJ,New Jersey
31,4,New Mexico,1/25/20,0.0,2020,7,35,NM,New Mexico
32,4,New York,1/25/20,0.0,2020,7,36,NY,New York
33,4,North Carolina,1/25/20,0.0,2020,7,37,NC,North Carolina
34,4,North Dakota,1/25/20,0.0,2020,7,38,ND,North Dakota
35,4,Ohio,1/25/20,0.0,2020,7,39,OH,Ohio
36,4,Oklahoma,1/25/20,0.0,2020,7,40,OK,Oklahoma
37,4,Oregon,1/25/20,0.0,2020,7,41,OR,Oregon
38,4,Pennsylvania,1/25/20,0.0,2020,7,42,PA,Pennsylvania
39,4,Rhode Island,1/25/20,0.0,2020,7,44,RI,Rhode Island
40,4,South Carolina,1/25/20,0.0,2020,7,45,SC,South Carolina
41,4,South Dakota,1/25/20,0.0,2020,7,46,SD,South Dakota
42,4,Tennessee,1/25/20,0.0,2020,7,47,TN,Tennessee
43,4,Texas,1/25/20,0.0,2020,7,48,TX,Texas
44,4,US,1/25/20,0.0,2020,7,US,nat,
45,4,Utah,1/25/20,0.0,2020,7,49,UT,Utah
46,4,Vermont,1/25/20,0.0,2020,7,50,VT,Vermont
47,4,Virginia,1/25/20,0.0,2020,7,51,VA,Virginia
48,4,Washington,1/25/20,0.0,2020,7,53,WA,Washington
49,4,West Virginia,1/25/20,0.0,2020,7,54,WV,West Virginia
50,4,Wisconsin,1/25/20,0.0,2020,7,55,WI,Wisconsin
51,4,Wyoming,1/25/20,0.0,2020,7,56,WY,Wyoming
52,5,Alabama,2/1/20,0.0,2020,7,01,AL,Alabama
53,5,Alaska,2/1/20,0.0,2020,7,02,AK,Alaska
54,5,Arizona,2/1/20,0.0,2020,7,04,AZ,Arizona
55,5,Arkansas,2/1/20,0.0,2020,7,05,AR,Arkansas
56,5,California,2/1/20,0.0,2020,7,06,CA,California
57,5,Colorado,2/1/20,0.0,2020,7,08,CO,Colorado
58,5,Connecticut,2/1/20,0.0,2020,7,09,CT,Connecticut
59,5,Delaware,2/1/20,0.0,2020,7,10,DE,Delaware
60,5,District of Columbia,2/1/20,0.0,2020,7,11,DC,District of Columbia
