,level_0,location_long,value,year,week,day,state,state_code,state_name
0,1/22/20,Alabama,,2020,4,4,AL,01,Alabama
1,1/22/20,Alaska,,2020,4,4,AK,02,Alaska
3,1/22/20,Arizona,,2020,4,4,AZ,04,Arizona
4,1/22/20,Arkansas,,2020,4,4,AR,05,Arkansas
5,1/22/20,California,,2020,4,4,CA,06,California
6,1/22/20,Colorado,,2020,4,4,CO,08,Colorado
7,1/22/20,Connecticut,,2020,4,4,CT,09,Connecticut
8,1/22/20,Delaware,,2020,4,4,DE,10,Delaware
10,1/22/20,District of Columbia,,2020,4,4,DC,11,District of Columbia
11,1/22/20,Florida,,2020,4,4,FL,12,Florida
12,1/22/20,Georgia,,2020,4,4,GA,13,Georgia
15,1/22/20,Hawaii,,2020,4,4,HI,15,Hawaii
16,1/22/20,Idaho,,2020,4,4,ID,16,Idaho
17,1/22/20,Illinois,,2020,4,4,IL,17,Illinois
18,1/22/20,Indiana,,2020,4,4,IN,18,Indiana
19,1/22/20,Iowa,,2020,4,4,IA,19,Iowa
20,1/22/20,Kansas,,2020,4,4,KS,20,Kansas
21,1/22/20,Kentucky,,2020,4,4,KY,21,Kentucky
22,1/22/20,Louisiana,,2020,4,4,LA,22,Louisiana
23,1/22/20,Maine,,2020,4,4,ME,23,Maine
24,1/22/20,Maryland,,2020,4,4,MD,24,Maryland
25,1/22/20,Massachusetts,,2020,4,4,MA,25,Massachusetts
26,1/22/20,Michigan,,2020,4,4,MI,26,Michigan
27,1/22/20,Minnesota,,2020,4,4,MN,27,Minnesota
28,1/22/20,Mississippi,,2020,4,4,MS,28,Mississippi
29,1/22/20,Missouri,,2020,4,4,MO,29,Missouri
30,1/22/20,Montana,,2020,4,4,MT,30,Montana
31,1/22/20,Nebraska,,2020,4,4,NE,31,Nebraska
32,1/22/20,Nevada,,2020,4,4,NV,32,Nevada
33,1/22/20,New Hampshire,,2020,4,4,NH,33,New Hampshire
34,1/22/20,New Jersey,,2020,4,4,NJ,34,New Jersey
35,1/22/20,New Mexico,,2020,4,4,NM,35,New Mexico
36,1/22/20,New York,,2020,4,4,NY,36,New York
37,1/22/20,North Carolina,,2020,4,4,NC,37,North Carolina
38,1/22/20,North Dakota,,2020,4,4,ND,38,North Dakota
40,1/22/20,Ohio,,2020,4,4,OH,39,Ohio
41,1/22/20,Oklahoma,,2020,4,4,OK,40,Oklahoma
42,1/22/20,Oregon,,2020,4,4,OR,41,Oregon
43,1/22/20,Pennsylvania,,2020,4,4,PA,42,Pennsylvania
45,1/22/20,Rhode Island,,2020,4,4,RI,44,Rhode Island
46,1/22/20,South Carolina,,2020,4,4,SC,45,South Carolina
47,1/22/20,South Dakota,,2020,4,4,SD,46,South Dakota
48,1/22/20,Tennessee,,2020,4,4,TN,47,Tennessee
49,1/22/20,Texas,,2020,4,4,TX,48,Texas
50,1/22/20,Utah,,2020,4,4,UT,49,Utah
