target_id,location_id,type,quantile,value
1 wk ahead cum,36,point,NA,1500
1 wk ahead cum,36,quantile,0.05,1245
1 wk ahead cum,36,quantile,0.25,1500
1 wk ahead cum,36,quantile,0.75,1750
1 wk ahead cum,36,quantile,0.95,1850
2 wk ahead cum,36,point,NA,1500
2 wk ahead cum,36,quantile,0.05,1000
2 wk ahead cum,36,quantile,0.25,1200
2 wk ahead cum,36,quantile,0.5,1500
2 wk ahead cum,36,quantile,0.75,1800
2 wk ahead cum,36,quantile,0.95,2000
1 wk ahead cum,25,point,NA,800
1 wk ahead cum,25,quantile,0.05,450
1 wk ahead cum,25,quantile,0.25,800
1 wk ahead cum,25,quantile,0.75,1102
1 wk ahead cum,25,quantile,0.95,1294
2 wk ahead cum,25,point,NA,350
2 wk ahead cum,25,quantile,0.05,240
2 wk ahead cum,25,quantile,0.25,284
2 wk ahead cum,25,quantile,0.5,350
2 wk ahead cum,25,quantile,0.75,428
2 wk ahead cum,25,quantile,0.95,501
1 wk ahead cum,6,point,NA,800
1 wk ahead cum,6,quantile,0.05,450
1 wk ahead cum,6,quantile,0.25,800
1 wk ahead cum,6,quantile,0.75,1102
1 wk ahead cum,6,quantile,0.95,1294
2 wk ahead cum,6,point,NA,350
2 wk ahead cum,6,quantile,0.05,437
2 wk ahead cum,6,quantile,0.25,562
2 wk ahead cum,6,quantile,0.5,815
2 wk ahead cum,6,quantile,0.75,927
2 wk ahead cum,6,quantile,0.95,1036
1 wk ahead cum,8,point,NA,340
1 wk ahead cum,8,quantile,0.05,292
1 wk ahead cum,8,quantile,0.25,340
1 wk ahead cum,8,quantile,0.75,471
1 wk ahead cum,8,quantile,0.95,600
2 wk ahead cum,8,point,NA,350
2 wk ahead cum,8,quantile,0.05,200
2 wk ahead cum,8,quantile,0.25,328
2 wk ahead cum,8,quantile,0.5,349
2 wk ahead cum,8,quantile,0.75,463
2 wk ahead cum,8,quantile,0.95,560
1 wk ahead cum,US,point,NA,340
1 wk ahead cum,US,quantile,0.05,292
1 wk ahead cum,US,quantile,0.25,340
1 wk ahead cum,US,quantile,0.75,471
1 wk ahead cum,US,quantile,0.95,600
2 wk ahead cum,US,point,NA,350
2 wk ahead cum,US,quantile,0.05,200
2 wk ahead cum,US,quantile,0.25,328
2 wk ahead cum,US,quantile,0.5,349
2 wk ahead cum,US,quantile,0.75,463
2 wk ahead cum,US,quantile,0.95,560
