COVIDhub-baseline,CU-select,GT-DeepCOVID,IHME-CurveFit,JHUAPL-Bucky,JHUAPL-Gecko,Karlen-pypm,MUNI-ARIMA,BPagano-RtDriven,UMass-trends_ensemble,USC-SI_kJalpha,locations
1.54186825233918e-4,3.029245250393347e-4,2.9764702242180896e-6,7.25948678530193e-4,5.866737951868218e-4,3.368824966823369e-5,1.9123755783837667e-5,2.8949125647766355e-5,8.590872529407566e-5,0.998059619849392,0,01
1.54186825233918e-4,3.029245250393347e-4,2.9764702242180896e-6,7.25948678530193e-4,5.866737951868218e-4,3.368824966823369e-5,1.9123755783837667e-5,2.8949125647766355e-5,8.590872529407566e-5,0.998059619849392,0,02
1.54186825233918e-4,3.029245250393347e-4,2.9764702242180896e-6,7.25948678530193e-4,5.866737951868218e-4,3.368824966823369e-5,1.9123755783837667e-5,2.8949125647766355e-5,8.590872529407566e-5,0.998059619849392,0,04
1.54186825233918e-4,3.029245250393347e-4,2.9764702242180896e-6,7.25948678530193e-4,5.866737951868218e-4,3.368824966823369e-5,1.9123755783837667e-5,2.8949125647766355e-5,8.590872529407566e-5,0.998059619849392,0,05
1.54186825233918e-4,3.029245250393347e-4,2.9764702242180896e-6,7.25948678530193e-4,5.866737951868218e-4,3.368824966823369e-5,1.9123755783837667e-5,2.8949125647766355e-5,8.590872529407566e-5,0.998059619849392,0,06
1.54186825233918e-4,3.029245250393347e-4,2.9764702242180896e-6,7.25948678530193e-4,5.866737951868218e-4,3.368824966823369e-5,1.9123755783837667e-5,2.8949125647766355e-5,8.590872529407566e-5,0.998059619849392,0,08
1.54186825233918e-4,3.029245250393347e-4,2.9764702242180896e-6,7.25948678530193e-4,5.866737951868218e-4,3.368824966823369e-5,1.9123755783837667e-5,2.8949125647766355e-5,8.590872529407566e-5,0.998059619849392,0,09
1.54186825233918e-4,3.029245250393347e-4,2.9764702242180896e-6,7.25948678530193e-4,5.866737951868218e-4,3.368824966823369e-5,1.9123755783837667e-5,2.8949125647766355e-5,8.590872529407566e-5,0.998059619849392,0,10
1.54186825233918e-4,3.029245250393347e-4,2.9764702242180896e-6,7.25948678530193e-4,5.866737951868218e-4,3.368824966823369e-5,1.9123755783837667e-5,2.8949125647766355e-5,8.590872529407566e-5,0.998059619849392,0,11
1.54186825233918e-4,3.029245250393347e-4,2.9764702242180896e-6,7.25948678530193e-4,5.866737951868218e-4,3.368824966823369e-5,1.9123755783837667e-5,2.8949125647766355e-5,8.590872529407566e-5,0.998059619849392,0,12
1.54186825233918e-4,3.029245250393347e-4,2.9764702242180896e-6,7.25948678530193e-4,5.866737951868218e-4,3.368824966823369e-5,1.9123755783837667e-5,2.8949125647766355e-5,8.590872529407566e-5,0.998059619849392,0,13
1.54186825233918e-4,3.029245250393347e-4,2.9764702242180896e-6,7.25948678530193e-4,5.866737951868218e-4,3.368824966823369e-5,1.9123755783837667e-5,2.8949125647766355e-5,8.590872529407566e-5,0.998059619849392,0,15
1.54186825233918e-4,3.029245250393347e-4,2.9764702242180896e-6,7.25948678530193e-4,5.866737951868218e-4,3.368824966823369e-5,1.9123755783837667e-5,2.8949125647766355e-5,8.590872529407566e-5,0.998059619849392,0,16
