,location,target,type,quantile,forecast_date,target_end_date,value
77,US,26 day ahead cum death,quantile,0.95,2020-06-24,2020-07-20,178239.71799999996
78,US,27 day ahead cum death,quantile,0.05,2020-06-24,2020-07-21,152346.80749999994
79,US,27 day ahead cum death,point,,2020-06-24,2020-07-21,162692.42550000007
80,US,27 day ahead cum death,quantile,0.95,2020-06-24,2020-07-21,183429.714
81,US,28 day ahead cum death,quantile,0.05,2020-06-24,2020-07-22,153930.58849999995
82,US,28 day ahead cum death,point,,2020-06-24,2020-07-22,165199.92000000007
83,US,28 day ahead cum death,quantile,0.95,2020-06-24,2020-07-22,189199.422
84,US,29 day ahead cum death,quantile,0.05,2020-06-24,2020-07-23,155573.49049999993
85,US,29 day ahead cum death,point,,2020-06-24,2020-07-23,167837.98900000006
86,US,29 day ahead cum death,quantile,0.95,2020-06-24,2020-07-23,195638.358
87,US,30 day ahead cum death,quantile,0.05,2020-06-24,2020-07-24,156161.62506119243
88,US,30 day ahead cum death,point,,2020-06-24,2020-07-24,169530.45328748762
89,US,30 day ahead cum death,quantile,0.95,2020-06-24,2020-07-24,200249.3632563771
90,US,31 day ahead cum death,quantile,0.05,2020-06-24,2020-07-25,156739.41512579247
91,US,31 day ahead cum death,point,,2020-06-24,2020-07-25,171259.39662122075
92,US,31 day ahead cum death,quantile,0.95,2020-06-24,2020-07-25,205140.23932079368
93,US,32 day ahead cum death,quantile,0.05,2020-06-24,2020-07-26,157307.04263959403
94,US,32 day ahead cum death,point,,2020-06-24,2020-07-26,173025.60526347085
95,US,32 day ahead cum death,quantile,0.95,2020-06-24,2020-07-26,210327.97330665286
96,US,33 day ahead cum death,quantile,0.05,2020-06-24,2020-07-27,157864.68634820922
97,US,33 day ahead cum death,point,,2020-06-24,2020-07-27,174829.88242345353
98,US,33 day ahead cum death,quantile,0.95,2020-06-24,2020-07-27,215830.58338173522
99,US,34 day ahead cum death,quantile,0.05,2020-06-24,2020-07-28,158422.3300568244
100,US,34 day ahead cum death,point,,2020-06-24,2020-07-28,176634.1595834362
101,US,34 day ahead cum death,quantile,0.95,2020-06-24,2020-07-28,221333.19345681765
102,US,35 day ahead cum death,quantile,0.05,2020-06-24,2020-07-29,158979.97376543962
103,US,35 day ahead cum death,point,,2020-06-24,2020-07-29,178438.43674341892
104,US,35 day ahead cum death,quantile,0.95,2020-06-24,2020-07-29,226835.8035319001
105,US,36 day ahead cum death,quantile,0.05,2020-06-24,2020-07-30,159537.61747405474
106,US,36 day ahead cum death,point,,2020-06-24,2020-07-30,180242.7139034016
107,US,36 day ahead cum death,quantile,0.95,2020-06-24,2020-07-30,232338.4136069825
108,US,37 day ahead cum death,quantile,0.05,2020-06-24,2020-07-31,160095.26118266993
109,US,37 day ahead cum death,point,,2020-06-24,2020-07-31,182046.99106338425
110,US,37 day ahead cum death,quantile,0.95,2020-06-24,2020-07-31,237841.02368206496
111,US,38 day ahead cum death,quantile,0.05,2020-06-24,2020-08-01,160652.90489128514
112,US,38 day ahead cum death,point,,2020-06-24,2020-08-01,183851.2682233669
113,US,38 day ahead cum death,quantile,0.95,2020-06-24,2020-08-01,243343.63375714736
114,US,39 day ahead cum death,quantile,0.05,2020-06-24,2020-08-02,161210.54859990033
115,US,39 day ahead cum death,point,,2020-06-24,2020-08-02,185655.5453833496
116,US,39 day ahead cum death,quantile,0.95,2020-06-24,2020-08-02,248846.2438322298
117,US,40 day ahead cum death,quantile,0.05,2020-06-24,2020-08-03,161768.1923085155
118,US,40 day ahead cum death,point,,2020-06-24,2020-08-03,187459.8225433323
119,US,40 day ahead cum death,quantile,0.95,2020-06-24,2020-08-03,254348.85390731227
120,US,41 day ahead cum death,quantile,0.05,2020-06-24,2020-08-04,162325.8360171307
121,US,41 day ahead cum death,point,,2020-06-24,2020-08-04,189264.09970331495
122,US,41 day ahead cum death,quantile,0.95,2020-06-24,2020-08-04,259851.4639823947
