location,target_end_date,quantile,value,forecast_date,horizon
39,2022-12-04,0.010,166.9086286869917,2022-12-04,0
40,2022-12-04,0.010,41.80428283335832,2022-12-04,0
41,2022-12-04,0.010,29.820429869712115,2022-12-04,0
42,2022-12-04,0.010,143.00176540511848,2022-12-04,0
44,2022-12-04,0.010,4.556895624443309,2022-12-04,0
45,2022-12-04,0.010,28.42922225990597,2022-12-04,0
46,2022-12-04,0.010,4.406088913770391,2022-12-04,0
47,2022-12-04,0.010,45.602654374039005,2022-12-04,0
48,2022-12-04,0.010,292.9152737323968,2022-12-04,0
49,2022-12-04,0.010,27.83237304303822,2022-12-04,0
50,2022-12-04,0.010,1.3729008734226265,2022-12-04,0
51,2022-12-04,0.010,44.211851777755065,2022-12-04,0
53,2022-12-04,0.010,36.50069168832722,2022-12-04,0
54,2022-12-04,0.010,11.540710417531951,2022-12-04,0
55,2022-12-04,0.010,64.71444751051614,2022-12-04,0
56,2022-12-04,0.010,3.7948954985014587,2022-12-04,0
60,2022-12-04,0.010,0.002603050316232034,2022-12-04,0
72,2022-12-04,0.010,7.582026447981454,2022-12-04,0
78,2022-12-04,0.010,6.060811492501512e-05,2022-12-04,0
US,2022-12-04,0.010,4354.981120851655,2022-12-04,0
01,2022-12-05,0.010,38.98426652038137,2022-12-04,1
02,2022-12-05,0.010,2.396460390345746,2022-12-04,1
04,2022-12-05,0.010,136.19952755120482,2022-12-04,1
05,2022-12-05,0.010,18.651631089273646,2022-12-04,1
06,2022-12-05,0.010,611.3406517063236,2022-12-04,1
08,2022-12-05,0.010,64.53637858305034,2022-12-04,1
09,2022-12-05,0.010,46.8117509838111,2022-12-04,1
10,2022-12-05,0.010,7.890929338894116,2022-12-04,1
11,2022-12-05,0.010,6.185147259029153,2022-12-04,1
12,2022-12-05,0.010,166.09164548427412,2022-12-04,1
13,2022-12-05,0.010,81.65565145476779,2022-12-04,1
15,2022-12-05,0.010,5.296083760743409,2022-12-04,1
16,2022-12-05,0.010,13.048277010221598,2022-12-04,1
17,2022-12-05,0.010,176.89005362910484,2022-12-04,1
18,2022-12-05,0.010,78.91351983120789,2022-12-04,1
19,2022-12-05,0.010,24.16464130451674,2022-12-04,1
20,2022-12-05,0.010,31.388137815854048,2022-12-04,1
21,2022-12-05,0.010,42.09437610730675,2022-12-04,1
22,2022-12-05,0.010,46.072982419381944,2022-12-04,1
23,2022-12-05,0.010,3.730568742602663,2022-12-04,1
24,2022-12-05,0.010,43.38261691479866,2022-12-04,1
25,2022-12-05,0.010,74.7866917827685,2022-12-04,1
26,2022-12-05,0.010,96.5546825304022,2022-12-04,1
27,2022-12-05,0.010,52.862784298952256,2022-12-04,1
28,2022-12-05,0.010,13.637736639474301,2022-12-04,1
29,2022-12-05,0.010,80.545770577054,2022-12-04,1
30,2022-12-05,0.010,7.76656413620262,2022-12-04,1
31,2022-12-05,0.010,24.249972192747556,2022-12-04,1
32,2022-12-05,0.010,30.437753192885985,2022-12-04,1
33,2022-12-05,0.010,7.244766538658071,2022-12-04,1
34,2022-12-05,0.010,135.60981130001755,2022-12-04,1
35,2022-12-05,0.010,18.843676717755482,2022-12-04,1
36,2022-12-05,0.010,309.68303644803296,2022-12-04,1
37,2022-12-05,0.010,55.534536256222445,2022-12-04,1
38,2022-12-05,0.010,4.715595553207121,2022-12-04,1
39,2022-12-05,0.010,160.23953473166554,2022-12-04,1
40,2022-12-05,0.010,40.70786914239256,2022-12-04,1
41,2022-12-05,0.010,29.72776990025921,2022-12-04,1
42,2022-12-05,0.010,142.073960500329,2022-12-04,1
44,2022-12-05,0.010,4.3715556339083435,2022-12-04,1
45,2022-12-05,0.010,27.870257527145416,2022-12-04,1
46,2022-12-05,0.010,4.344236126963,2022-12-04,1
47,2022-12-05,0.010,46.01499383255301,2022-12-04,1
48,2022-12-05,0.010,291.78694445187824,2022-12-04,1
49,2022-12-05,0.010,29.13014314938171,2022-12-04,1
50,2022-12-05,0.010,1.290755521821952,2022-12-04,1
51,2022-12-05,0.010,45.15171383075106,2022-12-04,1
53,2022-12-05,0.010,35.22134628321251,2022-12-04,1
54,2022-12-05,0.010,11.80277818974603,2022-12-04,1
55,2022-12-05,0.010,64.33682498684787,2022-12-04,1
56,2022-12-05,0.010,3.7966381391431456,2022-12-04,1
60,2022-12-05,0.010,0.003519617747604563,2022-12-04,1
72,2022-12-05,0.010,7.493218047329422,2022-12-04,1
78,2022-12-05,0.010,2.814647224704131e-05,2022-12-04,1
US,2022-12-05,0.010,4425.976545203198,2022-12-04,1
01,2022-12-06,0.010,36.68370541909834,2022-12-04,2
02,2022-12-06,0.010,2.527040932899699,2022-12-04,2
04,2022-12-06,0.010,135.1629995949519,2022-12-04,2
05,2022-12-06,0.010,18.301560218084266,2022-12-04,2
06,2022-12-06,0.010,593.4920302137912,2022-12-04,2
08,2022-12-06,0.010,58.76723755775142,2022-12-04,2
09,2022-12-06,0.010,43.04634371721952,2022-12-04,2
10,2022-12-06,0.010,7.787129983306038,2022-12-04,2
11,2022-12-06,0.010,5.672315024112847,2022-12-04,2
12,2022-12-06,0.010,151.23086902467742,2022-12-04,2
13,2022-12-06,0.010,76.25110118380069,2022-12-04,2
15,2022-12-06,0.010,5.600446922084121,2022-12-04,2
16,2022-12-06,0.010,13.438523643612891,2022-12-04,2
17,2022-12-06,0.010,171.88098354228418,2022-12-04,2
18,2022-12-06,0.010,77.72846243049152,2022-12-04,2
19,2022-12-06,0.010,23.548661584906853,2022-12-04,2
20,2022-12-06,0.010,30.704560855941267,2022-12-04,2
21,2022-12-06,0.010,41.573797672543435,2022-12-04,2
22,2022-12-06,0.010,41.467943595456454,2022-12-04,2
23,2022-12-06,0.010,3.5788799175235124,2022-12-04,2
24,2022-12-06,0.010,42.44755244530629,2022-12-04,2
25,2022-12-06,0.010,72.46739084673969,2022-12-04,2
26,2022-12-06,0.010,91.54288324833577,2022-12-04,2
27,2022-12-06,0.010,52.10735612397731,2022-12-04,2
28,2022-12-06,0.010,13.648899830730096,2022-12-04,2
29,2022-12-06,0.010,79.57565742969125,2022-12-04,2
30,2022-12-06,0.010,7.386517064773339,2022-12-04,2
31,2022-12-06,0.010,24.111919803326114,2022-12-04,2
32,2022-12-06,0.010,30.32014180720751,2022-12-04,2
33,2022-12-06,0.010,6.8243334164740705,2022-12-04,2
