location,target_end_date,quantile,value,forecast_date,target,type
01,2024-01-03,0.01,18.37821535832648,2024-01-02,1 day ahead inc hosp,quantile
01,2024-01-03,0.025,32.47151635830304,2024-01-02,1 day ahead inc hosp,quantile
01,2024-01-03,0.05,43.00493581616075,2024-01-02,1 day ahead inc hosp,quantile
01,2024-01-03,0.1,49.47737756765462,2024-01-02,1 day ahead inc hosp,quantile
01,2024-01-03,0.15,55.213562241871514,2024-01-02,1 day ahead inc hosp,quantile
01,2024-01-03,0.2,59.09611579660301,2024-01-02,1 day ahead inc hosp,quantile
01,2024-01-03,0.25,63.44321212325233,2024-01-02,1 day ahead inc hosp,quantile
01,2024-01-03,0.3,66.46999348161472,2024-01-02,1 day ahead inc hosp,quantile
01,2024-01-03,0.35,69.35721823206569,2024-01-02,1 day ahead inc hosp,quantile
01,2024-01-03,0.4,72.21888689139114,2024-01-02,1 day ahead inc hosp,quantile
01,2024-01-03,0.45,75.21931502460014,2024-01-02,1 day ahead inc hosp,quantile
01,2024-01-03,0.5,78.90392063041477,2024-01-02,1 day ahead inc hosp,quantile
01,2024-01-03,0.55,81.56925935690333,2024-01-02,1 day ahead inc hosp,quantile
01,2024-01-03,0.6,84.93862920269017,2024-01-02,1 day ahead inc hosp,quantile
01,2024-01-03,0.65,88.36326325642882,2024-01-02,1 day ahead inc hosp,quantile
01,2024-01-03,0.7,91.90068103090024,2024-01-02,1 day ahead inc hosp,quantile
01,2024-01-03,0.75,96.74256276603252,2024-01-02,1 day ahead inc hosp,quantile
01,2024-01-03,0.8,101.27371212963544,2024-01-02,1 day ahead inc hosp,quantile
01,2024-01-03,0.85,107.25539677340842,2024-01-02,1 day ahead inc hosp,quantile
01,2024-01-03,0.9,115.69854291776409,2024-01-02,1 day ahead inc hosp,quantile
01,2024-01-03,0.95,128.97405306807707,2024-01-02,1 day ahead inc hosp,quantile
01,2024-01-03,0.975,141.10887605537297,2024-01-02,1 day ahead inc hosp,quantile
01,2024-01-03,0.99,154.56183192376676,2024-01-02,1 day ahead inc hosp,quantile
01,2024-01-04,0.01,16.901420593388924,2024-01-02,2 day ahead inc hosp,quantile
01,2024-01-04,0.025,29.28477748232396,2024-01-02,2 day ahead inc hosp,quantile
01,2024-01-04,0.05,41.898649673150175,2024-01-02,2 day ahead inc hosp,quantile
01,2024-01-04,0.1,48.41051554612737,2024-01-02,2 day ahead inc hosp,quantile
01,2024-01-04,0.15,54.95668314769549,2024-01-02,2 day ahead inc hosp,quantile
01,2024-01-04,0.2,58.716960004908486,2024-01-02,2 day ahead inc hosp,quantile
01,2024-01-04,0.25,62.783234454961274,2024-01-02,2 day ahead inc hosp,quantile
01,2024-01-04,0.3,65.78803455982664,2024-01-02,2 day ahead inc hosp,quantile
01,2024-01-04,0.35,68.6976348189693,2024-01-02,2 day ahead inc hosp,quantile
01,2024-01-04,0.4,71.79991986822785,2024-01-02,2 day ahead inc hosp,quantile
01,2024-01-04,0.45,75.07091541911625,2024-01-02,2 day ahead inc hosp,quantile
01,2024-01-04,0.5,78.91567968515143,2024-01-02,2 day ahead inc hosp,quantile
01,2024-01-04,0.55,82.68363313158702,2024-01-02,2 day ahead inc hosp,quantile
01,2024-01-04,0.6,85.64180821085228,2024-01-02,2 day ahead inc hosp,quantile
01,2024-01-04,0.65,89.0954402661489,2024-01-02,2 day ahead inc hosp,quantile
01,2024-01-04,0.7,93.07483600304674,2024-01-02,2 day ahead inc hosp,quantile
01,2024-01-04,0.75,97.03924003243324,2024-01-02,2 day ahead inc hosp,quantile
01,2024-01-04,0.8,100.55532031318056,2024-01-02,2 day ahead inc hosp,quantile
01,2024-01-04,0.85,107.32101962927888,2024-01-02,2 day ahead inc hosp,quantile
01,2024-01-04,0.9,117.13716736615063,2024-01-02,2 day ahead inc hosp,quantile
01,2024-01-04,0.95,132.9489956218387,2024-01-02,2 day ahead inc hosp,quantile
01,2024-01-04,0.975,143.5975325094666,2024-01-02,2 day ahead inc hosp,quantile
01,2024-01-04,0.99,157.0405262945625,2024-01-02,2 day ahead inc hosp,quantile
01,2024-01-05,0.01,15.903737525278189,2024-01-02,3 day ahead inc hosp,quantile
01,2024-01-05,0.025,26.43115718968094,2024-01-02,3 day ahead inc hosp,quantile
01,2024-01-05,0.05,41.82740540211154,2024-01-02,3 day ahead inc hosp,quantile
01,2024-01-05,0.1,48.30957711310528,2024-01-02,3 day ahead inc hosp,quantile
01,2024-01-05,0.15,54.181280520633614,2024-01-02,3 day ahead inc hosp,quantile
01,2024-01-05,0.2,58.095872461470535,2024-01-02,3 day ahead inc hosp,quantile
01,2024-01-05,0.25,62.31067950205483,2024-01-02,3 day ahead inc hosp,quantile
