target_end_date,quantile,value,type,location,forecast_date,target
2022-08-30,0.45,144.9563,quantile,01,2022-08-28,2 day ahead inc hosp
2022-08-30,0.5,149.82411,quantile,01,2022-08-28,2 day ahead inc hosp
2022-08-30,0.55,152.27628,quantile,01,2022-08-28,2 day ahead inc hosp
2022-08-30,0.6,156.86346,quantile,01,2022-08-28,2 day ahead inc hosp
2022-08-30,0.65,161.02313,quantile,01,2022-08-28,2 day ahead inc hosp
2022-08-30,0.7,165.4383,quantile,01,2022-08-28,2 day ahead inc hosp
2022-08-30,0.75,169.8857,quantile,01,2022-08-28,2 day ahead inc hosp
2022-08-30,0.8,177.20972,quantile,01,2022-08-28,2 day ahead inc hosp
2022-08-30,0.85,182.42294,quantile,01,2022-08-28,2 day ahead inc hosp
2022-08-30,0.9,191.01114,quantile,01,2022-08-28,2 day ahead inc hosp
2022-08-30,0.95,208.72789,quantile,01,2022-08-28,2 day ahead inc hosp
2022-08-30,0.975,229.1471,quantile,01,2022-08-28,2 day ahead inc hosp
2022-08-30,0.99,252.87135,quantile,01,2022-08-28,2 day ahead inc hosp
2022-08-31,0.01,84.105225,quantile,01,2022-08-28,3 day ahead inc hosp
2022-08-31,0.025,95.18831,quantile,01,2022-08-28,3 day ahead inc hosp
2022-08-31,0.05,103.500305,quantile,01,2022-08-28,3 day ahead inc hosp
2022-08-31,0.1,113.68991,quantile,01,2022-08-28,3 day ahead inc hosp
2022-08-31,0.15,117.94609,quantile,01,2022-08-28,3 day ahead inc hosp
2022-08-31,0.2,123.993195,quantile,01,2022-08-28,3 day ahead inc hosp
2022-08-31,0.25,129.6392,quantile,01,2022-08-28,3 day ahead inc hosp
2022-08-31,0.3,131.1197,quantile,01,2022-08-28,3 day ahead inc hosp
2022-08-31,0.35,136.22409,quantile,01,2022-08-28,3 day ahead inc hosp
2022-08-31,0.4,138.09178,quantile,01,2022-08-28,3 day ahead inc hosp
2022-08-31,0.45,141.95091,quantile,01,2022-08-28,3 day ahead inc hosp
2022-08-31,0.5,147.12637,quantile,01,2022-08-28,3 day ahead inc hosp
2022-08-31,0.55,148.77649,quantile,01,2022-08-28,3 day ahead inc hosp
2022-08-31,0.6,152.94174,quantile,01,2022-08-28,3 day ahead inc hosp
2022-08-31,0.65,157.80948,quantile,01,2022-08-28,3 day ahead inc hosp
2022-08-31,0.7,161.77298,quantile,01,2022-08-28,3 day ahead inc hosp
2022-08-31,0.75,165.74849,quantile,01,2022-08-28,3 day ahead inc hosp
2022-08-31,0.8,173.51817,quantile,01,2022-08-28,3 day ahead inc hosp
2022-08-31,0.85,178.82706,quantile,01,2022-08-28,3 day ahead inc hosp
2022-08-31,0.9,189.40492,quantile,01,2022-08-28,3 day ahead inc hosp
2022-08-31,0.95,208.35486,quantile,01,2022-08-28,3 day ahead inc hosp
2022-08-31,0.975,228.31708,quantile,01,2022-08-28,3 day ahead inc hosp
2022-08-31,0.99,256.67932,quantile,01,2022-08-28,3 day ahead inc hosp
