target_end_date,quantile,value,type,location,forecast_date,target
2022-07-11,0.01,71.745766,quantile,01,2022-07-10,1 day ahead inc hosp
2022-07-11,0.025,81.113144,quantile,01,2022-07-10,1 day ahead inc hosp
2022-07-11,0.05,87.06349,quantile,01,2022-07-10,1 day ahead inc hosp
2022-07-11,0.1,97.89575,quantile,01,2022-07-10,1 day ahead inc hosp
2022-07-11,0.15,104.143265,quantile,01,2022-07-10,1 day ahead inc hosp
2022-07-11,0.2,109.11839,quantile,01,2022-07-10,1 day ahead inc hosp
2022-07-11,0.25,113.54198,quantile,01,2022-07-10,1 day ahead inc hosp
2022-07-11,0.3,117.51405,quantile,01,2022-07-10,1 day ahead inc hosp
2022-07-11,0.35,121.07525,quantile,01,2022-07-10,1 day ahead inc hosp
2022-07-11,0.4,123.84282,quantile,01,2022-07-10,1 day ahead inc hosp
2022-07-11,0.45,126.26789,quantile,01,2022-07-10,1 day ahead inc hosp
2022-07-11,0.5,128.78976,quantile,01,2022-07-10,1 day ahead inc hosp
2022-07-11,0.55,131.8734,quantile,01,2022-07-10,1 day ahead inc hosp
2022-07-11,0.6,135.09045,quantile,01,2022-07-10,1 day ahead inc hosp
2022-07-11,0.65,138.2726,quantile,01,2022-07-10,1 day ahead inc hosp
2022-07-11,0.7,142.37976,quantile,01,2022-07-10,1 day ahead inc hosp
2022-07-11,0.75,145.46039,quantile,01,2022-07-10,1 day ahead inc hosp
2022-07-11,0.8,149.30568,quantile,01,2022-07-10,1 day ahead inc hosp
2022-07-11,0.85,153.22952,quantile,01,2022-07-10,1 day ahead inc hosp
2022-07-11,0.9,159.80789,quantile,01,2022-07-10,1 day ahead inc hosp
2022-07-11,0.95,172.06711,quantile,01,2022-07-10,1 day ahead inc hosp
2022-07-11,0.975,181.87425,quantile,01,2022-07-10,1 day ahead inc hosp
2022-07-11,0.99,206.98888,quantile,01,2022-07-10,1 day ahead inc hosp
