,location,target,type,quantile,forecast_date,target_end_date,value
0,24001,1 wk ahead inc case ,point,NA,2020-07-05,2020-07-12,10.97
1,24001,1 wk ahead inc case ,quantile,0.025,2020-07-05,2020-07-12,9.25
2,24001,1 wk ahead inc case ,quantile,0.1,2020-07-05,2020-07-12,9.71
3,24001,1 wk ahead inc case ,quantile,0.25,2020-07-05,2020-07-12,9.88
4,24001,1 wk ahead inc case ,quantile,0.5,2020-07-05,2020-07-12,10.68
5,24001,1 wk ahead inc case ,quantile,0.75,2020-07-05,2020-07-12,11.37
6,24001,1 wk ahead inc case ,quantile,0.9,2020-07-05,2020-07-12,12.23
7,24001,1 wk ahead inc case ,quantile,0.975,2020-07-05,2020-07-12,14.16
0,24001,2 wk ahead inc case ,point,NA,2020-07-05,2020-07-19,10.58
1,24001,2 wk ahead inc case ,quantile,0.025,2020-07-05,2020-07-19,8.78
2,24001,2 wk ahead inc case ,quantile,0.1,2020-07-05,2020-07-19,9.26
3,24001,2 wk ahead inc case ,quantile,0.25,2020-07-05,2020-07-19,9.43
4,24001,2 wk ahead inc case ,quantile,0.5,2020-07-05,2020-07-19,10.27
5,24001,2 wk ahead inc case ,quantile,0.75,2020-07-05,2020-07-19,10.99
6,24001,2 wk ahead inc case ,quantile,0.9,2020-07-05,2020-07-19,11.89
7,24001,2 wk ahead inc case ,quantile,0.975,2020-07-05,2020-07-19,13.92
0,24001,3 wk ahead inc case ,point,NA,2020-07-05,2020-07-26,10.18
1,24001,3 wk ahead inc case ,quantile,0.025,2020-07-05,2020-07-26,8.31
2,24001,3 wk ahead inc case ,quantile,0.1,2020-07-05,2020-07-26,8.81
3,24001,3 wk ahead inc case ,quantile,0.25,2020-07-05,2020-07-26,8.99
4,24001,3 wk ahead inc case ,quantile,0.5,2020-07-05,2020-07-26,9.86
5,24001,3 wk ahead inc case ,quantile,0.75,2020-07-05,2020-07-26,10.6
6,24001,3 wk ahead inc case ,quantile,0.9,2020-07-05,2020-07-26,11.54
7,24001,3 wk ahead inc case ,quantile,0.975,2020-07-05,2020-07-26,13.66
0,24001,4 wk ahead inc case ,point,NA,2020-07-05,2020-08-02,9.78
1,24001,4 wk ahead inc case ,quantile,0.025,2020-07-05,2020-08-02,7.86
2,24001,4 wk ahead inc case ,quantile,0.1,2020-07-05,2020-08-02,8.37
3,24001,4 wk ahead inc case ,quantile,0.25,2020-07-05,2020-08-02,8.56
4,24001,4 wk ahead inc case ,quantile,0.5,2020-07-05,2020-08-02,9.51
5,24001,4 wk ahead inc case ,quantile,0.75,2020-07-05,2020-08-02,10.21
6,24001,4 wk ahead inc case ,quantile,0.9,2020-07-05,2020-08-02,11.18
7,24001,4 wk ahead inc case ,quantile,0.975,2020-07-05,2020-08-02,13.38
0,24001,5 wk ahead inc case ,point,NA,2020-07-05,2020-08-09,9.39
1,24001,5 wk ahead inc case ,quantile,0.025,2020-07-05,2020-08-09,7.42
2,24001,5 wk ahead inc case ,quantile,0.1,2020-07-05,2020-08-09,7.94
3,24001,5 wk ahead inc case ,quantile,0.25,2020-07-05,2020-08-09,8.15
4,24001,5 wk ahead inc case ,quantile,0.5,2020-07-05,2020-08-09,9.05
5,24001,5 wk ahead inc case ,quantile,0.75,2020-07-05,2020-08-09,9.81
6,24001,5 wk ahead inc case ,quantile,0.9,2020-07-05,2020-08-09,10.81
7,24001,5 wk ahead inc case ,quantile,0.975,2020-07-05,2020-08-09,13.09
0,24001,6 wk ahead inc case ,point,NA,2020-07-05,2020-08-16,9.0
1,24001,6 wk ahead inc case ,quantile,0.025,2020-07-05,2020-08-16,6.99
2,24001,6 wk ahead inc case ,quantile,0.1,2020-07-05,2020-08-16,7.51
3,24001,6 wk ahead inc case ,quantile,0.25,2020-07-05,2020-08-16,7.75
4,24001,6 wk ahead inc case ,quantile,0.5,2020-07-05,2020-08-16,8.65
5,24001,6 wk ahead inc case ,quantile,0.75,2020-07-05,2020-08-16,9.42
6,24001,6 wk ahead inc case ,quantile,0.9,2020-07-05,2020-08-16,10.45
7,24001,6 wk ahead inc case ,quantile,0.975,2020-07-05,2020-08-16,12.77
0,24001,7 wk ahead inc case ,point,NA,2020-07-05,2020-08-23,8.61
1,24001,7 wk ahead inc case ,quantile,0.025,2020-07-05,2020-08-23,6.58
2,24001,7 wk ahead inc case ,quantile,0.1,2020-07-05,2020-08-23,7.11
3,24001,7 wk ahead inc case ,quantile,0.25,2020-07-05,2020-08-23,7.36
4,24001,7 wk ahead inc case ,quantile,0.5,2020-07-05,2020-08-23,8.27
5,24001,7 wk ahead inc case ,quantile,0.75,2020-07-05,2020-08-23,9.04
6,24001,7 wk ahead inc case ,quantile,0.9,2020-07-05,2020-08-23,10.08
7,24001,7 wk ahead inc case ,quantile,0.975,2020-07-05,2020-08-23,12.45
0,24001,8 wk ahead inc case ,point,NA,2020-07-05,2020-08-30,8.23
1,24001,8 wk ahead inc case ,quantile,0.025,2020-07-05,2020-08-30,6.19
2,24001,8 wk ahead inc case ,quantile,0.1,2020-07-05,2020-08-30,6.71
3,24001,8 wk ahead inc case ,quantile,0.25,2020-07-05,2020-08-30,6.99
4,24001,8 wk ahead inc case ,quantile,0.5,2020-07-05,2020-08-30,7.89
5,24001,8 wk ahead inc case ,quantile,0.75,2020-07-05,2020-08-30,8.65
6,24001,8 wk ahead inc case ,quantile,0.9,2020-07-05,2020-08-30,9.71
7,24001,8 wk ahead inc case ,quantile,0.975,2020-07-05,2020-08-30,12.11
0,24003,1 wk ahead inc case ,point,NA,2020-07-05,2020-07-12,244.32
1,24003,1 wk ahead inc case ,quantile,0.025,2020-07-05,2020-07-12,188.4
2,24003,1 wk ahead inc case ,quantile,0.1,2020-07-05,2020-07-12,198.52
3,24003,1 wk ahead inc case ,quantile,0.25,2020-07-05,2020-07-12,210.61
4,24003,1 wk ahead inc case ,quantile,0.5,2020-07-05,2020-07-12,250.76
5,24003,1 wk ahead inc case ,quantile,0.75,2020-07-05,2020-07-12,263.64
6,24003,1 wk ahead inc case ,quantile,0.9,2020-07-05,2020-07-12,291.61
7,24003,1 wk ahead inc case ,quantile,0.975,2020-07-05,2020-07-12,304.18
0,24003,2 wk ahead inc case ,point,NA,2020-07-05,2020-07-19,208.93
1,24003,2 wk ahead inc case ,quantile,0.025,2020-07-05,2020-07-19,154.51
2,24003,2 wk ahead inc case ,quantile,0.1,2020-07-05,2020-07-19,164.31
3,24003,2 wk ahead inc case ,quantile,0.25,2020-07-05,2020-07-19,174.99
4,24003,2 wk ahead inc case ,quantile,0.5,2020-07-05,2020-07-19,215.1
5,24003,2 wk ahead inc case ,quantile,0.75,2020-07-05,2020-07-19,225.95
6,24003,2 wk ahead inc case ,quantile,0.9,2020-07-05,2020-07-19,257.27
7,24003,2 wk ahead inc case ,quantile,0.975,2020-07-05,2020-07-19,270.49
0,24003,3 wk ahead inc case ,point,NA,2020-07-05,2020-07-26,177.21
1,24003,3 wk ahead inc case ,quantile,0.025,2020-07-05,2020-07-26,125.97
2,24003,3 wk ahead inc case ,quantile,0.1,2020-07-05,2020-07-26,135.12
3,24003,3 wk ahead inc case ,quantile,0.25,2020-07-05,2020-07-26,144.33
4,24003,3 wk ahead inc case ,quantile,0.5,2020-07-05,2020-07-26,182.85
5,24003,3 wk ahead inc case ,quantile,0.75,2020-07-05,2020-07-26,191.76
6,24003,3 wk ahead inc case ,quantile,0.9,2020-07-05,2020-07-26,224.67
7,24003,3 wk ahead inc case ,quantile,0.975,2020-07-05,2020-07-26,238.04
0,24003,4 wk ahead inc case ,point,NA,2020-07-05,2020-08-02,149.45
1,24003,4 wk ahead inc case ,quantile,0.025,2020-07-05,2020-08-02,102.42
2,24003,4 wk ahead inc case ,quantile,0.1,2020-07-05,2020-08-02,110.72
3,24003,4 wk ahead inc case ,quantile,0.25,2020-07-05,2020-08-02,118.53
4,24003,4 wk ahead inc case ,quantile,0.5,2020-07-05,2020-08-02,154.45
5,24003,4 wk ahead inc case ,quantile,0.75,2020-07-05,2020-08-02,161.61
6,24003,4 wk ahead inc case ,quantile,0.9,2020-07-05,2020-08-02,194.63
7,24003,4 wk ahead inc case ,quantile,0.975,2020-07-05,2020-08-02,207.72
0,24003,5 wk ahead inc case ,point,NA,2020-07-05,2020-08-09,125.58
1,24003,5 wk ahead inc case ,quantile,0.025,2020-07-05,2020-08-09,83.23
2,24003,5 wk ahead inc case ,quantile,0.1,2020-07-05,2020-08-09,90.56
3,24003,5 wk ahead inc case ,quantile,0.25,2020-07-05,2020-08-09,97.24
4,24003,5 wk ahead inc case ,quantile,0.5,2020-07-05,2020-08-09,129.92
5,24003,5 wk ahead inc case ,quantile,0.75,2020-07-05,2020-08-09,135.58
6,24003,5 wk ahead inc case ,quantile,0.9,2020-07-05,2020-08-09,167.57
7,24003,5 wk ahead inc case ,quantile,0.975,2020-07-05,2020-08-09,180.07
0,24003,6 wk ahead inc case ,point,NA,2020-07-05,2020-08-16,105.34
1,24003,6 wk ahead inc case ,quantile,0.025,2020-07-05,2020-08-16,67.66
2,24003,6 wk ahead inc case ,quantile,0.1,2020-07-05,2020-08-16,73.84
3,24003,6 wk ahead inc case ,quantile,0.25,2020-07-05,2020-08-16,80.02
4,24003,6 wk ahead inc case ,quantile,0.5,2020-07-05,2020-08-16,109.04
5,24003,6 wk ahead inc case ,quantile,0.75,2020-07-05,2020-08-16,113.45
6,24003,6 wk ahead inc case ,quantile,0.9,2020-07-05,2020-08-16,143.62
7,24003,6 wk ahead inc case ,quantile,0.975,2020-07-05,2020-08-16,155.31
0,24003,7 wk ahead inc case ,point,NA,2020-07-05,2020-08-23,88.31
1,24003,7 wk ahead inc case ,quantile,0.025,2020-07-05,2020-08-23,55.17
2,24003,7 wk ahead inc case ,quantile,0.1,2020-07-05,2020-08-23,60.35
3,24003,7 wk ahead inc case ,quantile,0.25,2020-07-05,2020-08-23,65.95
4,24003,7 wk ahead inc case ,quantile,0.5,2020-07-05,2020-08-23,91.02
5,24003,7 wk ahead inc case ,quantile,0.75,2020-07-05,2020-08-23,95.05
6,24003,7 wk ahead inc case ,quantile,0.9,2020-07-05,2020-08-23,122.7
7,24003,7 wk ahead inc case ,quantile,0.975,2020-07-05,2020-08-23,133.46
0,24003,8 wk ahead inc case ,point,NA,2020-07-05,2020-08-30,74.06
1,24003,8 wk ahead inc case ,quantile,0.025,2020-07-05,2020-08-30,45.15
2,24003,8 wk ahead inc case ,quantile,0.1,2020-07-05,2020-08-30,49.49
3,24003,8 wk ahead inc case ,quantile,0.25,2020-07-05,2020-08-30,54.49
4,24003,8 wk ahead inc case ,quantile,0.5,2020-07-05,2020-08-30,75.97
5,24003,8 wk ahead inc case ,quantile,0.75,2020-07-05,2020-08-30,79.66
6,24003,8 wk ahead inc case ,quantile,0.9,2020-07-05,2020-08-30,104.62
7,24003,8 wk ahead inc case ,quantile,0.975,2020-07-05,2020-08-30,114.39
0,24005,1 wk ahead inc case ,point,NA,2020-07-05,2020-07-12,750.94
1,24005,1 wk ahead inc case ,quantile,0.025,2020-07-05,2020-07-12,705.04
2,24005,1 wk ahead inc case ,quantile,0.1,2020-07-05,2020-07-12,720.22
3,24005,1 wk ahead inc case ,quantile,0.25,2020-07-05,2020-07-12,737.08
4,24005,1 wk ahead inc case ,quantile,0.5,2020-07-05,2020-07-12,744.13
5,24005,1 wk ahead inc case ,quantile,0.75,2020-07-05,2020-07-12,761.85
6,24005,1 wk ahead inc case ,quantile,0.9,2020-07-05,2020-07-12,790.02
7,24005,1 wk ahead inc case ,quantile,0.975,2020-07-05,2020-07-12,808.47
0,24005,2 wk ahead inc case ,point,NA,2020-07-05,2020-07-19,771.73
1,24005,2 wk ahead inc case ,quantile,0.025,2020-07-05,2020-07-19,722.13
2,24005,2 wk ahead inc case ,quantile,0.1,2020-07-05,2020-07-19,738.29
3,24005,2 wk ahead inc case ,quantile,0.25,2020-07-05,2020-07-19,756.13
4,24005,2 wk ahead inc case ,quantile,0.5,2020-07-05,2020-07-19,764.57
5,24005,2 wk ahead inc case ,quantile,0.75,2020-07-05,2020-07-19,783.37
6,24005,2 wk ahead inc case ,quantile,0.9,2020-07-05,2020-07-19,814.49
7,24005,2 wk ahead inc case ,quantile,0.975,2020-07-05,2020-07-19,835.0
0,24005,3 wk ahead inc case ,point,NA,2020-07-05,2020-07-26,791.29
1,24005,3 wk ahead inc case ,quantile,0.025,2020-07-05,2020-07-26,738.02
2,24005,3 wk ahead inc case ,quantile,0.1,2020-07-05,2020-07-26,755.17
3,24005,3 wk ahead inc case ,quantile,0.25,2020-07-05,2020-07-26,773.92
4,24005,3 wk ahead inc case ,quantile,0.5,2020-07-05,2020-07-26,783.88
5,24005,3 wk ahead inc case ,quantile,0.75,2020-07-05,2020-07-26,803.65
6,24005,3 wk ahead inc case ,quantile,0.9,2020-07-05,2020-07-26,837.68
7,24005,3 wk ahead inc case ,quantile,0.975,2020-07-05,2020-07-26,860.21
0,24005,4 wk ahead inc case ,point,NA,2020-07-05,2020-08-02,809.44
1,24005,4 wk ahead inc case ,quantile,0.025,2020-07-05,2020-08-02,752.6
2,24005,4 wk ahead inc case ,quantile,0.1,2020-07-05,2020-08-02,770.72
3,24005,4 wk ahead inc case ,quantile,0.25,2020-07-05,2020-08-02,790.31
4,24005,4 wk ahead inc case ,quantile,0.5,2020-07-05,2020-08-02,801.91
5,24005,4 wk ahead inc case ,quantile,0.75,2020-07-05,2020-08-02,822.51
6,24005,4 wk ahead inc case ,quantile,0.9,2020-07-05,2020-08-02,859.37
7,24005,4 wk ahead inc case ,quantile,0.975,2020-07-05,2020-08-02,883.85
0,24005,5 wk ahead inc case ,point,NA,2020-07-05,2020-08-09,826.04
1,24005,5 wk ahead inc case ,quantile,0.025,2020-07-05,2020-08-09,765.73
2,24005,5 wk ahead inc case ,quantile,0.1,2020-07-05,2020-08-09,784.81
3,24005,5 wk ahead inc case ,quantile,0.25,2020-07-05,2020-08-09,805.16
4,24005,5 wk ahead inc case ,quantile,0.5,2020-07-05,2020-08-09,818.52
5,24005,5 wk ahead inc case ,quantile,0.75,2020-07-05,2020-08-09,839.79
6,24005,5 wk ahead inc case ,quantile,0.9,2020-07-05,2020-08-09,879.37
7,24005,5 wk ahead inc case ,quantile,0.975,2020-07-05,2020-08-09,905.71
0,24005,6 wk ahead inc case ,point,NA,2020-07-05,2020-08-16,840.93
1,24005,6 wk ahead inc case ,quantile,0.025,2020-07-05,2020-08-16,777.31
2,24005,6 wk ahead inc case ,quantile,0.1,2020-07-05,2020-08-16,797.32
3,24005,6 wk ahead inc case ,quantile,0.25,2020-07-05,2020-08-16,818.35
4,24005,6 wk ahead inc case ,quantile,0.5,2020-07-05,2020-08-16,833.57
5,24005,6 wk ahead inc case ,quantile,0.75,2020-07-05,2020-08-16,855.34
6,24005,6 wk ahead inc case ,quantile,0.9,2020-07-05,2020-08-16,897.49
7,24005,6 wk ahead inc case ,quantile,0.975,2020-07-05,2020-08-16,925.57
0,24005,7 wk ahead inc case ,point,NA,2020-07-05,2020-08-23,853.98
1,24005,7 wk ahead inc case ,quantile,0.025,2020-07-05,2020-08-23,787.25
2,24005,7 wk ahead inc case ,quantile,0.1,2020-07-05,2020-08-23,808.15
3,24005,7 wk ahead inc case ,quantile,0.25,2020-07-05,2020-08-23,829.75
4,24005,7 wk ahead inc case ,quantile,0.5,2020-07-05,2020-08-23,846.93
5,24005,7 wk ahead inc case ,quantile,0.75,2020-07-05,2020-08-23,869.02
6,24005,7 wk ahead inc case ,quantile,0.9,2020-07-05,2020-08-23,913.54
7,24005,7 wk ahead inc case ,quantile,0.975,2020-07-05,2020-08-23,943.22
0,24005,8 wk ahead inc case ,point,NA,2020-07-05,2020-08-30,865.06
1,24005,8 wk ahead inc case ,quantile,0.025,2020-07-05,2020-08-30,795.45
2,24005,8 wk ahead inc case ,quantile,0.1,2020-07-05,2020-08-30,817.2
3,24005,8 wk ahead inc case ,quantile,0.25,2020-07-05,2020-08-30,839.27
4,24005,8 wk ahead inc case ,quantile,0.5,2020-07-05,2020-08-30,858.49
5,24005,8 wk ahead inc case ,quantile,0.75,2020-07-05,2020-08-30,880.69
6,24005,8 wk ahead inc case ,quantile,0.9,2020-07-05,2020-08-30,927.38
7,24005,8 wk ahead inc case ,quantile,0.975,2020-07-05,2020-08-30,958.48
0,24009,1 wk ahead inc case ,point,NA,2020-07-05,2020-07-12,22.57
1,24009,1 wk ahead inc case ,quantile,0.025,2020-07-05,2020-07-12,19.92
2,24009,1 wk ahead inc case ,quantile,0.1,2020-07-05,2020-07-12,21.11
3,24009,1 wk ahead inc case ,quantile,0.25,2020-07-05,2020-07-12,21.78
4,24009,1 wk ahead inc case ,quantile,0.5,2020-07-05,2020-07-12,23.11
5,24009,1 wk ahead inc case ,quantile,0.75,2020-07-05,2020-07-12,23.54
6,24009,1 wk ahead inc case ,quantile,0.9,2020-07-05,2020-07-12,23.99
7,24009,1 wk ahead inc case ,quantile,0.975,2020-07-05,2020-07-12,24.03
0,24009,2 wk ahead inc case ,point,NA,2020-07-05,2020-07-19,20.66
1,24009,2 wk ahead inc case ,quantile,0.025,2020-07-05,2020-07-19,18.22
2,24009,2 wk ahead inc case ,quantile,0.1,2020-07-05,2020-07-19,19.49
3,24009,2 wk ahead inc case ,quantile,0.25,2020-07-05,2020-07-19,19.91
4,24009,2 wk ahead inc case ,quantile,0.5,2020-07-05,2020-07-19,20.97
5,24009,2 wk ahead inc case ,quantile,0.75,2020-07-05,2020-07-19,21.42
6,24009,2 wk ahead inc case ,quantile,0.9,2020-07-05,2020-07-19,22.22
7,24009,2 wk ahead inc case ,quantile,0.975,2020-07-05,2020-07-19,22.25
0,24009,3 wk ahead inc case ,point,NA,2020-07-05,2020-07-26,18.8
1,24009,3 wk ahead inc case ,quantile,0.025,2020-07-05,2020-07-26,16.52
2,24009,3 wk ahead inc case ,quantile,0.1,2020-07-05,2020-07-26,17.72
3,24009,3 wk ahead inc case ,quantile,0.25,2020-07-05,2020-07-26,18.2
4,24009,3 wk ahead inc case ,quantile,0.5,2020-07-05,2020-07-26,18.89
