time,quantile,hosp_curr,cum_death,death,infections,cum_infections,hosp,cum_hosp
2020-03-15,1%,892.9599999999999,28.990000000000002,5,9335.539999999999,57153.13,246,1033.79
2020-03-15,2.5%,1017.85,38,7,9887.699999999999,59644.85,260.975,1196.875
2020-03-15,5%,1100.3000000000002,43.95,8,10573.900000000001,62809.5,276,1303.8500000000001
2020-03-15,10%,1188.9,51,10,11568.6,66353.90000000001,297.9,1421
2020-03-15,15%,1266.5500000000002,56,11,12126.6,69444.25,315,1547.85
2020-03-15,20%,1327.8,61,13,12642,72365.6,326,1630.6000000000001
2020-03-15,25%,1387.75,65,14,13105.5,74137.25,339,1709
2020-03-15,30%,1428.4,68.69999999999999,14,13554.4,76092.3,349,1783.4
2020-03-15,35%,1479,74,15,14002,78748.35,360,1851.65
2020-03-15,40%,1532.8000000000002,77,16,14413.599999999999,80738,371,1932.6
2020-03-15,45%,1585.5500000000002,82,17,14905.6,83717.20000000001,384,1997
2020-03-15,50%,1628.5,86,17,15435.5,86166.5,395,2086
2020-03-15,55%,1683,90.45000000000005,18,15920.05,89307.54999999999,407,2166
2020-03-15,60%,1739,95,19,16601.6,91748.80000000002,423,2229.0000000000005
2020-03-15,65%,1804,99,20,17288.2,95687.40000000001,437,2335.3500000000004
2020-03-15,70%,1885.2000000000003,104,21,18025.1,101051.90000000001,457.30000000000007,2432.2000000000003
2020-03-15,75%,1982.25,111,22,19240.500000000004,105999.50000000001,480,2554.25
2020-03-15,80%,2103.6000000000004,118.20000000000005,24,20449.600000000002,113411.40000000001,505.60000000000014,2716.4
2020-03-15,85%,2254.9000000000005,127,26,22506.850000000013,124108.15000000001,546,2922.6000000000004
2020-03-15,90%,2574.600000000002,144,29,26887.70000000002,146096.70000000004,617,3279.3000000000006
2020-03-15,95%,3361.7999999999993,183.0999999999999,36.049999999999955,37239.249999999985,197368.99999999994,836,4196.05
2020-03-15,97.5%,4768.549999999998,242,51,50928.024999999965,255636.19999999995,1127.6999999999994,5979.024999999999
2020-03-15,99%,7509.779999999999,365.0799999999999,69.02999999999997,79509.68999999992,426504.8999999997,1865.5399999999995,9403.669999999998
2020-03-16,1%,1174.85,38.989999999999995,8,10879.76,68665.56,296.97,1382.84
2020-03-16,2.5%,1290.975,49,9,11572.175,71658.325,329.97499999999997,1536.8999999999999
2020-03-16,5%,1380.8,57.95,11,12371.35,75774.75,345.95,1672.2
2020-03-16,10%,1486,66,13,13606.8,80362.2,363.9,1794.9
2020-03-16,15%,1573,73,15,14374.75,84850.5,382,1940.85
2020-03-16,20%,1645.8000000000002,78,16,15029.4,87900,399,2040
2020-03-16,25%,1714.5,83,17,15627.25,89733.75,415,2135
2020-03-16,30%,1765,88,18,16314.9,92636.4,427,2217.4
2020-03-16,35%,1816,93,19,16738.85,95501.15000000001,438,2297.9
2020-03-16,40%,1870.6000000000001,98,20,17342.4,98223.4,454,2372.8
2020-03-16,45%,1935.55,102.55000000000001,21,17989.85,101292.25,466.55,2463.55
2020-03-16,50%,1986.5,108,22,18651,104665,481,2563.5
2020-03-16,55%,2044.45,112,22,19308.25,108469.45000000001,498,2654.25
2020-03-16,60%,2139.4,117,23,19890.800000000003,111299.40000000001,516,2742
2020-03-16,65%,2197.3500000000004,122.35000000000014,24,20652.4,116143.60000000003,531,2857.7000000000003
2020-03-16,70%,2294.8,129,26,21881.3,122832.9,554.3000000000001,2988.2000000000003
2020-03-16,75%,2423.25,137,27,23579.25,128933.00000000003,583.2500000000001,3123
2020-03-16,80%,2568.6000000000004,144,29,24851.000000000004,137280.2,615,3329.4000000000005
2020-03-16,85%,2762.4500000000003,157,31,27609.050000000007,150997.35,672.1500000000001,3573.2000000000007
2020-03-16,90%,3179.800000000001,173.10000000000014,35,32494.90000000002,176188.70000000016,778.1000000000001,4136.4000000000005
2020-03-16,95%,4163.499999999998,228.04999999999995,44,44867,243553.9499999999,1011.5499999999995,5225.449999999999
2020-03-16,97.5%,5826.649999999998,303.2249999999998,61.049999999999955,62400.49999999992,316607.49999999994,1354.1499999999999,7429.65
2020-03-16,99%,9695.4,446.0899999999999,89.1099999999999,97287.51999999995,515468.3199999996,2257.199999999999,11377.359999999993
2020-03-17,1%,1502.76,56,10,12540.630000000001,81381.82,387.97999999999996,1802.8200000000002
2020-03-17,2.5%,1629.975,65,13,13534.475,86145.575,402,1975.9750000000001
2020-03-17,5%,1738.95,76.95,14,14462.050000000001,90859.85,424.95,2116
2020-03-17,10%,1833.8999999999999,84,17,16006.400000000001,96847,452.9,2280
2020-03-17,15%,1942.7000000000003,92.85000000000002,18,16989.3,102171.00000000001,473,2423.4
2020-03-17,20%,2028.8,99,19,17819,106057.8,488,2551.4
2020-03-17,25%,2101.75,106,20,18575.5,108913.75,507,2656.5
2020-03-17,30%,2172.7,110,22,19368.3,112060.6,523,2747.1
2020-03-17,35%,2234.3,116,23,20076.25,115919.35,537,2831
2020-03-17,40%,2294.6000000000004,122,24,20780.4,118898.6,554,2928.6
2020-03-17,45%,2367.55,127,25,21702.6,122020.40000000001,571,3035.1000000000004
2020-03-17,50%,2430,134,26,22543,126675.5,588,3147
2020-03-17,55%,2505.45,139,27,23244.95,131307.40000000002,607,3245.8
2020-03-17,60%,2608.4,144,28,23966.6,135757,628,3372.6000000000004
2020-03-17,65%,2676.4000000000005,152,30,24898.4,141525.30000000005,646.3500000000001,3493.7
2020-03-17,70%,2797.6,160,31,26614.400000000005,149417.30000000002,678.6000000000001,3651.9000000000005
2020-03-17,75%,2959.25,169,33,28416.75000000001,157645.75,709,3830.0000000000005
2020-03-17,80%,3112.4,179,35,30390,166641.8,751.2,4088.6000000000004
2020-03-17,85%,3355.0500000000006,192,38,33533.900000000016,186232.25000000006,813.4500000000003,4366
2020-03-17,90%,3860.2000000000044,215.10000000000014,43,40273.50000000002,217136.8,944.1000000000001,5040.300000000004
2020-03-17,95%,5175.05,283.04999999999995,57.049999999999955,54388.89999999999,300927.94999999995,1266.05,6510.4
2020-03-17,97.5%,7022.299999999998,380.14999999999986,76,75057.7249999999,394558.9,1650.1,8802.649999999987
2020-03-17,99%,11623.789999999994,567.0999999999999,113.03999999999996,117490.77999999997,651067.1699999997,2773.7599999999993,15173.149999999998
2020-03-18,1%,1925.8500000000001,73.99000000000001,15,14544.619999999999,96935.63,462.98,2318.2799999999997
2020-03-18,2.5%,2033.9499999999998,86,17,15679.075,102113.1,487.925,2496.5499999999997
2020-03-18,5%,2152.95,98,19,16799,107576.8,513.85,2654.9
2020-03-18,10%,2268.3,109,21,18601,116918.9,546.9000000000001,2844.8
2020-03-18,15%,2371,117,23,20012.800000000003,122621.15,569.85,3000.85
2020-03-18,20%,2478.8,126,25,21117.8,127523.6,589,3145.3999999999996
2020-03-18,25%,2564.5,133,26,22063.25,131560.25,611.75,3271
2020-03-18,30%,2653.2,139,27,23047.5,136044.5,629,3376.7
2020-03-18,35%,2724.65,145,28,23998.65,139813.1,647.6500000000001,3501.6499999999996
2020-03-18,40%,2792.8,151,30,24964,143948.2,669.6,3593.8
