time,quantile,hosp_curr,cum_death,death,infections,cum_infections,hosp,cum_hosp
2020-03-15,1%,1328.69,58.989999999999995,10,10105.99,63965.350000000006,310,1616.81
2020-03-15,2.5%,1441.625,67,12,11384.650000000001,70047.90000000001,340.975,1813.3500000000001
2020-03-15,5%,1544.9499999999998,76,14,12314,76078.65000000001,375,1984.95
2020-03-15,10%,1711.9,86,16,13994.1,85883.2,407.9,2185.6
2020-03-15,15%,1843.4,92,18,15256.55,92209.8,437,2357.85
2020-03-15,20%,1951,98,19,16640.6,98967.40000000001,467.6,2463
2020-03-15,25%,2029.5,106,21,17727.75,105973.75,486.75,2595.75
2020-03-15,30%,2121.7,112,22,19101.2,110824.8,509.7,2709.7
2020-03-15,35%,2207.65,118,23,20154.600000000002,115579.25000000001,538,2828.25
2020-03-15,40%,2312.6,123,24.600000000000023,21313,121472.20000000001,557,2956
2020-03-15,45%,2402.1000000000004,129,26,22652.1,128195.54999999999,582.1,3054.65
2020-03-15,50%,2527,134,27,24125,134344,615,3204.5
2020-03-15,55%,2637.45,141,28,25726.95,142160.7,640.45,3359.9
2020-03-15,60%,2731.8,148,30,27145.200000000004,148464.8,667.4000000000001,3500
2020-03-15,65%,2865.7000000000003,157,32,28358.7,156971.75,706,3681.800000000001
2020-03-15,70%,3033,167,33,30269.100000000002,165662.1,744,3890.300000000001
2020-03-15,75%,3187,177.2500000000001,35,32276.25,174136.00000000003,776,4106.500000000001
2020-03-15,80%,3434.0000000000005,189.20000000000005,38,34897.80000000001,190649.6,836,4458
2020-03-15,85%,3727.500000000001,207.1500000000001,41,38745.7,206095.15000000002,906,4802.15
2020-03-15,90%,4151.800000000007,232,47,44199.100000000006,230887.8000000001,1012.5000000000007,5347.000000000003
2020-03-15,95%,5266.999999999996,284.0999999999999,56.049999999999955,59177.549999999996,307731.39999999997,1339,6698.2999999999975
2020-03-15,97.5%,6418.075,344.07499999999993,68,76954.65,393367.5499999999,1629.949999999999,8053.024999999995
2020-03-15,99%,9036.509999999998,426,87.02999999999997,103743.38999999996,557968.6099999999,2388.109999999999,11126.74
2020-03-16,1%,1639,79,12.99,11962.69,76164.23,378,2034.44
2020-03-16,2.5%,1740.7749999999999,86.97500000000001,17,13208.95,83303.875,404.975,2224.975
2020-03-16,5%,1869.85,96.95,19,14466.5,90823.8,444.95,2431.85
2020-03-16,10%,2108.9,109,21,16407.9,102232.8,491.9,2678.5
2020-03-16,15%,2237.85,118,23,18074.7,110434.05,522.7,2900.85
2020-03-16,20%,2379,126,24,19668.800000000003,118814.4,559,3037
2020-03-16,25%,2470.5,132,26,21110.75,127480,589,3193.75
2020-03-16,30%,2597.7,140,27,22675.8,133764.1,623,3339.8
2020-03-16,35%,2703.65,147,29,24075.65,139475.65,648,3465.3
2020-03-16,40%,2821.2000000000003,153,30,25551,147164,682.6,3629.6000000000004
2020-03-16,45%,2935.1,159.55,31,27185.55,155575.25,713,3779.85
