time,quantile,hosp_curr,cum_death,death,infections,cum_infections,hosp
2020-03-01,1%,0,0,0,153,503,0
2020-03-01,2.5%,1,0,0,163,567.6,0
2020-03-01,5%,1,0,0,179,636,0
2020-03-01,10%,2,0,0,198,731,0
2020-03-01,15%,3,0,0,215,805,0
2020-03-01,20%,4,0,0,232,872,0
2020-03-01,25%,5,0,0,249,963,1
2020-03-01,30%,5,0,0,267,1046,1
2020-03-01,35%,6,0,0,283,1111,1
2020-03-01,40%,7,0,0,300,1192,1
2020-03-01,45%,8,0,0,316,1272,2
2020-03-01,50%,9,0,0,338,1368,2
2020-03-01,55%,10,0,0,361,1467.6000000000004,2
2020-03-01,60%,11,0,0,390,1571.2000000000003,3
2020-03-01,65%,13,0,0,418,1706,3
2020-03-01,70%,14,1,0,456,1873.4000000000005,3
2020-03-01,75%,16,1,0,496,2049,4
2020-03-01,80%,19,1,0,551,2228,5
2020-03-01,85%,22,1,0,624.2000000000007,2544.600000000002,6
2020-03-01,90%,26,1,0,759.8000000000011,3122,7
2020-03-01,95%,34.399999999999636,2,1,1004,4100.199999999999,9
2020-03-01,97.5%,44,3,1,1304.1999999999998,5151,12
2020-03-01,99%,57,3,1,1757.7999999999956,6692,16
2020-03-02,1%,0,0,0,223,739,0
2020-03-02,2.5%,1,0,0,240,811,0
2020-03-02,5%,2,0,0,256,892,0
2020-03-02,10%,3,0,0,281,1010,0
2020-03-02,15%,4,0,0,302,1113,0
2020-03-02,20%,5,0,0,324,1198,1
2020-03-02,25%,6,0,0,343,1303,1
2020-03-02,30%,7,0,0,365,1414.6,1
2020-03-02,35%,8,0,0,386,1497,2
2020-03-02,40%,9,0,0,407,1595,2
2020-03-02,45%,10,0,0,432,1702,2
2020-03-02,50%,11,0,0,460,1823,3
2020-03-02,55%,13,0,0,487.60000000000036,1957.2000000000007,3
2020-03-02,60%,14,0,0,526,2097,3
2020-03-02,65%,16,1,0,565,2268.6000000000013,4
2020-03-02,70%,18,1,0,608,2488,4
2020-03-02,75%,21,1,0,668,2724,5
2020-03-02,80%,24,1,0,738,2970,6
