target_id,location_id,location_name,type,quantile,value
1 day ahead inc,1,Alabama,point,NA,3.776
2 day ahead inc,1,Alabama,point,NA,4.774
3 day ahead inc,1,Alabama,point,NA,6.055
4 day ahead inc,1,Alabama,point,NA,7.59
5 day ahead inc,1,Alabama,point,NA,9.393
6 day ahead inc,1,Alabama,point,NA,11.472
7 day ahead inc,1,Alabama,point,NA,13.817
1 day ahead inc,2,Alaska,point,NA,0
2 day ahead inc,2,Alaska,point,NA,0
3 day ahead inc,2,Alaska,point,NA,0
4 day ahead inc,2,Alaska,point,NA,0
5 day ahead inc,2,Alaska,point,NA,0
6 day ahead inc,2,Alaska,point,NA,0.002
7 day ahead inc,2,Alaska,point,NA,0.015
1 day ahead inc,4,Arizona,point,NA,4.227
2 day ahead inc,4,Arizona,point,NA,5.147
3 day ahead inc,4,Arizona,point,NA,6.223
4 day ahead inc,4,Arizona,point,NA,7.428
5 day ahead inc,4,Arizona,point,NA,8.789
6 day ahead inc,4,Arizona,point,NA,10.26
7 day ahead inc,4,Arizona,point,NA,11.923
1 day ahead inc,5,Arkansas,point,NA,2
2 day ahead inc,5,Arkansas,point,NA,2.765
3 day ahead inc,5,Arkansas,point,NA,3.305
4 day ahead inc,5,Arkansas,point,NA,4.103
5 day ahead inc,5,Arkansas,point,NA,5.021
6 day ahead inc,5,Arkansas,point,NA,6.049
7 day ahead inc,5,Arkansas,point,NA,7.184
1 day ahead inc,6,California,point,NA,23.572
2 day ahead inc,6,California,point,NA,26.979
3 day ahead inc,6,California,point,NA,30.602
4 day ahead inc,6,California,point,NA,34.487
5 day ahead inc,6,California,point,NA,38.573
6 day ahead inc,6,California,point,NA,42.86
7 day ahead inc,6,California,point,NA,47.237
1 day ahead inc,8,Colorado,point,NA,12.747
2 day ahead inc,8,Colorado,point,NA,15.498
3 day ahead inc,8,Colorado,point,NA,18.564
4 day ahead inc,8,Colorado,point,NA,22.044
5 day ahead inc,8,Colorado,point,NA,25.815
6 day ahead inc,8,Colorado,point,NA,29.867
7 day ahead inc,8,Colorado,point,NA,34.123
1 day ahead inc,9,Connecticut,point,NA,7
2 day ahead inc,9,Connecticut,point,NA,7.995
3 day ahead inc,9,Connecticut,point,NA,8.963
4 day ahead inc,9,Connecticut,point,NA,9.944
5 day ahead inc,9,Connecticut,point,NA,10.991
6 day ahead inc,9,Connecticut,point,NA,12.01
7 day ahead inc,9,Connecticut,point,NA,13.079
1 day ahead inc,10,Delaware,point,NA,2.002
2 day ahead inc,10,Delaware,point,NA,2.836
3 day ahead inc,10,Delaware,point,NA,3.41
4 day ahead inc,10,Delaware,point,NA,4.23
5 day ahead inc,10,Delaware,point,NA,5.182
6 day ahead inc,10,Delaware,point,NA,6.276
7 day ahead inc,10,Delaware,point,NA,7.478
1 day ahead inc,11,District of Columbia,point,NA,1
2 day ahead inc,11,District of Columbia,point,NA,1
3 day ahead inc,11,District of Columbia,point,NA,1
4 day ahead inc,11,District of Columbia,point,NA,1.885
5 day ahead inc,11,District of Columbia,point,NA,2
6 day ahead inc,11,District of Columbia,point,NA,2
7 day ahead inc,11,District of Columbia,point,NA,2
1 day ahead inc,12,Florida,point,NA,11.828
2 day ahead inc,12,Florida,point,NA,13.961
3 day ahead inc,12,Florida,point,NA,16.391
4 day ahead inc,12,Florida,point,NA,19.074
5 day ahead inc,12,Florida,point,NA,22.043
6 day ahead inc,12,Florida,point,NA,25.274
7 day ahead inc,12,Florida,point,NA,28.773
1 day ahead inc,13,Georgia,point,NA,14.726
2 day ahead inc,13,Georgia,point,NA,16.894
3 day ahead inc,13,Georgia,point,NA,19.311
4 day ahead inc,13,Georgia,point,NA,21.969
5 day ahead inc,13,Georgia,point,NA,24.958
6 day ahead inc,13,Georgia,point,NA,28.007
7 day ahead inc,13,Georgia,point,NA,31.255
1 day ahead inc,15,Hawaii,point,NA,0
2 day ahead inc,15,Hawaii,point,NA,0
3 day ahead inc,15,Hawaii,point,NA,0.002
4 day ahead inc,15,Hawaii,point,NA,0.026
5 day ahead inc,15,Hawaii,point,NA,0.097
6 day ahead inc,15,Hawaii,point,NA,0.191
7 day ahead inc,15,Hawaii,point,NA,0.328
1 day ahead inc,16,Idaho,point,NA,1
2 day ahead inc,16,Idaho,point,NA,1.001
3 day ahead inc,16,Idaho,point,NA,1.252
4 day ahead inc,16,Idaho,point,NA,1.539
5 day ahead inc,16,Idaho,point,NA,1.953
6 day ahead inc,16,Idaho,point,NA,2.003
