location,target_id,quantile,value,location_id,type
Wyoming,1 day ahead inc,NA,0.03,56,point
Wyoming,2 day ahead inc,NA,0.066,56,point
Wyoming,3 day ahead inc,NA,0.108,56,point
Wyoming,4 day ahead inc,NA,0.121,56,point
Wyoming,5 day ahead inc,NA,0.289,56,point
Wyoming,6 day ahead inc,NA,0.336,56,point
Wyoming,7 day ahead inc,NA,0.404,56,point
Wisconsin,1 day ahead inc,NA,13.352,55,point
Wisconsin,2 day ahead inc,NA,14.602,55,point
Wisconsin,3 day ahead inc,NA,17.277,55,point
Wisconsin,4 day ahead inc,NA,18.869,55,point
Wisconsin,5 day ahead inc,NA,21.091,55,point
Wisconsin,6 day ahead inc,NA,22.567,55,point
Wisconsin,7 day ahead inc,NA,25.636,55,point
West Virginia,1 day ahead inc,NA,0.244,54,point
West Virginia,2 day ahead inc,NA,0.562,54,point
West Virginia,3 day ahead inc,NA,0.756,54,point
West Virginia,4 day ahead inc,NA,1.555,54,point
West Virginia,5 day ahead inc,NA,2.176,54,point
West Virginia,6 day ahead inc,NA,3.018,54,point
West Virginia,7 day ahead inc,NA,4.901,54,point
Washington,1 day ahead inc,NA,18.526,53,point
Washington,2 day ahead inc,NA,18.448,53,point
Washington,3 day ahead inc,NA,18.479,53,point
Washington,4 day ahead inc,NA,17.771,53,point
Washington,5 day ahead inc,NA,17.376,53,point
Washington,6 day ahead inc,NA,16.85,53,point
Washington,7 day ahead inc,NA,16.826,53,point
Virginia,1 day ahead inc,NA,15.593,51,point
Virginia,2 day ahead inc,NA,17.876,51,point
Virginia,3 day ahead inc,NA,20.858,51,point
Virginia,4 day ahead inc,NA,23.309,51,point
Virginia,5 day ahead inc,NA,27.209,51,point
Virginia,6 day ahead inc,NA,30.383,51,point
Virginia,7 day ahead inc,NA,32.711,51,point
Vermont,1 day ahead inc,NA,1.069,50,point
Vermont,2 day ahead inc,NA,1.049,50,point
Vermont,3 day ahead inc,NA,0.954,50,point
Vermont,4 day ahead inc,NA,0.942,50,point
Vermont,5 day ahead inc,NA,0.905,50,point
Vermont,6 day ahead inc,NA,0.887,50,point
Vermont,7 day ahead inc,NA,0.794,50,point
Utah,1 day ahead inc,NA,1.862,49,point
Utah,2 day ahead inc,NA,2.163,49,point
Utah,3 day ahead inc,NA,2.406,49,point
Utah,4 day ahead inc,NA,2.61,49,point
Utah,5 day ahead inc,NA,2.793,49,point
Utah,6 day ahead inc,NA,3.363,49,point
Utah,7 day ahead inc,NA,3.522,49,point
Texas,1 day ahead inc,NA,25.316,48,point
Texas,2 day ahead inc,NA,29.025,48,point
Texas,3 day ahead inc,NA,32.713,48,point
Texas,4 day ahead inc,NA,36.623,48,point
Texas,5 day ahead inc,NA,39.225,48,point
Texas,6 day ahead inc,NA,47.026,48,point
Texas,7 day ahead inc,NA,45.944,48,point
Tennessee,1 day ahead inc,NA,14.957,47,point
Tennessee,2 day ahead inc,NA,15.32,47,point
Tennessee,3 day ahead inc,NA,18.493,47,point
Tennessee,4 day ahead inc,NA,19.538,47,point
Tennessee,5 day ahead inc,NA,19.318,47,point
Tennessee,6 day ahead inc,NA,21.78,47,point
Tennessee,7 day ahead inc,NA,21.614,47,point
South Dakota,1 day ahead inc,NA,0.118,46,point
South Dakota,2 day ahead inc,NA,0.174,46,point
South Dakota,3 day ahead inc,NA,0.274,46,point
South Dakota,4 day ahead inc,NA,0.423,46,point
South Dakota,5 day ahead inc,NA,0.505,46,point
South Dakota,6 day ahead inc,NA,0.641,46,point
South Dakota,7 day ahead inc,NA,0.91,46,point
South Carolina,1 day ahead inc,NA,6.158,45,point
South Carolina,2 day ahead inc,NA,6.756,45,point
South Carolina,3 day ahead inc,NA,7.235,45,point
South Carolina,4 day ahead inc,NA,7.768,45,point
South Carolina,5 day ahead inc,NA,8.047,45,point
South Carolina,6 day ahead inc,NA,8.509,45,point
South Carolina,7 day ahead inc,NA,9.277,45,point
Rhode Island,1 day ahead inc,NA,5.749,44,point
Rhode Island,2 day ahead inc,NA,6.664,44,point
Rhode Island,3 day ahead inc,NA,7.143,44,point
Rhode Island,4 day ahead inc,NA,7.83,44,point
Rhode Island,5 day ahead inc,NA,8.787,44,point
Rhode Island,6 day ahead inc,NA,9.724,44,point
Rhode Island,7 day ahead inc,NA,10.506,44,point
Pennsylvania,1 day ahead inc,NA,23.338,42,point
Pennsylvania,2 day ahead inc,NA,24.678,42,point
Pennsylvania,3 day ahead inc,NA,26.678,42,point
Pennsylvania,4 day ahead inc,NA,27.973,42,point
Pennsylvania,5 day ahead inc,NA,29.263,42,point
Pennsylvania,6 day ahead inc,NA,30.918,42,point
Pennsylvania,7 day ahead inc,NA,30.853,42,point
Oregon,1 day ahead inc,NA,2.64,41,point
Oregon,2 day ahead inc,NA,2.723,41,point
Oregon,3 day ahead inc,NA,2.852,41,point
Oregon,4 day ahead inc,NA,3.004,41,point
Oregon,5 day ahead inc,NA,3.29,41,point
