target_id,location_id,location_name,type,quantile,value
1 day ahead inc,1,Alabama,point,NA,0.439
2 day ahead inc,1,Alabama,point,NA,0.604
3 day ahead inc,1,Alabama,point,NA,0.839
4 day ahead inc,1,Alabama,point,NA,1.151
5 day ahead inc,1,Alabama,point,NA,1.518
6 day ahead inc,1,Alabama,point,NA,1.972
7 day ahead inc,1,Alabama,point,NA,2.57
1 day ahead inc,2,Alaska,point,NA,0
2 day ahead inc,2,Alaska,point,NA,0
3 day ahead inc,2,Alaska,point,NA,0.004
4 day ahead inc,2,Alaska,point,NA,0.018
5 day ahead inc,2,Alaska,point,NA,0.063
6 day ahead inc,2,Alaska,point,NA,0.139
7 day ahead inc,2,Alaska,point,NA,0.209
1 day ahead inc,4,Arizona,point,NA,2.4
2 day ahead inc,4,Arizona,point,NA,3.191
3 day ahead inc,4,Arizona,point,NA,4.299
4 day ahead inc,4,Arizona,point,NA,5.494
5 day ahead inc,4,Arizona,point,NA,7.065
6 day ahead inc,4,Arizona,point,NA,8.649
7 day ahead inc,4,Arizona,point,NA,10.823
1 day ahead inc,5,Arkansas,point,NA,0.229
2 day ahead inc,5,Arkansas,point,NA,0.338
3 day ahead inc,5,Arkansas,point,NA,0.518
4 day ahead inc,5,Arkansas,point,NA,0.657
5 day ahead inc,5,Arkansas,point,NA,0.875
6 day ahead inc,5,Arkansas,point,NA,1.162
7 day ahead inc,5,Arkansas,point,NA,1.484
1 day ahead inc,6,California,point,NA,18.943
2 day ahead inc,6,California,point,NA,22.262
3 day ahead inc,6,California,point,NA,25.907
4 day ahead inc,6,California,point,NA,29.99
5 day ahead inc,6,California,point,NA,34.473
6 day ahead inc,6,California,point,NA,39.34
7 day ahead inc,6,California,point,NA,44.539
1 day ahead inc,8,Colorado,point,NA,2.414
2 day ahead inc,8,Colorado,point,NA,2.785
3 day ahead inc,8,Colorado,point,NA,3.197
4 day ahead inc,8,Colorado,point,NA,3.638
5 day ahead inc,8,Colorado,point,NA,4.125
6 day ahead inc,8,Colorado,point,NA,4.681
7 day ahead inc,8,Colorado,point,NA,5.252
1 day ahead inc,9,Connecticut,point,NA,7.636
2 day ahead inc,9,Connecticut,point,NA,9.247
3 day ahead inc,9,Connecticut,point,NA,11.05
4 day ahead inc,9,Connecticut,point,NA,13.084
5 day ahead inc,9,Connecticut,point,NA,15.316
6 day ahead inc,9,Connecticut,point,NA,17.731
7 day ahead inc,9,Connecticut,point,NA,20.357
1 day ahead inc,10,Delaware,point,NA,0
2 day ahead inc,10,Delaware,point,NA,0
