target_id,location_id,location_name,type,quantile,value
1 day ahead inc,56,Wyoming,point,NA,0
2 day ahead inc,56,Wyoming,point,NA,0
3 day ahead inc,56,Wyoming,point,NA,0
4 day ahead inc,56,Wyoming,point,NA,0
5 day ahead inc,56,Wyoming,point,NA,0
6 day ahead inc,56,Wyoming,point,NA,0
7 day ahead inc,56,Wyoming,point,NA,0.002
1 day ahead inc,55,Wisconsin,point,NA,4
2 day ahead inc,55,Wisconsin,point,NA,4.479
3 day ahead inc,55,Wisconsin,point,NA,5.234
4 day ahead inc,55,Wisconsin,point,NA,5.706
5 day ahead inc,55,Wisconsin,point,NA,6.62
6 day ahead inc,55,Wisconsin,point,NA,7.362
7 day ahead inc,55,Wisconsin,point,NA,8.288
1 day ahead inc,54,West Virginia,point,NA,0
2 day ahead inc,54,West Virginia,point,NA,0.113
3 day ahead inc,54,West Virginia,point,NA,0.13
4 day ahead inc,54,West Virginia,point,NA,0.21
5 day ahead inc,54,West Virginia,point,NA,0.3
6 day ahead inc,54,West Virginia,point,NA,0.407
7 day ahead inc,54,West Virginia,point,NA,0.528
1 day ahead inc,53,Washington,point,NA,17.872
2 day ahead inc,53,Washington,point,NA,18.769
3 day ahead inc,53,Washington,point,NA,19.473
4 day ahead inc,53,Washington,point,NA,20.336
5 day ahead inc,53,Washington,point,NA,21.146
6 day ahead inc,53,Washington,point,NA,21.829
7 day ahead inc,53,Washington,point,NA,22.471
1 day ahead inc,51,Virginia,point,NA,2
2 day ahead inc,51,Virginia,point,NA,2.087
3 day ahead inc,51,Virginia,point,NA,2.753
4 day ahead inc,51,Virginia,point,NA,2.995
5 day ahead inc,51,Virginia,point,NA,3.053
6 day ahead inc,51,Virginia,point,NA,3.541
7 day ahead inc,51,Virginia,point,NA,3.95
1 day ahead inc,50,Vermont,point,NA,2
2 day ahead inc,50,Vermont,point,NA,2
3 day ahead inc,50,Vermont,point,NA,2
4 day ahead inc,50,Vermont,point,NA,2
5 day ahead inc,50,Vermont,point,NA,2
6 day ahead inc,50,Vermont,point,NA,2.021
7 day ahead inc,50,Vermont,point,NA,2.496
1 day ahead inc,49,Utah,point,NA,0
2 day ahead inc,49,Utah,point,NA,1
3 day ahead inc,49,Utah,point,NA,1.059
4 day ahead inc,49,Utah,point,NA,1.539
5 day ahead inc,49,Utah,point,NA,1.97
6 day ahead inc,49,Utah,point,NA,2.38
7 day ahead inc,49,Utah,point,NA,2.94
1 day ahead inc,48,Texas,point,NA,9.552
2 day ahead inc,48,Texas,point,NA,11.169
3 day ahead inc,48,Texas,point,NA,13.067
4 day ahead inc,48,Texas,point,NA,15.165
5 day ahead inc,48,Texas,point,NA,17.518
6 day ahead inc,48,Texas,point,NA,20.138
7 day ahead inc,48,Texas,point,NA,23.044
1 day ahead inc,47,Tennessee,point,NA,4.942
2 day ahead inc,47,Tennessee,point,NA,6.406
