location,target_id,quantile,value,location_id,type
Wyoming,1 day ahead inc,NA,0,56,point
Wyoming,2 day ahead inc,NA,0,56,point
Wyoming,3 day ahead inc,NA,0,56,point
Wyoming,4 day ahead inc,NA,0,56,point
Wyoming,5 day ahead inc,NA,0,56,point
Wyoming,6 day ahead inc,NA,0.002,56,point
Wyoming,7 day ahead inc,NA,0.024,56,point
Wisconsin,1 day ahead inc,NA,5.285,55,point
Wisconsin,2 day ahead inc,NA,5.959,55,point
Wisconsin,3 day ahead inc,NA,6.639,55,point
Wisconsin,4 day ahead inc,NA,7.623,55,point
Wisconsin,5 day ahead inc,NA,8.502,55,point
Wisconsin,6 day ahead inc,NA,9.434,55,point
Wisconsin,7 day ahead inc,NA,10.337,55,point
West Virginia,1 day ahead inc,NA,0.097,54,point
West Virginia,2 day ahead inc,NA,0.115,54,point
West Virginia,3 day ahead inc,NA,0.15,54,point
West Virginia,4 day ahead inc,NA,0.258,54,point
West Virginia,5 day ahead inc,NA,0.326,54,point
West Virginia,6 day ahead inc,NA,0.463,54,point
West Virginia,7 day ahead inc,NA,0.578,54,point
Washington,1 day ahead inc,NA,18.64,53,point
Washington,2 day ahead inc,NA,19.207,53,point
Washington,3 day ahead inc,NA,19.74,53,point
Washington,4 day ahead inc,NA,20.284,53,point
Washington,5 day ahead inc,NA,20.728,53,point
Washington,6 day ahead inc,NA,21.096,53,point
Washington,7 day ahead inc,NA,21.358,53,point
Virginia,1 day ahead inc,NA,4.946,51,point
Virginia,2 day ahead inc,NA,5.255,51,point
Virginia,3 day ahead inc,NA,5.948,51,point
Virginia,4 day ahead inc,NA,6.521,51,point
Virginia,5 day ahead inc,NA,7.386,51,point
Virginia,6 day ahead inc,NA,8.053,51,point
Virginia,7 day ahead inc,NA,8.941,51,point
Vermont,1 day ahead inc,NA,1.577,50,point
Vermont,2 day ahead inc,NA,1.908,50,point
Vermont,3 day ahead inc,NA,1.982,50,point
Vermont,4 day ahead inc,NA,1.974,50,point
Vermont,5 day ahead inc,NA,1.926,50,point
Vermont,6 day ahead inc,NA,1.742,50,point
Vermont,7 day ahead inc,NA,1.538,50,point
Utah,1 day ahead inc,NA,1.647,49,point
Utah,2 day ahead inc,NA,2.012,49,point
Utah,3 day ahead inc,NA,2.466,49,point
Utah,4 day ahead inc,NA,3.057,49,point
Utah,5 day ahead inc,NA,3.703,49,point
Utah,6 day ahead inc,NA,4.419,49,point
Utah,7 day ahead inc,NA,5.228,49,point
Texas,1 day ahead inc,NA,12.654,48,point
Texas,2 day ahead inc,NA,14.722,48,point
Texas,3 day ahead inc,NA,17.026,48,point
Texas,4 day ahead inc,NA,19.578,48,point
Texas,5 day ahead inc,NA,22.402,48,point
Texas,6 day ahead inc,NA,25.531,48,point
Texas,7 day ahead inc,NA,28.948,48,point
Tennessee,1 day ahead inc,NA,12.324,47,point
Tennessee,2 day ahead inc,NA,16.279,47,point
Tennessee,3 day ahead inc,NA,21.181,47,point
Tennessee,4 day ahead inc,NA,27.125,47,point
Tennessee,5 day ahead inc,NA,34.221,47,point
Tennessee,6 day ahead inc,NA,42.487,47,point
Tennessee,7 day ahead inc,NA,51.872,47,point
South Dakota,1 day ahead inc,NA,0,46,point
South Dakota,2 day ahead inc,NA,0,46,point
South Dakota,3 day ahead inc,NA,0,46,point
South Dakota,4 day ahead inc,NA,0.001,46,point
South Dakota,5 day ahead inc,NA,0.016,46,point
South Dakota,6 day ahead inc,NA,0.067,46,point
South Dakota,7 day ahead inc,NA,0.128,46,point
South Carolina,1 day ahead inc,NA,4.992,45,point
South Carolina,2 day ahead inc,NA,5.403,45,point
South Carolina,3 day ahead inc,NA,6.19,45,point
South Carolina,4 day ahead inc,NA,7.135,45,point
South Carolina,5 day ahead inc,NA,8.047,45,point
South Carolina,6 day ahead inc,NA,9.069,45,point
South Carolina,7 day ahead inc,NA,10.135,45,point
Rhode Island,1 day ahead inc,NA,1.164,44,point
Rhode Island,2 day ahead inc,NA,1.635,44,point
Rhode Island,3 day ahead inc,NA,1.971,44,point
Rhode Island,4 day ahead inc,NA,2.308,44,point
Rhode Island,5 day ahead inc,NA,2.733,44,point
Rhode Island,6 day ahead inc,NA,3.179,44,point
Rhode Island,7 day ahead inc,NA,3.678,44,point
Pennsylvania,1 day ahead inc,NA,18.408,42,point
Pennsylvania,2 day ahead inc,NA,21.505,42,point
Pennsylvania,3 day ahead inc,NA,24.862,42,point
Pennsylvania,4 day ahead inc,NA,28.527,42,point
Pennsylvania,5 day ahead inc,NA,32.496,42,point
Pennsylvania,6 day ahead inc,NA,36.764,42,point
Pennsylvania,7 day ahead inc,NA,41.315,42,point
Oregon,1 day ahead inc,NA,2.489,41,point
Oregon,2 day ahead inc,NA,3,41,point
Oregon,3 day ahead inc,NA,3.083,41,point
Oregon,4 day ahead inc,NA,3.39,41,point
Oregon,5 day ahead inc,NA,3.511,41,point
Oregon,6 day ahead inc,NA,3.732,41,point
Oregon,7 day ahead inc,NA,4.447,41,point
Oklahoma,1 day ahead inc,NA,6.978,40,point
Oklahoma,2 day ahead inc,NA,8.024,40,point
Oklahoma,3 day ahead inc,NA,9.586,40,point
Oklahoma,4 day ahead inc,NA,11.164,40,point
Oklahoma,5 day ahead inc,NA,12.925,40,point
Oklahoma,6 day ahead inc,NA,14.97,40,point
Oklahoma,7 day ahead inc,NA,17.225,40,point
Ohio,1 day ahead inc,NA,17.369,39,point
Ohio,2 day ahead inc,NA,20.537,39,point
Ohio,3 day ahead inc,NA,24.122,39,point
Ohio,4 day ahead inc,NA,27.97,39,point
Ohio,5 day ahead inc,NA,31.896,39,point
Ohio,6 day ahead inc,NA,35.902,39,point
Ohio,7 day ahead inc,NA,39.789,39,point
North Dakota,1 day ahead inc,NA,0.977,38,point
North Dakota,2 day ahead inc,NA,0.999,38,point
North Dakota,3 day ahead inc,NA,1.017,38,point
North Dakota,4 day ahead inc,NA,1.182,38,point
North Dakota,5 day ahead inc,NA,1.55,38,point
North Dakota,6 day ahead inc,NA,1.873,38,point
North Dakota,7 day ahead inc,NA,2.132,38,point
North Carolina,1 day ahead inc,NA,4.253,37,point
North Carolina,2 day ahead inc,NA,5.522,37,point
North Carolina,3 day ahead inc,NA,6.907,37,point
North Carolina,4 day ahead inc,NA,8.161,37,point
