location,target_id,quantile,value,location_id,type
Wyoming,1 day ahead inc,NA,0.023,56,point
Wyoming,2 day ahead inc,NA,0.021,56,point
Wyoming,3 day ahead inc,NA,0.075,56,point
Wyoming,4 day ahead inc,NA,0.096,56,point
Wyoming,5 day ahead inc,NA,0.121,56,point
Wyoming,6 day ahead inc,NA,0.262,56,point
Wyoming,7 day ahead inc,NA,0.351,56,point
Wisconsin,1 day ahead inc,NA,15.473,55,point
Wisconsin,2 day ahead inc,NA,15.482,55,point
Wisconsin,3 day ahead inc,NA,16.606,55,point
Wisconsin,4 day ahead inc,NA,17.331,55,point
Wisconsin,5 day ahead inc,NA,18.451,55,point
Wisconsin,6 day ahead inc,NA,18.126,55,point
Wisconsin,7 day ahead inc,NA,18.358,55,point
West Virginia,1 day ahead inc,NA,3.847,54,point
West Virginia,2 day ahead inc,NA,3.497,54,point
West Virginia,3 day ahead inc,NA,4.056,54,point
West Virginia,4 day ahead inc,NA,4.622,54,point
West Virginia,5 day ahead inc,NA,5.347,54,point
West Virginia,6 day ahead inc,NA,5.516,54,point
West Virginia,7 day ahead inc,NA,6.918,54,point
Washington,1 day ahead inc,NA,19.091,53,point
Washington,2 day ahead inc,NA,19.516,53,point
Washington,3 day ahead inc,NA,19.187,53,point
Washington,4 day ahead inc,NA,18.748,53,point
Washington,5 day ahead inc,NA,18.389,53,point
Washington,6 day ahead inc,NA,17.916,53,point
Washington,7 day ahead inc,NA,17.013,53,point
Virginia,1 day ahead inc,NA,15.452,51,point
Virginia,2 day ahead inc,NA,15.413,51,point
Virginia,3 day ahead inc,NA,17.336,51,point
Virginia,4 day ahead inc,NA,19.016,51,point
Virginia,5 day ahead inc,NA,20.375,51,point
Virginia,6 day ahead inc,NA,22.593,51,point
Virginia,7 day ahead inc,NA,24.748,51,point
Vermont,1 day ahead inc,NA,1.912,50,point
Vermont,2 day ahead inc,NA,1.475,50,point
Vermont,3 day ahead inc,NA,1.449,50,point
Vermont,4 day ahead inc,NA,1.437,50,point
