target_id,location_id,location_name,type,quantile,value
1 day ahead inc,56,Wyoming,point,NA,0
2 day ahead inc,56,Wyoming,point,NA,0
3 day ahead inc,56,Wyoming,point,NA,0
4 day ahead inc,56,Wyoming,point,NA,0
5 day ahead inc,56,Wyoming,point,NA,0
6 day ahead inc,56,Wyoming,point,NA,0
7 day ahead inc,56,Wyoming,point,NA,0.007
1 day ahead inc,55,Wisconsin,point,NA,4.596
2 day ahead inc,55,Wisconsin,point,NA,5.32
3 day ahead inc,55,Wisconsin,point,NA,6.025
4 day ahead inc,55,Wisconsin,point,NA,6.647
5 day ahead inc,55,Wisconsin,point,NA,7.724
6 day ahead inc,55,Wisconsin,point,NA,8.399
7 day ahead inc,55,Wisconsin,point,NA,9.494
1 day ahead inc,54,West Virginia,point,NA,0
2 day ahead inc,54,West Virginia,point,NA,0.123
3 day ahead inc,54,West Virginia,point,NA,0.127
4 day ahead inc,54,West Virginia,point,NA,0.182
5 day ahead inc,54,West Virginia,point,NA,0.268
6 day ahead inc,54,West Virginia,point,NA,0.408
7 day ahead inc,54,West Virginia,point,NA,0.512
1 day ahead inc,53,Washington,point,NA,17.229
2 day ahead inc,53,Washington,point,NA,17.98
3 day ahead inc,53,Washington,point,NA,18.489
4 day ahead inc,53,Washington,point,NA,19.168
5 day ahead inc,53,Washington,point,NA,19.794
6 day ahead inc,53,Washington,point,NA,20.329
7 day ahead inc,53,Washington,point,NA,20.769
1 day ahead inc,51,Virginia,point,NA,4.008
2 day ahead inc,51,Virginia,point,NA,4.939
3 day ahead inc,51,Virginia,point,NA,5.247
4 day ahead inc,51,Virginia,point,NA,5.967
5 day ahead inc,51,Virginia,point,NA,6.545
6 day ahead inc,51,Virginia,point,NA,7.399
7 day ahead inc,51,Virginia,point,NA,8.074
1 day ahead inc,50,Vermont,point,NA,1.498
2 day ahead inc,50,Vermont,point,NA,1.525
3 day ahead inc,50,Vermont,point,NA,1.805
4 day ahead inc,50,Vermont,point,NA,1.951
5 day ahead inc,50,Vermont,point,NA,1.927
6 day ahead inc,50,Vermont,point,NA,1.834
7 day ahead inc,50,Vermont,point,NA,1.62
1 day ahead inc,49,Utah,point,NA,0.071
2 day ahead inc,49,Utah,point,NA,1.668
3 day ahead inc,49,Utah,point,NA,2.034
4 day ahead inc,49,Utah,point,NA,2.496
5 day ahead inc,49,Utah,point,NA,3.084
6 day ahead inc,49,Utah,point,NA,3.735
7 day ahead inc,49,Utah,point,NA,4.47
1 day ahead inc,48,Texas,point,NA,10.903
2 day ahead inc,48,Texas,point,NA,12.607
3 day ahead inc,48,Texas,point,NA,14.648
4 day ahead inc,48,Texas,point,NA,16.905
5 day ahead inc,48,Texas,point,NA,19.395
6 day ahead inc,48,Texas,point,NA,22.149
7 day ahead inc,48,Texas,point,NA,25.181
1 day ahead inc,47,Tennessee,point,NA,9.156
