location,forecast_date,quantile,value,target,target_end_date,type
02,2021-06-21,0.01,0,1 wk ahead inc death,2021-06-26,quantile
02,2021-06-21,0.025,0.021778093668135,1 wk ahead inc death,2021-06-26,quantile
02,2021-06-21,0.05,0.5233731797218049,1 wk ahead inc death,2021-06-26,quantile
02,2021-06-21,0.1,0.8750210852804732,1 wk ahead inc death,2021-06-26,quantile
02,2021-06-21,0.15,0.9911348843374109,1 wk ahead inc death,2021-06-26,quantile
02,2021-06-21,0.2,1.1619571703586071,1 wk ahead inc death,2021-06-26,quantile
02,2021-06-21,0.25,1.4007684285227466,1 wk ahead inc death,2021-06-26,quantile
02,2021-06-21,0.3,1.5295298103822812,1 wk ahead inc death,2021-06-26,quantile
02,2021-06-21,0.35,1.6728466500520047,1 wk ahead inc death,2021-06-26,quantile
02,2021-06-21,0.4,1.728277530349729,1 wk ahead inc death,2021-06-26,quantile
02,2021-06-21,0.45,1.8638066456077982,1 wk ahead inc death,2021-06-26,quantile
02,2021-06-21,0.5,2.0240442541282744,1 wk ahead inc death,2021-06-26,quantile
02,2021-06-21,0.55,2.239710378497747,1 wk ahead inc death,2021-06-26,quantile
02,2021-06-21,0.6,2.460320520262363,1 wk ahead inc death,2021-06-26,quantile
02,2021-06-21,0.65,2.636201609871927,1 wk ahead inc death,2021-06-26,quantile
02,2021-06-21,0.7,2.8818137633049092,1 wk ahead inc death,2021-06-26,quantile
02,2021-06-21,0.75,3.1449926357493845,1 wk ahead inc death,2021-06-26,quantile
02,2021-06-21,0.8,3.4303393884666815,1 wk ahead inc death,2021-06-26,quantile
02,2021-06-21,0.85,3.675243921035265,1 wk ahead inc death,2021-06-26,quantile
02,2021-06-21,0.9,4.206492894006107,1 wk ahead inc death,2021-06-26,quantile
02,2021-06-21,0.95,5.194300587911848,1 wk ahead inc death,2021-06-26,quantile
02,2021-06-21,0.975,6.09311412236028,1 wk ahead inc death,2021-06-26,quantile
02,2021-06-21,0.99,7.05892042417533,1 wk ahead inc death,2021-06-26,quantile
01,2021-06-21,0.01,17.456597015386773,1 wk ahead inc death,2021-06-26,quantile
01,2021-06-21,0.025,20.747907456039872,1 wk ahead inc death,2021-06-26,quantile
01,2021-06-21,0.05,24.74090587774658,1 wk ahead inc death,2021-06-26,quantile
01,2021-06-21,0.1,29.698546434607813,1 wk ahead inc death,2021-06-26,quantile
01,2021-06-21,0.15,32.461466654261685,1 wk ahead inc death,2021-06-26,quantile
01,2021-06-21,0.2,34.22180505316288,1 wk ahead inc death,2021-06-26,quantile
01,2021-06-21,0.25,35.814944645167344,1 wk ahead inc death,2021-06-26,quantile
01,2021-06-21,0.3,38.26986611571492,1 wk ahead inc death,2021-06-26,quantile
01,2021-06-21,0.35,40.36017781034657,1 wk ahead inc death,2021-06-26,quantile
01,2021-06-21,0.4,41.74440564991663,1 wk ahead inc death,2021-06-26,quantile
01,2021-06-21,0.45,43.055509265395415,1 wk ahead inc death,2021-06-26,quantile
01,2021-06-21,0.5,44.06278471383276,1 wk ahead inc death,2021-06-26,quantile
01,2021-06-21,0.55,45.51349109629877,1 wk ahead inc death,2021-06-26,quantile
01,2021-06-21,0.6,46.94295123166195,1 wk ahead inc death,2021-06-26,quantile
01,2021-06-21,0.65,48.628719374166494,1 wk ahead inc death,2021-06-26,quantile
01,2021-06-21,0.7,50.865447627313095,1 wk ahead inc death,2021-06-26,quantile
01,2021-06-21,0.75,52.499999999999986,1 wk ahead inc death,2021-06-26,quantile
01,2021-06-21,0.8,54.3135950674061,1 wk ahead inc death,2021-06-26,quantile
01,2021-06-21,0.85,57.18133376833779,1 wk ahead inc death,2021-06-26,quantile
01,2021-06-21,0.9,61.239524890231635,1 wk ahead inc death,2021-06-26,quantile
01,2021-06-21,0.95,67.5725165477901,1 wk ahead inc death,2021-06-26,quantile
01,2021-06-21,0.975,74.04499898116138,1 wk ahead inc death,2021-06-26,quantile
01,2021-06-21,0.99,85.45292379724557,1 wk ahead inc death,2021-06-26,quantile
05,2021-06-21,0.01,6.61331842068757,1 wk ahead inc death,2021-06-26,quantile
05,2021-06-21,0.025,6.923636323193332,1 wk ahead inc death,2021-06-26,quantile
05,2021-06-21,0.05,7.72700638535579,1 wk ahead inc death,2021-06-26,quantile
05,2021-06-21,0.1,8.84454608428417,1 wk ahead inc death,2021-06-26,quantile
05,2021-06-21,0.15,10.614180648320819,1 wk ahead inc death,2021-06-26,quantile
05,2021-06-21,0.2,11.913409963151917,1 wk ahead inc death,2021-06-26,quantile
05,2021-06-21,0.25,12.91230955074762,1 wk ahead inc death,2021-06-26,quantile
05,2021-06-21,0.3,13.999999999999998,1 wk ahead inc death,2021-06-26,quantile
05,2021-06-21,0.35,15.129382545080514,1 wk ahead inc death,2021-06-26,quantile
05,2021-06-21,0.4,15.802081478760336,1 wk ahead inc death,2021-06-26,quantile
05,2021-06-21,0.45,16.496172035921077,1 wk ahead inc death,2021-06-26,quantile
05,2021-06-21,0.5,17.736863867214684,1 wk ahead inc death,2021-06-26,quantile
05,2021-06-21,0.55,18.526370603564363,1 wk ahead inc death,2021-06-26,quantile
05,2021-06-21,0.6,19.755599803076702,1 wk ahead inc death,2021-06-26,quantile
05,2021-06-21,0.65,20.361927476081814,1 wk ahead inc death,2021-06-26,quantile
05,2021-06-21,0.7,21.260942349875304,1 wk ahead inc death,2021-06-26,quantile
05,2021-06-21,0.75,22.541377046525582,1 wk ahead inc death,2021-06-26,quantile
05,2021-06-21,0.8,24.881113872782347,1 wk ahead inc death,2021-06-26,quantile
05,2021-06-21,0.85,26.64112760743031,1 wk ahead inc death,2021-06-26,quantile
05,2021-06-21,0.9,30.100972112732688,1 wk ahead inc death,2021-06-26,quantile
05,2021-06-21,0.95,31.91894446923801,1 wk ahead inc death,2021-06-26,quantile
05,2021-06-21,0.975,33.58130667325478,1 wk ahead inc death,2021-06-26,quantile
05,2021-06-21,0.99,36.50514116672444,1 wk ahead inc death,2021-06-26,quantile
04,2021-06-21,0.01,29.227326616886426,1 wk ahead inc death,2021-06-26,quantile
04,2021-06-21,0.025,32.06737830495207,1 wk ahead inc death,2021-06-26,quantile
04,2021-06-21,0.05,35.68364420054958,1 wk ahead inc death,2021-06-26,quantile
04,2021-06-21,0.1,41.025520919800556,1 wk ahead inc death,2021-06-26,quantile
04,2021-06-21,0.15,45.41055825653158,1 wk ahead inc death,2021-06-26,quantile
04,2021-06-21,0.2,48.448628337710346,1 wk ahead inc death,2021-06-26,quantile
04,2021-06-21,0.25,50.59324387925083,1 wk ahead inc death,2021-06-26,quantile
04,2021-06-21,0.3,53.88680347666129,1 wk ahead inc death,2021-06-26,quantile
04,2021-06-21,0.35,57.33572648106529,1 wk ahead inc death,2021-06-26,quantile
04,2021-06-21,0.4,59.477176156356414,1 wk ahead inc death,2021-06-26,quantile
04,2021-06-21,0.45,61.61670146412856,1 wk ahead inc death,2021-06-26,quantile
04,2021-06-21,0.5,64.14983088806896,1 wk ahead inc death,2021-06-26,quantile
04,2021-06-21,0.55,66.71347271659015,1 wk ahead inc death,2021-06-26,quantile
04,2021-06-21,0.6,69.28196639154534,1 wk ahead inc death,2021-06-26,quantile
04,2021-06-21,0.65,71.58430776565167,1 wk ahead inc death,2021-06-26,quantile
04,2021-06-21,0.7,74.33887027848239,1 wk ahead inc death,2021-06-26,quantile
04,2021-06-21,0.75,77.11763141708492,1 wk ahead inc death,2021-06-26,quantile
04,2021-06-21,0.8,81.4973768108585,1 wk ahead inc death,2021-06-26,quantile
04,2021-06-21,0.85,85.97999382946446,1 wk ahead inc death,2021-06-26,quantile
04,2021-06-21,0.9,92.21803239804834,1 wk ahead inc death,2021-06-26,quantile
04,2021-06-21,0.95,101.16476853141435,1 wk ahead inc death,2021-06-26,quantile
04,2021-06-21,0.975,109.47194090507229,1 wk ahead inc death,2021-06-26,quantile
04,2021-06-21,0.99,123.9718013227329,1 wk ahead inc death,2021-06-26,quantile
06,2021-06-21,0.01,31.871467121001384,1 wk ahead inc death,2021-06-26,quantile
06,2021-06-21,0.025,38.90059159149582,1 wk ahead inc death,2021-06-26,quantile
06,2021-06-21,0.05,51.605020551544584,1 wk ahead inc death,2021-06-26,quantile
06,2021-06-21,0.1,60.55474735511162,1 wk ahead inc death,2021-06-26,quantile
06,2021-06-21,0.15,68.60642892421912,1 wk ahead inc death,2021-06-26,quantile
06,2021-06-21,0.2,78.71903642933223,1 wk ahead inc death,2021-06-26,quantile
06,2021-06-21,0.25,87.7546364475517,1 wk ahead inc death,2021-06-26,quantile
06,2021-06-21,0.3,96.18784068796474,1 wk ahead inc death,2021-06-26,quantile
06,2021-06-21,0.35,103.65149428494047,1 wk ahead inc death,2021-06-26,quantile
06,2021-06-21,0.4,108.4424724446027,1 wk ahead inc death,2021-06-26,quantile
06,2021-06-21,0.45,116.50871371667517,1 wk ahead inc death,2021-06-26,quantile
06,2021-06-21,0.5,126.1694673150607,1 wk ahead inc death,2021-06-26,quantile
06,2021-06-21,0.55,135.47545554282652,1 wk ahead inc death,2021-06-26,quantile
06,2021-06-21,0.6,145.71113969311455,1 wk ahead inc death,2021-06-26,quantile
06,2021-06-21,0.65,155.8328619076735,1 wk ahead inc death,2021-06-26,quantile
06,2021-06-21,0.7,166.71312783672118,1 wk ahead inc death,2021-06-26,quantile
06,2021-06-21,0.75,178.69912051999512,1 wk ahead inc death,2021-06-26,quantile
06,2021-06-21,0.8,190.72115069461233,1 wk ahead inc death,2021-06-26,quantile
06,2021-06-21,0.85,204.6282122419298,1 wk ahead inc death,2021-06-26,quantile
06,2021-06-21,0.9,229.5520159657434,1 wk ahead inc death,2021-06-26,quantile
06,2021-06-21,0.95,257.43104799989777,1 wk ahead inc death,2021-06-26,quantile
06,2021-06-21,0.975,282.69768808381804,1 wk ahead inc death,2021-06-26,quantile
06,2021-06-21,0.99,321.2004342534694,1 wk ahead inc death,2021-06-26,quantile
08,2021-06-21,0.01,19.243245041245157,1 wk ahead inc death,2021-06-26,quantile
08,2021-06-21,0.025,21.45643616384529,1 wk ahead inc death,2021-06-26,quantile
08,2021-06-21,0.05,24.7245148997479,1 wk ahead inc death,2021-06-26,quantile
08,2021-06-21,0.1,29.649928023786963,1 wk ahead inc death,2021-06-26,quantile
08,2021-06-21,0.15,33.27333325825299,1 wk ahead inc death,2021-06-26,quantile
08,2021-06-21,0.2,36.38952048951142,1 wk ahead inc death,2021-06-26,quantile
08,2021-06-21,0.25,38.804800515391626,1 wk ahead inc death,2021-06-26,quantile
08,2021-06-21,0.3,41.365370564076855,1 wk ahead inc death,2021-06-26,quantile
08,2021-06-21,0.35,44.43293461883571,1 wk ahead inc death,2021-06-26,quantile
08,2021-06-21,0.4,46.61848035716995,1 wk ahead inc death,2021-06-26,quantile
08,2021-06-21,0.45,48.504029945332775,1 wk ahead inc death,2021-06-26,quantile
08,2021-06-21,0.5,50.705282172822336,1 wk ahead inc death,2021-06-26,quantile
08,2021-06-21,0.55,53.707119820305216,1 wk ahead inc death,2021-06-26,quantile
08,2021-06-21,0.6,55.888591595774386,1 wk ahead inc death,2021-06-26,quantile
08,2021-06-21,0.65,57.472997617012446,1 wk ahead inc death,2021-06-26,quantile
