location,forecast_date,quantile,value,target,target_end_date,type
02,2024-03-18,0.01,0,0 day ahead inc hosp,2024-03-18,quantile
02,2024-03-18,0.025,0,0 day ahead inc hosp,2024-03-18,quantile
02,2024-03-18,0.05,0,0 day ahead inc hosp,2024-03-18,quantile
02,2024-03-18,0.1,0.26467605919763565,0 day ahead inc hosp,2024-03-18,quantile
02,2024-03-18,0.15,1.3472405458851793,0 day ahead inc hosp,2024-03-18,quantile
02,2024-03-18,0.2,2.1142158934184367,0 day ahead inc hosp,2024-03-18,quantile
02,2024-03-18,0.25,2.7305529335687675,0 day ahead inc hosp,2024-03-18,quantile
02,2024-03-18,0.3,3.219420229302384,0 day ahead inc hosp,2024-03-18,quantile
02,2024-03-18,0.35,3.6918022107903026,0 day ahead inc hosp,2024-03-18,quantile
02,2024-03-18,0.4,4.12333250666302,0 day ahead inc hosp,2024-03-18,quantile
02,2024-03-18,0.45,4.573060605270683,0 day ahead inc hosp,2024-03-18,quantile
02,2024-03-18,0.5,5.02987727026152,0 day ahead inc hosp,2024-03-18,quantile
02,2024-03-18,0.55,5.495266756653431,0 day ahead inc hosp,2024-03-18,quantile
02,2024-03-18,0.6,5.958994489706702,0 day ahead inc hosp,2024-03-18,quantile
02,2024-03-18,0.65,6.357402055261356,0 day ahead inc hosp,2024-03-18,quantile
02,2024-03-18,0.7,6.780798457176221,0 day ahead inc hosp,2024-03-18,quantile
02,2024-03-18,0.75,7.329800644168708,0 day ahead inc hosp,2024-03-18,quantile
02,2024-03-18,0.8,7.988454843864152,0 day ahead inc hosp,2024-03-18,quantile
02,2024-03-18,0.85,8.912685841960236,0 day ahead inc hosp,2024-03-18,quantile
02,2024-03-18,0.9,10.195974137650392,0 day ahead inc hosp,2024-03-18,quantile
02,2024-03-18,0.95,12.605577657464588,0 day ahead inc hosp,2024-03-18,quantile
02,2024-03-18,0.975,15.841127574590896,0 day ahead inc hosp,2024-03-18,quantile
02,2024-03-18,0.99,19.078549678035333,0 day ahead inc hosp,2024-03-18,quantile
02,2024-03-18,0.01,0,1 day ahead inc hosp,2024-03-19,quantile
02,2024-03-18,0.025,0,1 day ahead inc hosp,2024-03-19,quantile
02,2024-03-18,0.05,0,1 day ahead inc hosp,2024-03-19,quantile
02,2024-03-18,0.1,0.26467605919763565,1 day ahead inc hosp,2024-03-19,quantile
02,2024-03-18,0.15,1.3472405458851793,1 day ahead inc hosp,2024-03-19,quantile
02,2024-03-18,0.2,2.1142158934184367,1 day ahead inc hosp,2024-03-19,quantile
02,2024-03-18,0.25,2.7305529335687675,1 day ahead inc hosp,2024-03-19,quantile
02,2024-03-18,0.3,3.219420229302384,1 day ahead inc hosp,2024-03-19,quantile
02,2024-03-18,0.35,3.6918022107903026,1 day ahead inc hosp,2024-03-19,quantile
02,2024-03-18,0.4,4.12333250666302,1 day ahead inc hosp,2024-03-19,quantile
02,2024-03-18,0.45,4.573060605270683,1 day ahead inc hosp,2024-03-19,quantile
02,2024-03-18,0.5,5.02987727026152,1 day ahead inc hosp,2024-03-19,quantile
02,2024-03-18,0.55,5.495266756653431,1 day ahead inc hosp,2024-03-19,quantile
02,2024-03-18,0.6,5.958994489706702,1 day ahead inc hosp,2024-03-19,quantile
02,2024-03-18,0.65,6.357402055261356,1 day ahead inc hosp,2024-03-19,quantile
02,2024-03-18,0.7,6.780798457176221,1 day ahead inc hosp,2024-03-19,quantile
02,2024-03-18,0.75,7.329800644168708,1 day ahead inc hosp,2024-03-19,quantile
02,2024-03-18,0.8,7.988454843864152,1 day ahead inc hosp,2024-03-19,quantile
02,2024-03-18,0.85,8.912685841960236,1 day ahead inc hosp,2024-03-19,quantile
02,2024-03-18,0.9,10.195974137650392,1 day ahead inc hosp,2024-03-19,quantile
02,2024-03-18,0.95,12.605577657464588,1 day ahead inc hosp,2024-03-19,quantile
02,2024-03-18,0.975,15.841127574590896,1 day ahead inc hosp,2024-03-19,quantile
02,2024-03-18,0.99,19.078549678035333,1 day ahead inc hosp,2024-03-19,quantile
02,2024-03-18,0.01,0,2 day ahead inc hosp,2024-03-20,quantile
02,2024-03-18,0.025,0,2 day ahead inc hosp,2024-03-20,quantile
02,2024-03-18,0.05,0,2 day ahead inc hosp,2024-03-20,quantile
02,2024-03-18,0.1,0.16787656617623503,2 day ahead inc hosp,2024-03-20,quantile
02,2024-03-18,0.15,1.2822443849225835,2 day ahead inc hosp,2024-03-20,quantile
02,2024-03-18,0.2,2.0625916935430615,2 day ahead inc hosp,2024-03-20,quantile
02,2024-03-18,0.25,2.682126143837204,2 day ahead inc hosp,2024-03-20,quantile
02,2024-03-18,0.3,3.2038256467875708,2 day ahead inc hosp,2024-03-20,quantile
02,2024-03-18,0.35,3.6798510976592325,2 day ahead inc hosp,2024-03-20,quantile
02,2024-03-18,0.4,4.1154754266035285,2 day ahead inc hosp,2024-03-20,quantile
02,2024-03-18,0.45,4.573571126072338,2 day ahead inc hosp,2024-03-20,quantile
02,2024-03-18,0.5,5.041804378218252,2 day ahead inc hosp,2024-03-20,quantile
02,2024-03-18,0.55,5.50216963230031,2 day ahead inc hosp,2024-03-20,quantile
02,2024-03-18,0.6,5.9816724086298025,2 day ahead inc hosp,2024-03-20,quantile
02,2024-03-18,0.65,6.410488855918742,2 day ahead inc hosp,2024-03-20,quantile
02,2024-03-18,0.7,6.823857468357334,2 day ahead inc hosp,2024-03-20,quantile
02,2024-03-18,0.75,7.402313092648028,2 day ahead inc hosp,2024-03-20,quantile
02,2024-03-18,0.8,8.107352512712223,2 day ahead inc hosp,2024-03-20,quantile
02,2024-03-18,0.85,9.043745927840947,2 day ahead inc hosp,2024-03-20,quantile
02,2024-03-18,0.9,10.403510491176256,2 day ahead inc hosp,2024-03-20,quantile
02,2024-03-18,0.95,13.105055961463815,2 day ahead inc hosp,2024-03-20,quantile
02,2024-03-18,0.975,16.54262774116046,2 day ahead inc hosp,2024-03-20,quantile
02,2024-03-18,0.99,19.98681654268048,2 day ahead inc hosp,2024-03-20,quantile
02,2024-03-18,0.01,0,3 day ahead inc hosp,2024-03-21,quantile
02,2024-03-18,0.025,0,3 day ahead inc hosp,2024-03-21,quantile
02,2024-03-18,0.05,0,3 day ahead inc hosp,2024-03-21,quantile
02,2024-03-18,0.1,6.146754748866697e-6,3 day ahead inc hosp,2024-03-21,quantile
02,2024-03-18,0.15,1.2106043676956206,3 day ahead inc hosp,2024-03-21,quantile
02,2024-03-18,0.2,2.0184059545257442,3 day ahead inc hosp,2024-03-21,quantile
02,2024-03-18,0.25,2.6295117816493643,3 day ahead inc hosp,2024-03-21,quantile
02,2024-03-18,0.3,3.1516797346754375,3 day ahead inc hosp,2024-03-21,quantile
02,2024-03-18,0.35,3.630796905680556,3 day ahead inc hosp,2024-03-21,quantile
02,2024-03-18,0.4,4.073613898149288,3 day ahead inc hosp,2024-03-21,quantile
02,2024-03-18,0.45,4.521006258879636,3 day ahead inc hosp,2024-03-21,quantile
02,2024-03-18,0.5,4.994289555692984,3 day ahead inc hosp,2024-03-21,quantile
02,2024-03-18,0.55,5.4896589500966435,3 day ahead inc hosp,2024-03-21,quantile
02,2024-03-18,0.6,5.9741230080561305,3 day ahead inc hosp,2024-03-21,quantile
02,2024-03-18,0.65,6.449250491708415,3 day ahead inc hosp,2024-03-21,quantile
02,2024-03-18,0.7,6.849725325308712,3 day ahead inc hosp,2024-03-21,quantile
02,2024-03-18,0.75,7.41989847030093,3 day ahead inc hosp,2024-03-21,quantile
02,2024-03-18,0.8,8.176280358436333,3 day ahead inc hosp,2024-03-21,quantile
