target_end_date,location,value,type,quantile,forecast_date,target
2024-01-01,01,62.35,point,NA,2024-01-01,0 day ahead inc hosp
2024-01-02,01,62.39,point,NA,2024-01-01,1 day ahead inc hosp
2024-01-03,01,62.42,point,NA,2024-01-01,2 day ahead inc hosp
2024-01-04,01,62.45,point,NA,2024-01-01,3 day ahead inc hosp
2024-01-05,01,62.47,point,NA,2024-01-01,4 day ahead inc hosp
2024-01-06,01,62.48,point,NA,2024-01-01,5 day ahead inc hosp
2024-01-07,01,62.5,point,NA,2024-01-01,6 day ahead inc hosp
2024-01-08,01,62.52,point,NA,2024-01-01,7 day ahead inc hosp
2024-01-09,01,62.55,point,NA,2024-01-01,8 day ahead inc hosp
2024-01-10,01,62.58,point,NA,2024-01-01,9 day ahead inc hosp
2024-01-11,01,62.62,point,NA,2024-01-01,10 day ahead inc hosp
2024-01-12,01,62.68,point,NA,2024-01-01,11 day ahead inc hosp
2024-01-13,01,62.74,point,NA,2024-01-01,12 day ahead inc hosp
2024-01-14,01,62.82,point,NA,2024-01-01,13 day ahead inc hosp
2024-01-15,01,62.92,point,NA,2024-01-01,14 day ahead inc hosp
2024-01-16,01,63.03,point,NA,2024-01-01,15 day ahead inc hosp
2024-01-17,01,63.15,point,NA,2024-01-01,16 day ahead inc hosp
2024-01-18,01,63.29,point,NA,2024-01-01,17 day ahead inc hosp
2024-01-19,01,63.44,point,NA,2024-01-01,18 day ahead inc hosp
2024-01-20,01,63.6,point,NA,2024-01-01,19 day ahead inc hosp
2024-01-21,01,63.76,point,NA,2024-01-01,20 day ahead inc hosp
2024-01-22,01,63.92,point,NA,2024-01-01,21 day ahead inc hosp
2024-01-23,01,64.07,point,NA,2024-01-01,22 day ahead inc hosp
2024-01-24,01,64.21,point,NA,2024-01-01,23 day ahead inc hosp
2024-01-25,01,64.34,point,NA,2024-01-01,24 day ahead inc hosp
2024-01-26,01,64.45,point,NA,2024-01-01,25 day ahead inc hosp
2024-01-27,01,64.54,point,NA,2024-01-01,26 day ahead inc hosp
2024-01-28,01,64.6,point,NA,2024-01-01,27 day ahead inc hosp
2024-01-29,01,64.64,point,NA,2024-01-01,28 day ahead inc hosp
2024-01-30,01,64.64,point,NA,2024-01-01,29 day ahead inc hosp
2024-01-01,02,2.81,point,NA,2024-01-01,0 day ahead inc hosp
2024-01-02,02,2.81,point,NA,2024-01-01,1 day ahead inc hosp
2024-01-03,02,2.8,point,NA,2024-01-01,2 day ahead inc hosp
2024-01-04,02,2.8,point,NA,2024-01-01,3 day ahead inc hosp
2024-01-05,02,2.8,point,NA,2024-01-01,4 day ahead inc hosp
2024-01-06,02,2.79,point,NA,2024-01-01,5 day ahead inc hosp
2024-01-07,02,2.79,point,NA,2024-01-01,6 day ahead inc hosp
2024-01-08,02,2.78,point,NA,2024-01-01,7 day ahead inc hosp
2024-01-09,02,2.78,point,NA,2024-01-01,8 day ahead inc hosp
2024-01-10,02,2.77,point,NA,2024-01-01,9 day ahead inc hosp
2024-01-11,02,2.76,point,NA,2024-01-01,10 day ahead inc hosp
2024-01-12,02,2.75,point,NA,2024-01-01,11 day ahead inc hosp
2024-01-13,02,2.74,point,NA,2024-01-01,12 day ahead inc hosp
2024-01-14,02,2.74,point,NA,2024-01-01,13 day ahead inc hosp
2024-01-15,02,2.73,point,NA,2024-01-01,14 day ahead inc hosp
2024-01-16,02,2.73,point,NA,2024-01-01,15 day ahead inc hosp
2024-01-17,02,2.73,point,NA,2024-01-01,16 day ahead inc hosp
2024-01-18,02,2.73,point,NA,2024-01-01,17 day ahead inc hosp
2024-01-19,02,2.73,point,NA,2024-01-01,18 day ahead inc hosp
2024-01-20,02,2.74,point,NA,2024-01-01,19 day ahead inc hosp
2024-01-21,02,2.74,point,NA,2024-01-01,20 day ahead inc hosp
2024-01-22,02,2.75,point,NA,2024-01-01,21 day ahead inc hosp
2024-01-23,02,2.76,point,NA,2024-01-01,22 day ahead inc hosp
2024-01-24,02,2.76,point,NA,2024-01-01,23 day ahead inc hosp
2024-01-25,02,2.77,point,NA,2024-01-01,24 day ahead inc hosp
2024-01-26,02,2.78,point,NA,2024-01-01,25 day ahead inc hosp
2024-01-27,02,2.78,point,NA,2024-01-01,26 day ahead inc hosp
2024-01-28,02,2.79,point,NA,2024-01-01,27 day ahead inc hosp
2024-01-29,02,2.79,point,NA,2024-01-01,28 day ahead inc hosp
2024-01-30,02,2.8,point,NA,2024-01-01,29 day ahead inc hosp
2024-01-01,04,62.89,point,NA,2024-01-01,0 day ahead inc hosp
2024-01-02,04,62.75,point,NA,2024-01-01,1 day ahead inc hosp
2024-01-03,04,62.73,point,NA,2024-01-01,2 day ahead inc hosp
2024-01-04,04,62.81,point,NA,2024-01-01,3 day ahead inc hosp
2024-01-05,04,62.97,point,NA,2024-01-01,4 day ahead inc hosp
2024-01-06,04,63.18,point,NA,2024-01-01,5 day ahead inc hosp
2024-01-07,04,63.42,point,NA,2024-01-01,6 day ahead inc hosp
2024-01-08,04,63.66,point,NA,2024-01-01,7 day ahead inc hosp
2024-01-09,04,63.89,point,NA,2024-01-01,8 day ahead inc hosp
2024-01-10,04,64.08,point,NA,2024-01-01,9 day ahead inc hosp
2024-01-11,04,64.24,point,NA,2024-01-01,10 day ahead inc hosp
2024-01-12,04,64.36,point,NA,2024-01-01,11 day ahead inc hosp
2024-01-13,04,64.44,point,NA,2024-01-01,12 day ahead inc hosp
2024-01-14,04,64.5,point,NA,2024-01-01,13 day ahead inc hosp
2024-01-15,04,64.54,point,NA,2024-01-01,14 day ahead inc hosp
2024-01-16,04,64.55,point,NA,2024-01-01,15 day ahead inc hosp
2024-01-17,04,64.54,point,NA,2024-01-01,16 day ahead inc hosp
2024-01-18,04,64.52,point,NA,2024-01-01,17 day ahead inc hosp
2024-01-19,04,64.48,point,NA,2024-01-01,18 day ahead inc hosp
2024-01-20,04,64.43,point,NA,2024-01-01,19 day ahead inc hosp
2024-01-21,04,64.36,point,NA,2024-01-01,20 day ahead inc hosp
2024-01-22,04,64.28,point,NA,2024-01-01,21 day ahead inc hosp
2024-01-23,04,64.2,point,NA,2024-01-01,22 day ahead inc hosp
2024-01-24,04,64.1,point,NA,2024-01-01,23 day ahead inc hosp
2024-01-25,04,64.0,point,NA,2024-01-01,24 day ahead inc hosp
2024-01-26,04,63.89,point,NA,2024-01-01,25 day ahead inc hosp
2024-01-27,04,63.78,point,NA,2024-01-01,26 day ahead inc hosp
2024-01-28,04,63.67,point,NA,2024-01-01,27 day ahead inc hosp
2024-01-29,04,63.55,point,NA,2024-01-01,28 day ahead inc hosp
2024-01-30,04,63.44,point,NA,2024-01-01,29 day ahead inc hosp
2024-01-01,05,41.84,point,NA,2024-01-01,0 day ahead inc hosp
2024-01-02,05,41.78,point,NA,2024-01-01,1 day ahead inc hosp
2024-01-03,05,41.77,point,NA,2024-01-01,2 day ahead inc hosp
2024-01-04,05,41.78,point,NA,2024-01-01,3 day ahead inc hosp
2024-01-05,05,41.8,point,NA,2024-01-01,4 day ahead inc hosp
2024-01-06,05,41.83,point,NA,2024-01-01,5 day ahead inc hosp
2024-01-07,05,41.83,point,NA,2024-01-01,6 day ahead inc hosp
2024-01-08,05,41.79,point,NA,2024-01-01,7 day ahead inc hosp
2024-01-09,05,41.7,point,NA,2024-01-01,8 day ahead inc hosp
2024-01-10,05,41.55,point,NA,2024-01-01,9 day ahead inc hosp
2024-01-11,05,41.34,point,NA,2024-01-01,10 day ahead inc hosp
2024-01-12,05,41.11,point,NA,2024-01-01,11 day ahead inc hosp
2024-01-13,05,40.86,point,NA,2024-01-01,12 day ahead inc hosp
2024-01-14,05,40.61,point,NA,2024-01-01,13 day ahead inc hosp
2024-01-15,05,40.39,point,NA,2024-01-01,14 day ahead inc hosp
2024-01-16,05,40.22,point,NA,2024-01-01,15 day ahead inc hosp
2024-01-17,05,40.1,point,NA,2024-01-01,16 day ahead inc hosp
2024-01-18,05,40.04,point,NA,2024-01-01,17 day ahead inc hosp
2024-01-19,05,40.03,point,NA,2024-01-01,18 day ahead inc hosp
2024-01-20,05,40.07,point,NA,2024-01-01,19 day ahead inc hosp
2024-01-21,05,40.14,point,NA,2024-01-01,20 day ahead inc hosp
2024-01-22,05,40.24,point,NA,2024-01-01,21 day ahead inc hosp
2024-01-23,05,40.36,point,NA,2024-01-01,22 day ahead inc hosp
2024-01-24,05,40.51,point,NA,2024-01-01,23 day ahead inc hosp
2024-01-25,05,40.66,point,NA,2024-01-01,24 day ahead inc hosp
2024-01-26,05,40.83,point,NA,2024-01-01,25 day ahead inc hosp
2024-01-27,05,40.99,point,NA,2024-01-01,26 day ahead inc hosp
2024-01-28,05,41.14,point,NA,2024-01-01,27 day ahead inc hosp
2024-01-29,05,41.28,point,NA,2024-01-01,28 day ahead inc hosp
2024-01-30,05,41.4,point,NA,2024-01-01,29 day ahead inc hosp
2024-01-01,06,432.95,point,NA,2024-01-01,0 day ahead inc hosp
2024-01-02,06,432.6,point,NA,2024-01-01,1 day ahead inc hosp
2024-01-03,06,431.46,point,NA,2024-01-01,2 day ahead inc hosp
2024-01-04,06,429.7,point,NA,2024-01-01,3 day ahead inc hosp
2024-01-05,06,427.58,point,NA,2024-01-01,4 day ahead inc hosp
2024-01-06,06,425.33,point,NA,2024-01-01,5 day ahead inc hosp
2024-01-07,06,423.22,point,NA,2024-01-01,6 day ahead inc hosp
2024-01-08,06,421.48,point,NA,2024-01-01,7 day ahead inc hosp
2024-01-09,06,420.37,point,NA,2024-01-01,8 day ahead inc hosp
2024-01-10,06,420.07,point,NA,2024-01-01,9 day ahead inc hosp
2024-01-11,06,420.48,point,NA,2024-01-01,10 day ahead inc hosp
2024-01-12,06,421.41,point,NA,2024-01-01,11 day ahead inc hosp
2024-01-13,06,422.7,point,NA,2024-01-01,12 day ahead inc hosp
2024-01-14,06,424.17,point,NA,2024-01-01,13 day ahead inc hosp
2024-01-15,06,425.66,point,NA,2024-01-01,14 day ahead inc hosp
2024-01-16,06,426.97,point,NA,2024-01-01,15 day ahead inc hosp
2024-01-17,06,427.99,point,NA,2024-01-01,16 day ahead inc hosp
2024-01-18,06,428.71,point,NA,2024-01-01,17 day ahead inc hosp
2024-01-19,06,429.2,point,NA,2024-01-01,18 day ahead inc hosp
2024-01-20,06,429.49,point,NA,2024-01-01,19 day ahead inc hosp
2024-01-21,06,429.64,point,NA,2024-01-01,20 day ahead inc hosp
2024-01-22,06,429.69,point,NA,2024-01-01,21 day ahead inc hosp
2024-01-23,06,429.7,point,NA,2024-01-01,22 day ahead inc hosp
2024-01-24,06,429.71,point,NA,2024-01-01,23 day ahead inc hosp
2024-01-25,06,429.77,point,NA,2024-01-01,24 day ahead inc hosp
2024-01-26,06,429.93,point,NA,2024-01-01,25 day ahead inc hosp
2024-01-27,06,430.23,point,NA,2024-01-01,26 day ahead inc hosp
2024-01-28,06,430.74,point,NA,2024-01-01,27 day ahead inc hosp
2024-01-29,06,431.49,point,NA,2024-01-01,28 day ahead inc hosp
2024-01-30,06,432.53,point,NA,2024-01-01,29 day ahead inc hosp
2024-01-01,08,44.53,point,NA,2024-01-01,0 day ahead inc hosp
2024-01-02,08,43.86,point,NA,2024-01-01,1 day ahead inc hosp
2024-01-03,08,43.18,point,NA,2024-01-01,2 day ahead inc hosp
2024-01-04,08,42.51,point,NA,2024-01-01,3 day ahead inc hosp
2024-01-05,08,41.86,point,NA,2024-01-01,4 day ahead inc hosp
2024-01-06,08,41.24,point,NA,2024-01-01,5 day ahead inc hosp
2024-01-07,08,40.69,point,NA,2024-01-01,6 day ahead inc hosp
2024-01-08,08,40.23,point,NA,2024-01-01,7 day ahead inc hosp
2024-01-09,08,39.86,point,NA,2024-01-01,8 day ahead inc hosp
2024-01-10,08,39.62,point,NA,2024-01-01,9 day ahead inc hosp
2024-01-11,08,39.47,point,NA,2024-01-01,10 day ahead inc hosp
2024-01-12,08,39.4,point,NA,2024-01-01,11 day ahead inc hosp
2024-01-13,08,39.38,point,NA,2024-01-01,12 day ahead inc hosp
2024-01-14,08,39.4,point,NA,2024-01-01,13 day ahead inc hosp
2024-01-15,08,39.42,point,NA,2024-01-01,14 day ahead inc hosp
2024-01-16,08,39.42,point,NA,2024-01-01,15 day ahead inc hosp
2024-01-17,08,39.39,point,NA,2024-01-01,16 day ahead inc hosp
2024-01-18,08,39.33,point,NA,2024-01-01,17 day ahead inc hosp
2024-01-19,08,39.23,point,NA,2024-01-01,18 day ahead inc hosp
2024-01-20,08,39.1,point,NA,2024-01-01,19 day ahead inc hosp
2024-01-21,08,38.96,point,NA,2024-01-01,20 day ahead inc hosp
2024-01-22,08,38.8,point,NA,2024-01-01,21 day ahead inc hosp
2024-01-23,08,38.62,point,NA,2024-01-01,22 day ahead inc hosp
2024-01-24,08,38.44,point,NA,2024-01-01,23 day ahead inc hosp
2024-01-25,08,38.25,point,NA,2024-01-01,24 day ahead inc hosp
2024-01-26,08,38.06,point,NA,2024-01-01,25 day ahead inc hosp
2024-01-27,08,37.87,point,NA,2024-01-01,26 day ahead inc hosp
2024-01-28,08,37.7,point,NA,2024-01-01,27 day ahead inc hosp
2024-01-29,08,37.54,point,NA,2024-01-01,28 day ahead inc hosp
2024-01-30,08,37.39,point,NA,2024-01-01,29 day ahead inc hosp
2024-01-01,09,43.87,point,NA,2024-01-01,0 day ahead inc hosp
2024-01-02,09,43.42,point,NA,2024-01-01,1 day ahead inc hosp
2024-01-03,09,43.01,point,NA,2024-01-01,2 day ahead inc hosp
2024-01-04,09,42.63,point,NA,2024-01-01,3 day ahead inc hosp
2024-01-05,09,42.27,point,NA,2024-01-01,4 day ahead inc hosp
2024-01-06,09,41.92,point,NA,2024-01-01,5 day ahead inc hosp
2024-01-07,09,41.57,point,NA,2024-01-01,6 day ahead inc hosp
2024-01-08,09,41.21,point,NA,2024-01-01,7 day ahead inc hosp
2024-01-09,09,40.84,point,NA,2024-01-01,8 day ahead inc hosp
2024-01-10,09,40.45,point,NA,2024-01-01,9 day ahead inc hosp
2024-01-11,09,40.04,point,NA,2024-01-01,10 day ahead inc hosp
2024-01-12,09,39.63,point,NA,2024-01-01,11 day ahead inc hosp
2024-01-13,09,39.21,point,NA,2024-01-01,12 day ahead inc hosp
2024-01-14,09,38.81,point,NA,2024-01-01,13 day ahead inc hosp
2024-01-15,09,38.43,point,NA,2024-01-01,14 day ahead inc hosp
2024-01-16,09,38.07,point,NA,2024-01-01,15 day ahead inc hosp
2024-01-17,09,37.74,point,NA,2024-01-01,16 day ahead inc hosp
2024-01-18,09,37.44,point,NA,2024-01-01,17 day ahead inc hosp
2024-01-19,09,37.17,point,NA,2024-01-01,18 day ahead inc hosp
2024-01-20,09,36.92,point,NA,2024-01-01,19 day ahead inc hosp
2024-01-21,09,36.68,point,NA,2024-01-01,20 day ahead inc hosp
2024-01-22,09,36.45,point,NA,2024-01-01,21 day ahead inc hosp
2024-01-23,09,36.23,point,NA,2024-01-01,22 day ahead inc hosp
2024-01-24,09,36.01,point,NA,2024-01-01,23 day ahead inc hosp
2024-01-25,09,35.78,point,NA,2024-01-01,24 day ahead inc hosp
2024-01-26,09,35.55,point,NA,2024-01-01,25 day ahead inc hosp
2024-01-27,09,35.3,point,NA,2024-01-01,26 day ahead inc hosp
2024-01-28,09,35.03,point,NA,2024-01-01,27 day ahead inc hosp
2024-01-29,09,34.74,point,NA,2024-01-01,28 day ahead inc hosp
2024-01-30,09,34.42,point,NA,2024-01-01,29 day ahead inc hosp
2024-01-01,10,8.07,point,NA,2024-01-01,0 day ahead inc hosp
2024-01-02,10,8.02,point,NA,2024-01-01,1 day ahead inc hosp
2024-01-03,10,7.96,point,NA,2024-01-01,2 day ahead inc hosp
2024-01-04,10,7.89,point,NA,2024-01-01,3 day ahead inc hosp
2024-01-05,10,7.82,point,NA,2024-01-01,4 day ahead inc hosp
2024-01-06,10,7.76,point,NA,2024-01-01,5 day ahead inc hosp
2024-01-07,10,7.69,point,NA,2024-01-01,6 day ahead inc hosp
2024-01-08,10,7.62,point,NA,2024-01-01,7 day ahead inc hosp
2024-01-09,10,7.55,point,NA,2024-01-01,8 day ahead inc hosp
2024-01-10,10,7.49,point,NA,2024-01-01,9 day ahead inc hosp
2024-01-11,10,7.43,point,NA,2024-01-01,10 day ahead inc hosp
2024-01-12,10,7.38,point,NA,2024-01-01,11 day ahead inc hosp
2024-01-13,10,7.33,point,NA,2024-01-01,12 day ahead inc hosp
