target_end_date,location,value,type,quantile,forecast_date,target
2023-12-18,01,52.73,point,NA,2023-12-18,0 day ahead inc hosp
2023-12-19,01,52.85,point,NA,2023-12-18,1 day ahead inc hosp
2023-12-20,01,52.94,point,NA,2023-12-18,2 day ahead inc hosp
2023-12-21,01,53.0,point,NA,2023-12-18,3 day ahead inc hosp
2023-12-22,01,53.04,point,NA,2023-12-18,4 day ahead inc hosp
2023-12-23,01,53.06,point,NA,2023-12-18,5 day ahead inc hosp
2023-12-24,01,53.07,point,NA,2023-12-18,6 day ahead inc hosp
2023-12-25,01,53.08,point,NA,2023-12-18,7 day ahead inc hosp
2023-12-26,01,53.09,point,NA,2023-12-18,8 day ahead inc hosp
2023-12-27,01,53.11,point,NA,2023-12-18,9 day ahead inc hosp
2023-12-28,01,53.13,point,NA,2023-12-18,10 day ahead inc hosp
2023-12-29,01,53.16,point,NA,2023-12-18,11 day ahead inc hosp
2023-12-30,01,53.2,point,NA,2023-12-18,12 day ahead inc hosp
2023-12-31,01,53.23,point,NA,2023-12-18,13 day ahead inc hosp
2024-01-01,01,53.26,point,NA,2023-12-18,14 day ahead inc hosp
2024-01-02,01,53.29,point,NA,2023-12-18,15 day ahead inc hosp
2024-01-03,01,53.32,point,NA,2023-12-18,16 day ahead inc hosp
2024-01-04,01,53.33,point,NA,2023-12-18,17 day ahead inc hosp
2024-01-05,01,53.34,point,NA,2023-12-18,18 day ahead inc hosp
2024-01-06,01,53.33,point,NA,2023-12-18,19 day ahead inc hosp
2024-01-07,01,53.31,point,NA,2023-12-18,20 day ahead inc hosp
2024-01-08,01,53.27,point,NA,2023-12-18,21 day ahead inc hosp
2024-01-09,01,53.21,point,NA,2023-12-18,22 day ahead inc hosp
2024-01-10,01,53.13,point,NA,2023-12-18,23 day ahead inc hosp
2024-01-11,01,53.03,point,NA,2023-12-18,24 day ahead inc hosp
2024-01-12,01,52.92,point,NA,2023-12-18,25 day ahead inc hosp
2024-01-13,01,52.8,point,NA,2023-12-18,26 day ahead inc hosp
2024-01-14,01,52.67,point,NA,2023-12-18,27 day ahead inc hosp
2024-01-15,01,52.54,point,NA,2023-12-18,28 day ahead inc hosp
2024-01-16,01,52.41,point,NA,2023-12-18,29 day ahead inc hosp
2024-01-17,01,52.3,point,NA,2023-12-18,30 day ahead inc hosp
2024-01-18,01,52.19,point,NA,2023-12-18,31 day ahead inc hosp
2024-01-19,01,52.1,point,NA,2023-12-18,32 day ahead inc hosp
2024-01-20,01,52.04,point,NA,2023-12-18,33 day ahead inc hosp
2024-01-21,01,52.0,point,NA,2023-12-18,34 day ahead inc hosp
2024-01-22,01,51.98,point,NA,2023-12-18,35 day ahead inc hosp
2024-01-23,01,52.01,point,NA,2023-12-18,36 day ahead inc hosp
2023-12-18,02,2.5,point,NA,2023-12-18,0 day ahead inc hosp
2023-12-19,02,2.48,point,NA,2023-12-18,1 day ahead inc hosp
2023-12-20,02,2.46,point,NA,2023-12-18,2 day ahead inc hosp
2023-12-21,02,2.43,point,NA,2023-12-18,3 day ahead inc hosp
2023-12-22,02,2.41,point,NA,2023-12-18,4 day ahead inc hosp
2023-12-23,02,2.38,point,NA,2023-12-18,5 day ahead inc hosp
2023-12-24,02,2.36,point,NA,2023-12-18,6 day ahead inc hosp
2023-12-25,02,2.33,point,NA,2023-12-18,7 day ahead inc hosp
2023-12-26,02,2.31,point,NA,2023-12-18,8 day ahead inc hosp
2023-12-27,02,2.3,point,NA,2023-12-18,9 day ahead inc hosp
2023-12-28,02,2.28,point,NA,2023-12-18,10 day ahead inc hosp
2023-12-29,02,2.27,point,NA,2023-12-18,11 day ahead inc hosp
2023-12-30,02,2.26,point,NA,2023-12-18,12 day ahead inc hosp
2023-12-31,02,2.25,point,NA,2023-12-18,13 day ahead inc hosp
2024-01-01,02,2.24,point,NA,2023-12-18,14 day ahead inc hosp
2024-01-02,02,2.23,point,NA,2023-12-18,15 day ahead inc hosp
2024-01-03,02,2.22,point,NA,2023-12-18,16 day ahead inc hosp
2024-01-04,02,2.21,point,NA,2023-12-18,17 day ahead inc hosp
2024-01-05,02,2.2,point,NA,2023-12-18,18 day ahead inc hosp
2024-01-06,02,2.19,point,NA,2023-12-18,19 day ahead inc hosp
2024-01-07,02,2.18,point,NA,2023-12-18,20 day ahead inc hosp
2024-01-08,02,2.17,point,NA,2023-12-18,21 day ahead inc hosp
2024-01-09,02,2.15,point,NA,2023-12-18,22 day ahead inc hosp
2024-01-10,02,2.14,point,NA,2023-12-18,23 day ahead inc hosp
2024-01-11,02,2.13,point,NA,2023-12-18,24 day ahead inc hosp
2024-01-12,02,2.11,point,NA,2023-12-18,25 day ahead inc hosp
2024-01-13,02,2.1,point,NA,2023-12-18,26 day ahead inc hosp
2024-01-14,02,2.08,point,NA,2023-12-18,27 day ahead inc hosp
2024-01-15,02,2.07,point,NA,2023-12-18,28 day ahead inc hosp
2024-01-16,02,2.06,point,NA,2023-12-18,29 day ahead inc hosp
2024-01-17,02,2.05,point,NA,2023-12-18,30 day ahead inc hosp
2024-01-18,02,2.04,point,NA,2023-12-18,31 day ahead inc hosp
2024-01-19,02,2.03,point,NA,2023-12-18,32 day ahead inc hosp
2024-01-20,02,2.02,point,NA,2023-12-18,33 day ahead inc hosp
2024-01-21,02,2.01,point,NA,2023-12-18,34 day ahead inc hosp
2024-01-22,02,2.01,point,NA,2023-12-18,35 day ahead inc hosp
2024-01-23,02,2.01,point,NA,2023-12-18,36 day ahead inc hosp
2023-12-18,04,58.17,point,NA,2023-12-18,0 day ahead inc hosp
2023-12-19,04,57.72,point,NA,2023-12-18,1 day ahead inc hosp
2023-12-20,04,57.26,point,NA,2023-12-18,2 day ahead inc hosp
2023-12-21,04,56.81,point,NA,2023-12-18,3 day ahead inc hosp
2023-12-22,04,56.37,point,NA,2023-12-18,4 day ahead inc hosp
2023-12-23,04,55.95,point,NA,2023-12-18,5 day ahead inc hosp
2023-12-24,04,55.55,point,NA,2023-12-18,6 day ahead inc hosp
2023-12-25,04,55.18,point,NA,2023-12-18,7 day ahead inc hosp
2023-12-26,04,54.84,point,NA,2023-12-18,8 day ahead inc hosp
2023-12-27,04,54.55,point,NA,2023-12-18,9 day ahead inc hosp
2023-12-28,04,54.28,point,NA,2023-12-18,10 day ahead inc hosp
2023-12-29,04,54.04,point,NA,2023-12-18,11 day ahead inc hosp
2023-12-30,04,53.81,point,NA,2023-12-18,12 day ahead inc hosp
2023-12-31,04,53.57,point,NA,2023-12-18,13 day ahead inc hosp
2024-01-01,04,53.33,point,NA,2023-12-18,14 day ahead inc hosp
2024-01-02,04,53.06,point,NA,2023-12-18,15 day ahead inc hosp
2024-01-03,04,52.76,point,NA,2023-12-18,16 day ahead inc hosp
2024-01-04,04,52.43,point,NA,2023-12-18,17 day ahead inc hosp
2024-01-05,04,52.08,point,NA,2023-12-18,18 day ahead inc hosp
2024-01-06,04,51.71,point,NA,2023-12-18,19 day ahead inc hosp
2024-01-07,04,51.34,point,NA,2023-12-18,20 day ahead inc hosp
2024-01-08,04,50.96,point,NA,2023-12-18,21 day ahead inc hosp
2024-01-09,04,50.59,point,NA,2023-12-18,22 day ahead inc hosp
2024-01-10,04,50.22,point,NA,2023-12-18,23 day ahead inc hosp
2024-01-11,04,49.86,point,NA,2023-12-18,24 day ahead inc hosp
2024-01-12,04,49.51,point,NA,2023-12-18,25 day ahead inc hosp
2024-01-13,04,49.17,point,NA,2023-12-18,26 day ahead inc hosp
2024-01-14,04,48.85,point,NA,2023-12-18,27 day ahead inc hosp
2024-01-15,04,48.53,point,NA,2023-12-18,28 day ahead inc hosp
2024-01-16,04,48.22,point,NA,2023-12-18,29 day ahead inc hosp
2024-01-17,04,47.93,point,NA,2023-12-18,30 day ahead inc hosp
2024-01-18,04,47.65,point,NA,2023-12-18,31 day ahead inc hosp
2024-01-19,04,47.38,point,NA,2023-12-18,32 day ahead inc hosp
2024-01-20,04,47.12,point,NA,2023-12-18,33 day ahead inc hosp
2024-01-21,04,46.88,point,NA,2023-12-18,34 day ahead inc hosp
2024-01-22,04,46.65,point,NA,2023-12-18,35 day ahead inc hosp
2024-01-23,04,46.43,point,NA,2023-12-18,36 day ahead inc hosp
2023-12-18,05,39.66,point,NA,2023-12-18,0 day ahead inc hosp
2023-12-19,05,39.65,point,NA,2023-12-18,1 day ahead inc hosp
2023-12-20,05,39.61,point,NA,2023-12-18,2 day ahead inc hosp
2023-12-21,05,39.54,point,NA,2023-12-18,3 day ahead inc hosp
2023-12-22,05,39.45,point,NA,2023-12-18,4 day ahead inc hosp
2023-12-23,05,39.36,point,NA,2023-12-18,5 day ahead inc hosp
2023-12-24,05,39.26,point,NA,2023-12-18,6 day ahead inc hosp
2023-12-25,05,39.17,point,NA,2023-12-18,7 day ahead inc hosp
2023-12-26,05,39.08,point,NA,2023-12-18,8 day ahead inc hosp
2023-12-27,05,39.02,point,NA,2023-12-18,9 day ahead inc hosp
2023-12-28,05,38.98,point,NA,2023-12-18,10 day ahead inc hosp
2023-12-29,05,38.95,point,NA,2023-12-18,11 day ahead inc hosp
2023-12-30,05,38.93,point,NA,2023-12-18,12 day ahead inc hosp
2023-12-31,05,38.93,point,NA,2023-12-18,13 day ahead inc hosp
2024-01-01,05,38.93,point,NA,2023-12-18,14 day ahead inc hosp
2024-01-02,05,38.94,point,NA,2023-12-18,15 day ahead inc hosp
2024-01-03,05,38.96,point,NA,2023-12-18,16 day ahead inc hosp
2024-01-04,05,38.98,point,NA,2023-12-18,17 day ahead inc hosp
2024-01-05,05,39.0,point,NA,2023-12-18,18 day ahead inc hosp
2024-01-06,05,39.0,point,NA,2023-12-18,19 day ahead inc hosp
2024-01-07,05,39.0,point,NA,2023-12-18,20 day ahead inc hosp
2024-01-08,05,38.98,point,NA,2023-12-18,21 day ahead inc hosp
2024-01-09,05,38.93,point,NA,2023-12-18,22 day ahead inc hosp
2024-01-10,05,38.87,point,NA,2023-12-18,23 day ahead inc hosp
2024-01-11,05,38.78,point,NA,2023-12-18,24 day ahead inc hosp
2024-01-12,05,38.68,point,NA,2023-12-18,25 day ahead inc hosp
2024-01-13,05,38.57,point,NA,2023-12-18,26 day ahead inc hosp
2024-01-14,05,38.46,point,NA,2023-12-18,27 day ahead inc hosp
2024-01-15,05,38.36,point,NA,2023-12-18,28 day ahead inc hosp
2024-01-16,05,38.26,point,NA,2023-12-18,29 day ahead inc hosp
2024-01-17,05,38.18,point,NA,2023-12-18,30 day ahead inc hosp
2024-01-18,05,38.12,point,NA,2023-12-18,31 day ahead inc hosp
2024-01-19,05,38.09,point,NA,2023-12-18,32 day ahead inc hosp
2024-01-20,05,38.09,point,NA,2023-12-18,33 day ahead inc hosp
2024-01-21,05,38.14,point,NA,2023-12-18,34 day ahead inc hosp
2024-01-22,05,38.23,point,NA,2023-12-18,35 day ahead inc hosp
2024-01-23,05,38.37,point,NA,2023-12-18,36 day ahead inc hosp
2023-12-18,06,356.73,point,NA,2023-12-18,0 day ahead inc hosp
2023-12-19,06,355.65,point,NA,2023-12-18,1 day ahead inc hosp
2023-12-20,06,354.25,point,NA,2023-12-18,2 day ahead inc hosp
2023-12-21,06,352.62,point,NA,2023-12-18,3 day ahead inc hosp
2023-12-22,06,350.87,point,NA,2023-12-18,4 day ahead inc hosp
2023-12-23,06,349.12,point,NA,2023-12-18,5 day ahead inc hosp
2023-12-24,06,347.48,point,NA,2023-12-18,6 day ahead inc hosp
2023-12-25,06,346.08,point,NA,2023-12-18,7 day ahead inc hosp
2023-12-26,06,345.03,point,NA,2023-12-18,8 day ahead inc hosp
2023-12-27,06,344.41,point,NA,2023-12-18,9 day ahead inc hosp
2023-12-28,06,344.2,point,NA,2023-12-18,10 day ahead inc hosp
2023-12-29,06,344.33,point,NA,2023-12-18,11 day ahead inc hosp
2023-12-30,06,344.76,point,NA,2023-12-18,12 day ahead inc hosp
2023-12-31,06,345.41,point,NA,2023-12-18,13 day ahead inc hosp
2024-01-01,06,346.23,point,NA,2023-12-18,14 day ahead inc hosp
2024-01-02,06,347.17,point,NA,2023-12-18,15 day ahead inc hosp
2024-01-03,06,348.17,point,NA,2023-12-18,16 day ahead inc hosp
2024-01-04,06,349.18,point,NA,2023-12-18,17 day ahead inc hosp
2024-01-05,06,350.15,point,NA,2023-12-18,18 day ahead inc hosp
2024-01-06,06,351.04,point,NA,2023-12-18,19 day ahead inc hosp
2024-01-07,06,351.8,point,NA,2023-12-18,20 day ahead inc hosp
2024-01-08,06,352.39,point,NA,2023-12-18,21 day ahead inc hosp
2024-01-09,06,352.75,point,NA,2023-12-18,22 day ahead inc hosp
2024-01-10,06,352.86,point,NA,2023-12-18,23 day ahead inc hosp
2024-01-11,06,352.77,point,NA,2023-12-18,24 day ahead inc hosp
2024-01-12,06,352.51,point,NA,2023-12-18,25 day ahead inc hosp
2024-01-13,06,352.14,point,NA,2023-12-18,26 day ahead inc hosp
2024-01-14,06,351.73,point,NA,2023-12-18,27 day ahead inc hosp
2024-01-15,06,351.31,point,NA,2023-12-18,28 day ahead inc hosp
2024-01-16,06,350.96,point,NA,2023-12-18,29 day ahead inc hosp
