target_end_date,location,value,type,quantile,forecast_date,target
2024-01-15,01,72.89,point,NA,2024-01-15,0 day ahead inc hosp
2024-01-16,01,72.38,point,NA,2024-01-15,1 day ahead inc hosp
2024-01-17,01,71.85,point,NA,2024-01-15,2 day ahead inc hosp
2024-01-18,01,71.31,point,NA,2024-01-15,3 day ahead inc hosp
2024-01-19,01,70.76,point,NA,2024-01-15,4 day ahead inc hosp
2024-01-20,01,70.22,point,NA,2024-01-15,5 day ahead inc hosp
2024-01-21,01,69.69,point,NA,2024-01-15,6 day ahead inc hosp
2024-01-22,01,69.19,point,NA,2024-01-15,7 day ahead inc hosp
2024-01-23,01,68.71,point,NA,2024-01-15,8 day ahead inc hosp
2024-01-24,01,68.26,point,NA,2024-01-15,9 day ahead inc hosp
2024-01-25,01,67.84,point,NA,2024-01-15,10 day ahead inc hosp
2024-01-26,01,67.42,point,NA,2024-01-15,11 day ahead inc hosp
2024-01-27,01,67.0,point,NA,2024-01-15,12 day ahead inc hosp
2024-01-28,01,66.55,point,NA,2024-01-15,13 day ahead inc hosp
2024-01-29,01,66.07,point,NA,2024-01-15,14 day ahead inc hosp
2024-01-30,01,65.53,point,NA,2024-01-15,15 day ahead inc hosp
2024-01-31,01,64.92,point,NA,2024-01-15,16 day ahead inc hosp
2024-02-01,01,64.27,point,NA,2024-01-15,17 day ahead inc hosp
2024-02-02,01,63.6,point,NA,2024-01-15,18 day ahead inc hosp
2024-02-03,01,62.93,point,NA,2024-01-15,19 day ahead inc hosp
2024-02-04,01,62.28,point,NA,2024-01-15,20 day ahead inc hosp
2024-02-05,01,61.68,point,NA,2024-01-15,21 day ahead inc hosp
2024-02-06,01,61.15,point,NA,2024-01-15,22 day ahead inc hosp
2024-02-07,01,60.71,point,NA,2024-01-15,23 day ahead inc hosp
2024-02-08,01,60.35,point,NA,2024-01-15,24 day ahead inc hosp
2024-02-09,01,60.04,point,NA,2024-01-15,25 day ahead inc hosp
2024-02-10,01,59.78,point,NA,2024-01-15,26 day ahead inc hosp
2024-02-11,01,59.55,point,NA,2024-01-15,27 day ahead inc hosp
2024-02-12,01,59.34,point,NA,2024-01-15,28 day ahead inc hosp
2024-02-13,01,59.12,point,NA,2024-01-15,29 day ahead inc hosp
2024-02-14,01,58.88,point,NA,2024-01-15,30 day ahead inc hosp
2024-02-15,01,58.61,point,NA,2024-01-15,31 day ahead inc hosp
2024-02-16,01,58.29,point,NA,2024-01-15,32 day ahead inc hosp
2024-02-17,01,57.89,point,NA,2024-01-15,33 day ahead inc hosp
2024-02-18,01,57.42,point,NA,2024-01-15,34 day ahead inc hosp
2024-02-19,01,56.84,point,NA,2024-01-15,35 day ahead inc hosp
2024-02-20,01,56.15,point,NA,2024-01-15,36 day ahead inc hosp
2024-01-15,02,3.84,point,NA,2024-01-15,0 day ahead inc hosp
2024-01-16,02,3.82,point,NA,2024-01-15,1 day ahead inc hosp
2024-01-17,02,3.79,point,NA,2024-01-15,2 day ahead inc hosp
2024-01-18,02,3.77,point,NA,2024-01-15,3 day ahead inc hosp
2024-01-19,02,3.74,point,NA,2024-01-15,4 day ahead inc hosp
2024-01-20,02,3.71,point,NA,2024-01-15,5 day ahead inc hosp
2024-01-21,02,3.68,point,NA,2024-01-15,6 day ahead inc hosp
2024-01-22,02,3.65,point,NA,2024-01-15,7 day ahead inc hosp
2024-01-23,02,3.61,point,NA,2024-01-15,8 day ahead inc hosp
2024-01-24,02,3.58,point,NA,2024-01-15,9 day ahead inc hosp
2024-01-25,02,3.56,point,NA,2024-01-15,10 day ahead inc hosp
