Covid19Sim-Simulator,CU-select,Google_Harvard-CPF,GT-DeepCOVID,IHME-CurveFit,JHU_IDD-CovidSP,JHUAPL-Bucky,JHUAPL-Gecko,Karlen-pypm,LANL-GrowthRate,MOBS-GLEAM_COVID,USC-SI_kJalpha,locations
0,0,0,0,0,1,1,1,0,1,0,1,78
0,1,0,0,1,0,1,1,0,0,1,1,12
0,1,0,0,1,0,1,1,1,1,1,1,39
0,1,0,1,0,0,1,1,0,0,1,1,51
0,1,0,1,0,0,1,1,0,0,1,1,US
0,1,0,1,0,0,1,1,1,1,1,1,54
0,1,0,1,1,0,1,1,1,1,1,1,21
0,1,0,1,1,0,1,1,1,1,1,1,30
0,1,0,1,1,0,1,1,1,1,1,1,49
0,1,1,1,0,0,1,1,1,1,1,1,29
0,1,1,1,0,1,1,1,1,1,1,1,24
1,0,0,0,0,1,1,0,1,1,0,1,72
1,1,0,1,0,0,1,1,1,0,1,1,01
1,1,0,1,0,0,1,1,1,1,1,1,04
1,1,0,1,0,0,1,1,1,1,1,1,05
1,1,0,1,0,0,1,1,1,1,1,1,06
1,1,0,1,0,0,1,1,1,1,1,1,17
1,1,0,1,0,0,1,1,1,1,1,1,28
1,1,0,1,0,0,1,1,1,1,1,1,37
1,1,0,1,0,0,1,1,1,1,1,1,42
1,1,0,1,0,0,1,1,1,1,1,1,48
1,1,0,1,1,0,1,1,1,1,1,1,13
1,1,0,1,1,0,1,1,1,1,1,1,36
1,1,1,0,1,1,1,1,1,1,1,1,15
1,1,1,1,0,0,1,1,1,1,1,1,20
1,1,1,1,0,1,1,1,1,1,0,1,11
1,1,1,1,0,1,1,1,1,1,1,1,10
1,1,1,1,0,1,1,1,1,1,1,1,40
1,1,1,1,1,0,1,1,1,1,1,1,32
1,1,1,1,1,0,1,1,1,1,1,1,45
1,1,1,1,1,1,1,1,1,1,1,1,02
1,1,1,1,1,1,1,1,1,1,1,1,08
1,1,1,1,1,1,1,1,1,1,1,1,09
1,1,1,1,1,1,1,1,1,1,1,1,16
1,1,1,1,1,1,1,1,1,1,1,1,18
1,1,1,1,1,1,1,1,1,1,1,1,19
1,1,1,1,1,1,1,1,1,1,1,1,22
1,1,1,1,1,1,1,1,1,1,1,1,23
1,1,1,1,1,1,1,1,1,1,1,1,25
1,1,1,1,1,1,1,1,1,1,1,1,26
1,1,1,1,1,1,1,1,1,1,1,1,27
1,1,1,1,1,1,1,1,1,1,1,1,31
1,1,1,1,1,1,1,1,1,1,1,1,33
1,1,1,1,1,1,1,1,1,1,1,1,34
1,1,1,1,1,1,1,1,1,1,1,1,35
1,1,1,1,1,1,1,1,1,1,1,1,38
1,1,1,1,1,1,1,1,1,1,1,1,41
1,1,1,1,1,1,1,1,1,1,1,1,44
1,1,1,1,1,1,1,1,1,1,1,1,46
1,1,1,1,1,1,1,1,1,1,1,1,47
1,1,1,1,1,1,1,1,1,1,1,1,50
1,1,1,1,1,1,1,1,1,1,1,1,53
1,1,1,1,1,1,1,1,1,1,1,1,55
1,1,1,1,1,1,1,1,1,1,1,1,56
