"state","select","DeepCOVID","GrowthRate","DELPHI","GLEAM_COVID","FRED","CovidIL_100","SuEIR","MechBayes","Mobility","ParamSearch"
"AL",1,0,1,1,1,0,0,1,1,0,1
"AK",1,0,1,0,1,0,0,1,0,0,1
"AZ",1,0,1,1,1,0,0,1,1,0,1
"AR",1,1,1,1,1,0,0,1,1,0,1
"CA",1,1,1,1,1,0,0,1,1,0,1
"IL",1,1,1,1,1,0,1,1,1,0,1
"IN",1,0,1,1,1,0,0,1,1,0,1
"IA",1,1,1,1,1,0,0,1,1,0,1
"KS",1,0,1,1,1,0,0,1,1,0,1
"KY",1,1,1,1,1,0,0,1,1,0,1
"LA",1,0,1,0,1,0,0,1,1,0,1
"ME",1,0,1,1,1,0,0,1,1,0,1
"NE",1,0,1,1,1,0,0,1,1,0,1
"NV",1,0,1,1,1,0,0,1,1,0,1
"NH",1,0,1,1,1,0,0,1,1,0,1
"NJ",1,0,1,1,1,0,0,1,1,0,1
"NM",1,1,1,1,1,0,0,1,1,0,1
"NY",1,0,1,1,1,0,0,1,1,0,1
"NC",1,0,1,1,1,0,0,1,1,0,1
"CO",1,0,1,1,1,0,0,1,1,0,1
"CT",1,0,1,1,1,0,0,1,1,0,1
"DE",1,1,1,1,1,0,0,1,1,0,1
"FL",1,1,1,1,1,0,0,1,1,0,1
"GA",1,1,1,1,1,0,0,1,1,0,1
"HI",0,0,1,1,1,0,0,1,1,0,1
"ID",0,1,1,1,1,0,0,1,1,0,1
"MD",1,1,1,1,1,0,0,1,1,0,1
"MA",1,1,1,1,1,0,0,1,1,0,1
"MI",1,1,1,1,1,0,0,1,1,0,1
"MN",1,0,1,1,1,0,0,1,1,0,1
"MS",1,0,1,1,1,0,0,1,1,0,1
"MO",1,1,1,1,1,0,0,1,1,0,1
"MT",1,0,1,0,1,0,0,1,1,0,1
"ND",0,0,1,1,1,0,0,1,1,0,1
"OH",1,0,1,1,1,0,0,1,1,0,1
"OK",1,1,1,1,1,0,0,1,1,0,1
"OR",1,0,1,1,1,0,0,1,1,0,1
"PA",1,1,1,1,1,0,0,1,1,0,1
"RI",1,1,1,1,1,0,0,1,1,0,1
"SC",1,0,1,1,1,0,0,1,1,0,1
"SD",1,0,1,0,1,0,0,1,1,0,1
"TN",1,1,1,1,1,0,0,1,1,0,1
"TX",1,1,1,1,1,0,0,1,1,0,1
"UT",1,0,1,1,1,0,0,1,1,0,1
"VT",1,0,1,1,1,0,0,1,1,0,1
"VA",1,1,1,1,1,0,0,1,1,0,1
"WA",1,0,1,1,1,0,0,1,1,0,1
"WV",0,0,1,1,1,0,0,1,1,0,1
"WI",1,0,1,1,1,0,0,1,1,0,1
"WY",0,0,1,1,1,0,0,1,0,0,1
"DC",0,1,1,1,0,0,0,1,1,0,1
"PR",0,0,1,0,0,0,0,0,0,0,1
"VI",0,0,1,0,0,0,0,0,0,0,1
"GU",0,0,0,0,0,0,0,0,0,0,1
"MP",0,0,0,0,0,0,0,0,0,0,1
