location,model,missingness_eligibility,q10_eligibility,nondecreasing_quantiles_eligibility,baseline_eligibility,overall_eligibility
01,Columbia_UNC-SurvCon,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
01,Covid19Sim-Simulator,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
01,CovidAnalytics-DELPHI,eligible,eligible,eligible,"NA",eligible
01,COVIDhub-baseline,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
01,CU-select,eligible,eligible,eligible,"NA",eligible
01,DDS-NBDS,eligible,eligible,eligible,"NA",eligible
01,epiforecasts-ensemble1,eligible,eligible,eligible,"NA",eligible
01,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
01,GT-DeepCOVID,eligible,eligible,eligible,"NA",eligible
01,IHME-CurveFit,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
01,IowaStateLW-STEM,eligible,eligible,eligible,"NA",eligible
01,JHU_IDD-CovidSP,eligible,eligible,eligible,"NA",eligible
01,Karlen-pypm,eligible,eligible,eligible,"NA",eligible
01,LANL-GrowthRate,eligible,eligible,eligible,"NA",eligible
01,MITCovAlliance-SIR,eligible,eligible,eligible,"NA",eligible
01,MOBS-GLEAM_COVID,eligible,eligible,eligible,"NA",eligible
01,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
01,NotreDame-mobility,eligible,eligible,eligible,"NA",eligible
01,OliverWyman-Navigator,eligible,eligible,eligible,"NA",eligible
01,PSI-DRAFT,eligible,eligible,eligible,"NA",eligible
01,QJHong-Encounter,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
01,RobertWalraven-ESG,eligible,eligible,decreasing quantiles over time,"NA",ineligible
01,UA-EpiCovDA,eligible,eligible,eligible,"NA",eligible
01,UCLA-SuEIR,eligible,eligible,eligible,"NA",eligible
01,UMass-MechBayes,eligible,eligible,eligible,"NA",eligible
01,UMich-RidgeTfReg,eligible,eligible,decreasing quantiles over time,"NA",ineligible
01,USACE-ERDC_SEIR,eligible,eligible,eligible,"NA",eligible
01,UT-Mobility,eligible,eligible,eligible,"NA",eligible
01,YYG-ParamSearch,eligible,eligible,eligible,"NA",eligible
02,Columbia_UNC-SurvCon,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
02,Covid19Sim-Simulator,eligible,eligible,eligible,"NA",eligible
02,CovidAnalytics-DELPHI,eligible,eligible,eligible,"NA",eligible
02,COVIDhub-baseline,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
02,CU-select,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
02,DDS-NBDS,eligible,eligible,eligible,"NA",eligible
02,epiforecasts-ensemble1,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
02,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
02,GT-DeepCOVID,eligible,eligible,eligible,"NA",eligible
02,IHME-CurveFit,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
02,IowaStateLW-STEM,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
02,JHU_IDD-CovidSP,eligible,eligible,eligible,"NA",eligible
02,Karlen-pypm,eligible,eligible,eligible,"NA",eligible
02,LANL-GrowthRate,eligible,eligible,eligible,"NA",eligible
02,MITCovAlliance-SIR,eligible,eligible,eligible,"NA",eligible
02,MOBS-GLEAM_COVID,eligible,eligible,eligible,"NA",eligible
02,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
02,NotreDame-mobility,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
