"state","80contact_1x","80contact","80contactw","DeepCOVID","ensemble1","ensemble2","GrowthRate","DELPHI","GLEAM_COVID","FRED","SuEIR","MechBayes","Mobility","ParamSearch"
"AL",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"AK",1,1,1,0,0,0,1,0,1,0,0,0,0,1
"AZ",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"AR",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"CA",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"IL",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"IN",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"IA",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"KS",0,0,0,0,0,0,1,1,1,0,1,1,1,1
"KY",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"LA",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"ME",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"NE",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"NV",1,1,1,0,0,0,1,1,1,0,1,0,1,1
"NH",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"NJ",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"NM",0,0,0,0,0,0,1,1,1,0,1,1,1,1
"NY",1,1,1,0,0,0,1,0,1,0,0,0,0,1
"NC",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"CO",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"CT",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"DE",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"FL",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"GA",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"HI",0,0,0,0,0,0,1,0,1,0,1,0,1,1
"ID",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"MD",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"MA",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"MI",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"MN",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"MS",0,0,0,0,0,0,1,1,1,0,1,1,1,1
"MO",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"MT",1,1,1,0,0,0,1,0,1,0,1,0,1,1
"ND",0,0,0,0,0,0,1,1,1,0,1,1,1,1
"OH",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"OK",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"OR",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"PA",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"RI",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"SC",1,1,1,0,0,0,1,0,1,0,1,1,1,1
"SD",1,1,1,0,0,0,1,0,1,0,1,1,1,1
"TN",1,1,1,0,0,0,1,1,1,0,1,0,1,1
"TX",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"UT",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"VT",0,0,0,0,0,0,1,1,1,0,1,0,1,1
"VA",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"WA",1,1,1,0,0,0,1,1,1,0,1,0,1,1
"WV",1,1,1,0,0,0,1,1,1,0,1,1,1,1
"WI",1,1,1,0,0,0,1,1,1,0,1,0,1,1
"WY",0,0,0,0,0,0,1,0,1,0,1,1,0,1
"DC",0,0,0,0,0,0,1,1,0,0,1,1,1,1
"PR",0,0,0,0,0,0,1,0,0,0,0,0,0,1
"VI",0,0,0,0,0,0,1,0,0,0,0,0,0,1
"GU",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"MP",0,0,0,0,0,0,0,0,0,0,0,0,0,1
