location_name,location,YYG-ParamSearch,LANL-GrowthRate,UMass-MechBayes,CovidAnalytics-DELPHI,UCLA-SuEIR,UT-Mobility,IowaStateLW-STEM10,GT-DeepCOVID,MOBS-GLEAM_COVID,Auquan-SEIR,JHU_IDD-CovidSP,UChicago-CovidIL_10_increase
MD,24,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0,0
MA,25,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0,0
MI,26,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0,0
MN,27,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0,0
MS,28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0
MO,29,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0,0
MT,30,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
NE,31,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0
NV,32,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0,0
NH,33,0.125,0.125,0.125,0,0.125,0.125,0.125,0,0.125,0.125,0,0
NJ,34,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0,0
NM,35,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0,0
NY,36,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0,0
NC,37,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0
ND,38,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0,0
OH,39,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0,0
OK,40,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0
OR,41,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0,0
PA,42,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0
RI,44,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0,0
SC,45,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0,0
SD,46,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0
TN,47,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0
TX,48,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0
UT,49,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0
VT,50,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0,0
VA,51,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0,0
WA,53,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0
WV,54,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0.125,0.125,0,0
WI,55,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0,0
WY,56,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0
GU,66,1,0,0,0,0,0,0,0,0,0,0,0
MP,69,1,0,0,0,0,0,0,0,0,0,0,0
PR,72,0.5,0.5,0,0,0,0,0,0,0,0,0,0
VI,78,0.5,0.5,0,0,0,0,0,0,0,0,0,0
US,US,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0,0
