"fips","state","X80contact_1x","DeepCOVID","ensemble1","ensemble2","GrowthRate","DELPHI","GLEAM_COVID","FRED","SuEIR","MechBayes","Mobility","ParamSearch","sum","n_models"
"01","AL",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"02","AK",0.25,0,0,0,0.25,0,0.25,0,0,0,0,0.25,1,4
"04","AZ",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"05","AR",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"06","CA",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"17","IL",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"18","IN",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"19","IA",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"20","KS",0,0,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,1,7
"21","KY",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"22","LA",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"23","ME",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"31","NE",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"32","NV",0.142857142857143,0,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0,0.142857142857143,0,0.142857142857143,0.142857142857143,1,7
"33","NH",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"34","NJ",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"35","NM",0,0,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,1,7
"36","NY",0.25,0,0,0,0.25,0,0.25,0,0,0,0,0.25,1,4
"37","NC",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"08","CO",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"09","CT",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"10","DE",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"12","FL",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"13","GA",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"15","HI",0,0,0,0,0.2,0,0.2,0,0.2,0,0.2,0.2,1,5
"16","ID",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"24","MD",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"25","MA",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"26","MI",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"27","MN",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"28","MS",0,0,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,1,7
"29","MO",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"30","MT",0.166666666666667,0,0,0,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0.166666666666667,1,6
"38","ND",0,0,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,1,7
"39","OH",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"40","OK",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"41","OR",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"42","PA",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"44","RI",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"45","SC",0.142857142857143,0,0,0,0.142857142857143,0,0.142857142857143,0,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,1,7
"46","SD",0.166666666666667,0,0,0,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0.166666666666667,0,0.166666666666667,1,6
"47","TN",0.142857142857143,0,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0,0.142857142857143,0,0.142857142857143,0.142857142857143,1,7
"48","TX",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"49","UT",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"50","VT",0,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0.166666666666667,1,6
"51","VA",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"53","WA",0.142857142857143,0,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0,0.142857142857143,0,0.142857142857143,0.142857142857143,1,7
"54","WV",0.125,0,0,0,0.125,0.125,0.125,0,0.125,0.125,0.125,0.125,1,8
"55","WI",0.142857142857143,0,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0,0.142857142857143,0,0.142857142857143,0.142857142857143,1,7
"56","WY",0,0,0,0,0.2,0,0.2,0,0.2,0.2,0,0.2,1,5
"11","DC",0,0,0,0,0.166666666666667,0.166666666666667,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,1,6
"72","PR",0,0,0,0,0.5,0,0,0,0,0,0,0.5,1,2
"78","VI",0,0,0,0,0.5,0,0,0,0,0,0,0.5,1,2
