location,location_name,model_abbreviation,eligibility
01,AL,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
02,AK,Auquan-SEIR,eligible
04,AZ,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
05,AR,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
06,CA,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
08,CO,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
09,CT,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
10,DE,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
11,DC,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
12,FL,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
13,GA,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
15,HI,Auquan-SEIR,eligible
16,ID,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
17,IL,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
18,IN,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
19,IA,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
20,KS,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
21,KY,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
22,LA,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
23,ME,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
24,MD,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
25,MA,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
26,MI,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
27,MN,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
28,MS,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
29,MO,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
30,MT,Auquan-SEIR,eligible
31,NE,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
32,NV,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
33,NH,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
34,NJ,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
35,NM,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
36,NY,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
37,NC,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
38,ND,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
39,OH,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
40,OK,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
41,OR,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
42,PA,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
44,RI,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
45,SC,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
46,SD,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
47,TN,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
48,TX,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
49,UT,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
50,VT,Auquan-SEIR,eligible
51,VA,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
53,WA,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
54,WV,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
55,WI,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
56,WY,Auquan-SEIR,quantile 0.1 of forecast for horizon 1 is less than most recent observed
66,GU,Auquan-SEIR,missing required forecasts
69,MP,Auquan-SEIR,missing required forecasts
72,PR,Auquan-SEIR,missing required forecasts
78,VI,Auquan-SEIR,missing required forecasts
US,US,Auquan-SEIR,missing required forecasts
01,AL,CovidAnalytics-DELPHI,eligible
02,AK,CovidAnalytics-DELPHI,quantile 0.1 of forecast for horizon 1 is less than most recent observed
04,AZ,CovidAnalytics-DELPHI,eligible
05,AR,CovidAnalytics-DELPHI,eligible
06,CA,CovidAnalytics-DELPHI,eligible
08,CO,CovidAnalytics-DELPHI,eligible
09,CT,CovidAnalytics-DELPHI,eligible
10,DE,CovidAnalytics-DELPHI,eligible
11,DC,CovidAnalytics-DELPHI,eligible
12,FL,CovidAnalytics-DELPHI,eligible
13,GA,CovidAnalytics-DELPHI,eligible
15,HI,CovidAnalytics-DELPHI,eligible
16,ID,CovidAnalytics-DELPHI,eligible
17,IL,CovidAnalytics-DELPHI,eligible
18,IN,CovidAnalytics-DELPHI,eligible
19,IA,CovidAnalytics-DELPHI,eligible
20,KS,CovidAnalytics-DELPHI,quantile 0.1 of forecast for horizon 1 is less than most recent observed
21,KY,CovidAnalytics-DELPHI,eligible
22,LA,CovidAnalytics-DELPHI,eligible
23,ME,CovidAnalytics-DELPHI,eligible
24,MD,CovidAnalytics-DELPHI,eligible
25,MA,CovidAnalytics-DELPHI,eligible
26,MI,CovidAnalytics-DELPHI,eligible
27,MN,CovidAnalytics-DELPHI,eligible
28,MS,CovidAnalytics-DELPHI,eligible
29,MO,CovidAnalytics-DELPHI,eligible
30,MT,CovidAnalytics-DELPHI,eligible
31,NE,CovidAnalytics-DELPHI,eligible
32,NV,CovidAnalytics-DELPHI,eligible
33,NH,CovidAnalytics-DELPHI,eligible
34,NJ,CovidAnalytics-DELPHI,eligible
35,NM,CovidAnalytics-DELPHI,eligible
36,NY,CovidAnalytics-DELPHI,eligible
37,NC,CovidAnalytics-DELPHI,eligible
