location,location_abbreviation,location_name,YYG-ParamSearch,LANL-GrowthRate,UCLA-SuEIR,UMass-MechBayes,MOBS-GLEAM_COVID,CU-select,UT-Mobility,JHU_IDD-CovidSP,CovidAnalytics-DELPHI,CAN-SEIR_CAN,PSI-DRAFT
01,AL,Alabama,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
02,AK,Alaska,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0.14285714285714285,0,0,0
04,AZ,Arizona,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
05,AR,Arkansas,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
06,CA,California,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
08,CO,Colorado,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
09,CT,Connecticut,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
10,DE,Delaware,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
11,DC,District of Columbia,0.125,0.125,0.125,0.125,0,0,0.125,0.125,0.125,0.125,0
12,FL,Florida,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
13,GA,Georgia,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
15,HI,Hawaii,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
16,ID,Idaho,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
17,IL,Illinois,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
18,IN,Indiana,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0
19,IA,Iowa,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
20,KS,Kansas,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0
21,KY,Kentucky,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
22,LA,Louisiana,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0
23,ME,Maine,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
24,MD,Maryland,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
25,MA,Massachusetts,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
26,MI,Michigan,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
27,MN,Minnesota,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
28,MS,Mississippi,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
29,MO,Missouri,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
30,MT,Montana,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
31,NE,Nebraska,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
32,NV,Nevada,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
33,NH,New Hampshire,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
34,NJ,New Jersey,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
35,NM,New Mexico,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
36,NY,New York,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0,0,0
37,NC,North Carolina,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0
38,ND,North Dakota,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
39,OH,Ohio,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
40,OK,Oklahoma,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
41,OR,Oregon,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
42,PA,Pennsylvania,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
44,RI,Rhode Island,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
