location,model,missingness_eligibility,q10_eligibility,nondecreasing_quantiles_eligibility,overall_eligibility
01,CAN-SEIR_CAN,eligible,"NA","NA",eligible
01,Covid19Sim-Simulator,eligible,"NA","NA",eligible
01,epiforecasts-ensemble1,missing required forecasts,"NA","NA",ineligible
01,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
01,GT-DeepCOVID,eligible,"NA","NA",eligible
01,IHME-CurveFit,eligible,"NA","NA",eligible
01,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
01,LANL-GrowthRate,eligible,"NA","NA",eligible
01,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
01,NotreDame-FRED,missing required forecasts,"NA","NA",ineligible
01,NotreDame-mobility,eligible,"NA","NA",eligible
01,OliverWyman-Navigator,eligible,"NA","NA",eligible
01,UA-EpiCovDA,eligible,"NA","NA",eligible
01,UCLA-SuEIR,eligible,"NA","NA",eligible
01,UMass-MechBayes,eligible,"NA","NA",eligible
01,UT-Mobility,eligible,"NA","NA",eligible
01,YYG-ParamSearch,eligible,"NA","NA",eligible
02,CAN-SEIR_CAN,eligible,"NA","NA",eligible
02,Covid19Sim-Simulator,eligible,"NA","NA",eligible
02,epiforecasts-ensemble1,missing required forecasts,"NA","NA",ineligible
02,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
02,GT-DeepCOVID,eligible,"NA","NA",eligible
02,IHME-CurveFit,eligible,"NA","NA",eligible
02,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
02,LANL-GrowthRate,eligible,"NA","NA",eligible
02,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
02,NotreDame-FRED,missing required forecasts,"NA","NA",ineligible
02,NotreDame-mobility,eligible,"NA","NA",eligible
02,OliverWyman-Navigator,eligible,"NA","NA",eligible
02,UA-EpiCovDA,eligible,"NA","NA",eligible
02,UCLA-SuEIR,eligible,"NA","NA",eligible
02,UMass-MechBayes,eligible,"NA","NA",eligible
02,UT-Mobility,eligible,"NA","NA",eligible
02,YYG-ParamSearch,eligible,"NA","NA",eligible
04,CAN-SEIR_CAN,missing required forecasts,"NA","NA",ineligible
04,Covid19Sim-Simulator,eligible,"NA","NA",eligible
04,epiforecasts-ensemble1,eligible,"NA","NA",eligible
04,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
04,GT-DeepCOVID,missing required forecasts,"NA","NA",ineligible
04,IHME-CurveFit,eligible,"NA","NA",eligible
04,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
04,LANL-GrowthRate,eligible,"NA","NA",eligible
04,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
04,NotreDame-FRED,missing required forecasts,"NA","NA",ineligible
04,NotreDame-mobility,eligible,"NA","NA",eligible
04,OliverWyman-Navigator,eligible,"NA","NA",eligible
04,UA-EpiCovDA,eligible,"NA","NA",eligible
04,UCLA-SuEIR,eligible,"NA","NA",eligible
04,UMass-MechBayes,eligible,"NA","NA",eligible
04,UT-Mobility,eligible,"NA","NA",eligible
04,YYG-ParamSearch,eligible,"NA","NA",eligible
05,CAN-SEIR_CAN,eligible,"NA","NA",eligible
05,Covid19Sim-Simulator,eligible,"NA","NA",eligible
05,epiforecasts-ensemble1,missing required forecasts,"NA","NA",ineligible
05,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
05,GT-DeepCOVID,eligible,"NA","NA",eligible
05,IHME-CurveFit,eligible,"NA","NA",eligible
05,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
05,LANL-GrowthRate,eligible,"NA","NA",eligible
05,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
05,NotreDame-FRED,missing required forecasts,"NA","NA",ineligible
05,NotreDame-mobility,eligible,"NA","NA",eligible
05,OliverWyman-Navigator,eligible,"NA","NA",eligible
05,UA-EpiCovDA,eligible,"NA","NA",eligible
05,UCLA-SuEIR,eligible,"NA","NA",eligible
05,UMass-MechBayes,eligible,"NA","NA",eligible
05,UT-Mobility,eligible,"NA","NA",eligible
05,YYG-ParamSearch,eligible,"NA","NA",eligible
06,CAN-SEIR_CAN,eligible,"NA","NA",eligible
06,Covid19Sim-Simulator,eligible,"NA","NA",eligible
06,epiforecasts-ensemble1,eligible,"NA","NA",eligible
06,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
06,GT-DeepCOVID,eligible,"NA","NA",eligible
06,IHME-CurveFit,eligible,"NA","NA",eligible
06,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
06,LANL-GrowthRate,eligible,"NA","NA",eligible
06,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
06,NotreDame-FRED,missing required forecasts,"NA","NA",ineligible
06,NotreDame-mobility,eligible,"NA","NA",eligible
06,OliverWyman-Navigator,eligible,"NA","NA",eligible
06,UA-EpiCovDA,eligible,"NA","NA",eligible
06,UCLA-SuEIR,eligible,"NA","NA",eligible
06,UMass-MechBayes,eligible,"NA","NA",eligible
06,UT-Mobility,eligible,"NA","NA",eligible
06,YYG-ParamSearch,eligible,"NA","NA",eligible
08,CAN-SEIR_CAN,eligible,"NA","NA",eligible
08,Covid19Sim-Simulator,eligible,"NA","NA",eligible
08,epiforecasts-ensemble1,missing required forecasts,"NA","NA",ineligible
08,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
08,GT-DeepCOVID,eligible,"NA","NA",eligible
08,IHME-CurveFit,eligible,"NA","NA",eligible
08,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
08,LANL-GrowthRate,eligible,"NA","NA",eligible
08,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
08,NotreDame-FRED,missing required forecasts,"NA","NA",ineligible
08,NotreDame-mobility,eligible,"NA","NA",eligible
08,OliverWyman-Navigator,eligible,"NA","NA",eligible
08,UA-EpiCovDA,eligible,"NA","NA",eligible
08,UCLA-SuEIR,eligible,"NA","NA",eligible
08,UMass-MechBayes,eligible,"NA","NA",eligible
08,UT-Mobility,eligible,"NA","NA",eligible
08,YYG-ParamSearch,eligible,"NA","NA",eligible
09,CAN-SEIR_CAN,eligible,"NA","NA",eligible
09,Covid19Sim-Simulator,eligible,"NA","NA",eligible
09,epiforecasts-ensemble1,missing required forecasts,"NA","NA",ineligible
09,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
09,GT-DeepCOVID,missing required forecasts,"NA","NA",ineligible
09,IHME-CurveFit,eligible,"NA","NA",eligible
09,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
09,LANL-GrowthRate,eligible,"NA","NA",eligible
09,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
09,NotreDame-FRED,missing required forecasts,"NA","NA",ineligible
09,NotreDame-mobility,eligible,"NA","NA",eligible
09,OliverWyman-Navigator,eligible,"NA","NA",eligible
09,UA-EpiCovDA,eligible,"NA","NA",eligible
09,UCLA-SuEIR,eligible,"NA","NA",eligible
09,UMass-MechBayes,eligible,"NA","NA",eligible
09,UT-Mobility,eligible,"NA","NA",eligible
