CMU-TimeSeries,COVIDhub-baseline,JHU_IDD-CovidSP,MOBS-GLEAM_COVID,locations
0,1,1,1,06
0,1,1,1,13
0,1,1,1,17
0,1,1,1,18
0,1,1,1,21
0,1,1,1,24
0,1,1,1,26
0,1,1,1,37
0,1,1,1,42
0,1,1,1,45
0,1,1,1,47
0,1,1,1,48
0,1,1,1,51
0,1,1,1,53
0,1,1,1,US
1,1,0,0,72
1,1,1,1,01
1,1,1,1,02
1,1,1,1,04
1,1,1,1,05
1,1,1,1,08
1,1,1,1,09
1,1,1,1,10
1,1,1,1,11
1,1,1,1,12
1,1,1,1,15
1,1,1,1,16
1,1,1,1,19
1,1,1,1,20
1,1,1,1,22
1,1,1,1,23
1,1,1,1,25
1,1,1,1,27
1,1,1,1,28
1,1,1,1,29
1,1,1,1,30
1,1,1,1,31
1,1,1,1,32
1,1,1,1,33
1,1,1,1,34
1,1,1,1,35
1,1,1,1,36
1,1,1,1,38
1,1,1,1,39
1,1,1,1,40
1,1,1,1,41
1,1,1,1,44
1,1,1,1,46
1,1,1,1,49
1,1,1,1,50
1,1,1,1,54
1,1,1,1,55
1,1,1,1,56
