"fips","state","select","DeepCOVID","GrowthRate","DELPHI","GLEAM_COVID","FRED","CovidIL_100","SuEIR","MechBayes","Mobility","ParamSearch","sum","n_models"
"09","CT",0.142857142857143,0,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0.142857142857143,0.142857142857143,0,0.142857142857143,1,7
"10","DE",0.125,0.125,0.125,0.125,0.125,0,0,0.125,0.125,0,0.125,1,8
"12","FL",0.125,0.125,0.125,0.125,0.125,0,0,0.125,0.125,0,0.125,1,8
"13","GA",0.125,0.125,0.125,0.125,0.125,0,0,0.125,0.125,0,0.125,1,8
"15","HI",0,0,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0.166666666666667,0.166666666666667,0,0.166666666666667,1,6
"16","ID",0,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0.142857142857143,0.142857142857143,0,0.142857142857143,1,7
"24","MD",0.125,0.125,0.125,0.125,0.125,0,0,0.125,0.125,0,0.125,1,8
"25","MA",0.125,0.125,0.125,0.125,0.125,0,0,0.125,0.125,0,0.125,1,8
"26","MI",0.125,0.125,0.125,0.125,0.125,0,0,0.125,0.125,0,0.125,1,8
"27","MN",0.142857142857143,0,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0.142857142857143,0.142857142857143,0,0.142857142857143,1,7
"28","MS",0.142857142857143,0,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0.142857142857143,0.142857142857143,0,0.142857142857143,1,7
"29","MO",0.125,0.125,0.125,0.125,0.125,0,0,0.125,0.125,0,0.125,1,8
"30","MT",0.166666666666667,0,0.166666666666667,0,0.166666666666667,0,0,0.166666666666667,0.166666666666667,0,0.166666666666667,1,6
"38","ND",0,0,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0.166666666666667,0.166666666666667,0,0.166666666666667,1,6
"39","OH",0.142857142857143,0,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0.142857142857143,0.142857142857143,0,0.142857142857143,1,7
"40","OK",0.125,0.125,0.125,0.125,0.125,0,0,0.125,0.125,0,0.125,1,8
"41","OR",0.142857142857143,0,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0.142857142857143,0.142857142857143,0,0.142857142857143,1,7
"42","PA",0.125,0.125,0.125,0.125,0.125,0,0,0.125,0.125,0,0.125,1,8
"44","RI",0.125,0.125,0.125,0.125,0.125,0,0,0.125,0.125,0,0.125,1,8
"45","SC",0.142857142857143,0,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0.142857142857143,0.142857142857143,0,0.142857142857143,1,7
"46","SD",0.166666666666667,0,0.166666666666667,0,0.166666666666667,0,0,0.166666666666667,0.166666666666667,0,0.166666666666667,1,6
"47","TN",0.125,0.125,0.125,0.125,0.125,0,0,0.125,0.125,0,0.125,1,8
"48","TX",0.125,0.125,0.125,0.125,0.125,0,0,0.125,0.125,0,0.125,1,8
"49","UT",0.142857142857143,0,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0.142857142857143,0.142857142857143,0,0.142857142857143,1,7
"50","VT",0.142857142857143,0,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0.142857142857143,0.142857142857143,0,0.142857142857143,1,7
"51","VA",0.125,0.125,0.125,0.125,0.125,0,0,0.125,0.125,0,0.125,1,8
"53","WA",0.142857142857143,0,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0.142857142857143,0.142857142857143,0,0.142857142857143,1,7
"54","WV",0,0,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0.166666666666667,0.166666666666667,0,0.166666666666667,1,6
"55","WI",0.142857142857143,0,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0.142857142857143,0.142857142857143,0,0.142857142857143,1,7
"56","WY",0,0,0.2,0.2,0.2,0,0,0.2,0,0,0.2,1,5
"11","DC",0,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0,0.166666666666667,0.166666666666667,0,0.166666666666667,1,6
"72","PR",0,0,0.5,0,0,0,0,0,0,0,0.5,1,2
"78","VI",0,0,0.5,0,0,0,0,0,0,0,0.5,1,2
