Covid19Sim-Simulator,CU-select,Google_Harvard-CPF,GT-DeepCOVID,IHME-CurveFit,JHU_IDD-CovidSP,JHUAPL-Bucky,JHUAPL-Gecko,Karlen-pypm,LANL-GrowthRate,MOBS-GLEAM_COVID,locations
0,0,0,0,0,1,1,1,0,1,0,78
0,1,0,0,1,0,1,1,1,0,1,34
0,1,0,0,1,0,1,1,1,0,1,36
0,1,0,1,0,0,0,1,1,0,1,40
0,1,0,1,0,0,0,1,1,1,1,29
0,1,0,1,0,0,1,1,1,0,1,37
0,1,0,1,0,0,1,1,1,0,1,39
0,1,0,1,0,0,1,1,1,0,1,US
0,1,0,1,0,0,1,1,1,1,1,41
0,1,0,1,0,0,1,1,1,1,1,48
0,1,0,1,1,0,0,1,1,1,1,21
0,1,0,1,1,0,1,1,1,0,1,25
0,1,0,1,1,0,1,1,1,1,1,13
0,1,0,1,1,0,1,1,1,1,1,27
0,1,0,1,1,0,1,1,1,1,1,55
0,1,1,1,1,0,1,1,1,1,1,53
0,1,1,1,1,1,1,1,1,1,1,02
0,1,1,1,1,1,1,1,1,1,1,28
1,0,0,0,0,1,0,1,1,1,0,72
1,1,0,0,0,0,1,1,1,0,1,17
1,1,0,0,1,0,1,1,1,1,1,26
1,1,0,1,0,0,1,1,1,0,1,12
1,1,0,1,0,0,1,1,1,0,1,24
1,1,0,1,0,0,1,1,1,0,1,42
1,1,0,1,0,0,1,1,1,1,1,01
1,1,0,1,0,0,1,1,1,1,1,04
1,1,0,1,0,0,1,1,1,1,1,06
1,1,0,1,0,0,1,1,1,1,1,10
1,1,0,1,0,0,1,1,1,1,1,18
1,1,0,1,0,0,1,1,1,1,1,47
1,1,0,1,0,0,1,1,1,1,1,51
1,1,0,1,0,1,1,1,1,1,1,54
1,1,0,1,1,0,1,1,1,1,1,08
1,1,0,1,1,0,1,1,1,1,1,09
1,1,0,1,1,0,1,1,1,1,1,22
1,1,0,1,1,0,1,1,1,1,1,35
1,1,0,1,1,0,1,1,1,1,1,45
1,1,1,0,1,1,1,1,1,1,1,15
1,1,1,1,0,0,1,1,1,1,1,05
1,1,1,1,0,0,1,1,1,1,1,20
1,1,1,1,0,0,1,1,1,1,1,32
1,1,1,1,0,1,1,1,1,1,0,11
1,1,1,1,0,1,1,1,1,1,1,23
1,1,1,1,0,1,1,1,1,1,1,30
1,1,1,1,0,1,1,1,1,1,1,33
1,1,1,1,1,1,1,1,1,1,1,16
1,1,1,1,1,1,1,1,1,1,1,19
1,1,1,1,1,1,1,1,1,1,1,31
1,1,1,1,1,1,1,1,1,1,1,38
1,1,1,1,1,1,1,1,1,1,1,44
1,1,1,1,1,1,1,1,1,1,1,46
1,1,1,1,1,1,1,1,1,1,1,49
1,1,1,1,1,1,1,1,1,1,1,50
1,1,1,1,1,1,1,1,1,1,1,56
