target,location,forecast_date,target_end_date,quantile,value,type
1 day ahead inc hosp,02,2024-03-18,2024-03-19,0.01,0,quantile
1 day ahead inc hosp,02,2024-03-18,2024-03-19,0.025,0,quantile
1 day ahead inc hosp,02,2024-03-18,2024-03-19,0.05,1,quantile
1 day ahead inc hosp,02,2024-03-18,2024-03-19,0.1,2,quantile
1 day ahead inc hosp,02,2024-03-18,2024-03-19,0.15,2.8500000000000014,quantile
1 day ahead inc hosp,02,2024-03-18,2024-03-19,0.2,3,quantile
1 day ahead inc hosp,02,2024-03-18,2024-03-19,0.25,3,quantile
1 day ahead inc hosp,02,2024-03-18,2024-03-19,0.3,3.6999999999999993,quantile
1 day ahead inc hosp,02,2024-03-18,2024-03-19,0.35,4,quantile
1 day ahead inc hosp,02,2024-03-18,2024-03-19,0.4,4,quantile
1 day ahead inc hosp,02,2024-03-18,2024-03-19,0.45,5,quantile
1 day ahead inc hosp,02,2024-03-18,2024-03-19,0.5,5,quantile
1 day ahead inc hosp,02,2024-03-18,2024-03-19,0.55,5,quantile
1 day ahead inc hosp,02,2024-03-18,2024-03-19,0.6,5,quantile
1 day ahead inc hosp,02,2024-03-18,2024-03-19,0.65,6,quantile
1 day ahead inc hosp,02,2024-03-18,2024-03-19,0.7,6,quantile
1 day ahead inc hosp,02,2024-03-18,2024-03-19,0.75,7,quantile
1 day ahead inc hosp,02,2024-03-18,2024-03-19,0.8,7,quantile
1 day ahead inc hosp,02,2024-03-18,2024-03-19,0.85,8,quantile
1 day ahead inc hosp,02,2024-03-18,2024-03-19,0.9,8.100000000000009,quantile
1 day ahead inc hosp,02,2024-03-18,2024-03-19,0.95,9.049999999999997,quantile
1 day ahead inc hosp,02,2024-03-18,2024-03-19,0.975,10,quantile
1 day ahead inc hosp,02,2024-03-18,2024-03-19,0.99,10.010000000000005,quantile
2 day ahead inc hosp,02,2024-03-18,2024-03-20,0.01,1.99,quantile
2 day ahead inc hosp,02,2024-03-18,2024-03-20,0.025,2,quantile
2 day ahead inc hosp,02,2024-03-18,2024-03-20,0.05,2,quantile
2 day ahead inc hosp,02,2024-03-18,2024-03-20,0.1,2,quantile
2 day ahead inc hosp,02,2024-03-18,2024-03-20,0.15,3,quantile
2 day ahead inc hosp,02,2024-03-18,2024-03-20,0.2,3,quantile
2 day ahead inc hosp,02,2024-03-18,2024-03-20,0.25,3,quantile
2 day ahead inc hosp,02,2024-03-18,2024-03-20,0.3,4,quantile
2 day ahead inc hosp,02,2024-03-18,2024-03-20,0.35,4,quantile
2 day ahead inc hosp,02,2024-03-18,2024-03-20,0.4,4,quantile
2 day ahead inc hosp,02,2024-03-18,2024-03-20,0.45,5,quantile
