target,location,forecast_date,target_end_date,quantile,value,type
1 day ahead inc hosp,02,2024-04-08,2024-04-09,0.01,0,quantile
1 day ahead inc hosp,02,2024-04-08,2024-04-09,0.025,0,quantile
1 day ahead inc hosp,02,2024-04-08,2024-04-09,0.05,0,quantile
1 day ahead inc hosp,02,2024-04-08,2024-04-09,0.1,0,quantile
1 day ahead inc hosp,02,2024-04-08,2024-04-09,0.15,0,quantile
1 day ahead inc hosp,02,2024-04-08,2024-04-09,0.2,0,quantile
1 day ahead inc hosp,02,2024-04-08,2024-04-09,0.25,0,quantile
1 day ahead inc hosp,02,2024-04-08,2024-04-09,0.3,0,quantile
1 day ahead inc hosp,02,2024-04-08,2024-04-09,0.35,0,quantile
1 day ahead inc hosp,02,2024-04-08,2024-04-09,0.4,0,quantile
1 day ahead inc hosp,02,2024-04-08,2024-04-09,0.45,0,quantile
1 day ahead inc hosp,02,2024-04-08,2024-04-09,0.5,0,quantile
1 day ahead inc hosp,02,2024-04-08,2024-04-09,0.55,0,quantile
1 day ahead inc hosp,02,2024-04-08,2024-04-09,0.6,0,quantile
1 day ahead inc hosp,02,2024-04-08,2024-04-09,0.65,1,quantile
1 day ahead inc hosp,02,2024-04-08,2024-04-09,0.7,1,quantile
1 day ahead inc hosp,02,2024-04-08,2024-04-09,0.75,1,quantile
1 day ahead inc hosp,02,2024-04-08,2024-04-09,0.8,1,quantile
1 day ahead inc hosp,02,2024-04-08,2024-04-09,0.85,1,quantile
1 day ahead inc hosp,02,2024-04-08,2024-04-09,0.9,2,quantile
1 day ahead inc hosp,02,2024-04-08,2024-04-09,0.95,2.049999999999997,quantile
1 day ahead inc hosp,02,2024-04-08,2024-04-09,0.975,3.5249999999999915,quantile
1 day ahead inc hosp,02,2024-04-08,2024-04-09,0.99,7,quantile
2 day ahead inc hosp,02,2024-04-08,2024-04-10,0.01,0,quantile
2 day ahead inc hosp,02,2024-04-08,2024-04-10,0.025,0,quantile
2 day ahead inc hosp,02,2024-04-08,2024-04-10,0.05,0,quantile
2 day ahead inc hosp,02,2024-04-08,2024-04-10,0.1,0,quantile
2 day ahead inc hosp,02,2024-04-08,2024-04-10,0.15,0,quantile
2 day ahead inc hosp,02,2024-04-08,2024-04-10,0.2,0,quantile
2 day ahead inc hosp,02,2024-04-08,2024-04-10,0.25,0,quantile
2 day ahead inc hosp,02,2024-04-08,2024-04-10,0.3,0,quantile
2 day ahead inc hosp,02,2024-04-08,2024-04-10,0.35,0,quantile
2 day ahead inc hosp,02,2024-04-08,2024-04-10,0.4,0,quantile
2 day ahead inc hosp,02,2024-04-08,2024-04-10,0.45,0,quantile
2 day ahead inc hosp,02,2024-04-08,2024-04-10,0.5,0,quantile
2 day ahead inc hosp,02,2024-04-08,2024-04-10,0.55,0,quantile
2 day ahead inc hosp,02,2024-04-08,2024-04-10,0.6,1,quantile
2 day ahead inc hosp,02,2024-04-08,2024-04-10,0.65,1,quantile
2 day ahead inc hosp,02,2024-04-08,2024-04-10,0.7,1,quantile
2 day ahead inc hosp,02,2024-04-08,2024-04-10,0.75,1,quantile
2 day ahead inc hosp,02,2024-04-08,2024-04-10,0.8,1,quantile
2 day ahead inc hosp,02,2024-04-08,2024-04-10,0.85,2,quantile
2 day ahead inc hosp,02,2024-04-08,2024-04-10,0.9,2,quantile
2 day ahead inc hosp,02,2024-04-08,2024-04-10,0.95,3.049999999999997,quantile
2 day ahead inc hosp,02,2024-04-08,2024-04-10,0.975,4.5249999999999915,quantile
2 day ahead inc hosp,02,2024-04-08,2024-04-10,0.99,5.060000000000031,quantile
3 day ahead inc hosp,02,2024-04-08,2024-04-11,0.01,0,quantile
3 day ahead inc hosp,02,2024-04-08,2024-04-11,0.025,0,quantile
3 day ahead inc hosp,02,2024-04-08,2024-04-11,0.05,0,quantile
3 day ahead inc hosp,02,2024-04-08,2024-04-11,0.1,0,quantile
3 day ahead inc hosp,02,2024-04-08,2024-04-11,0.15,0,quantile
3 day ahead inc hosp,02,2024-04-08,2024-04-11,0.2,0,quantile
3 day ahead inc hosp,02,2024-04-08,2024-04-11,0.25,0,quantile
3 day ahead inc hosp,02,2024-04-08,2024-04-11,0.3,0,quantile
3 day ahead inc hosp,02,2024-04-08,2024-04-11,0.35,0,quantile
3 day ahead inc hosp,02,2024-04-08,2024-04-11,0.4,0,quantile
3 day ahead inc hosp,02,2024-04-08,2024-04-11,0.45,0,quantile
3 day ahead inc hosp,02,2024-04-08,2024-04-11,0.5,0,quantile
3 day ahead inc hosp,02,2024-04-08,2024-04-11,0.55,0,quantile
3 day ahead inc hosp,02,2024-04-08,2024-04-11,0.6,1,quantile
3 day ahead inc hosp,02,2024-04-08,2024-04-11,0.65,1,quantile
3 day ahead inc hosp,02,2024-04-08,2024-04-11,0.7,1,quantile
3 day ahead inc hosp,02,2024-04-08,2024-04-11,0.75,1,quantile
3 day ahead inc hosp,02,2024-04-08,2024-04-11,0.8,2,quantile
3 day ahead inc hosp,02,2024-04-08,2024-04-11,0.85,2,quantile
3 day ahead inc hosp,02,2024-04-08,2024-04-11,0.9,2,quantile
3 day ahead inc hosp,02,2024-04-08,2024-04-11,0.95,3,quantile
3 day ahead inc hosp,02,2024-04-08,2024-04-11,0.975,4.5249999999999915,quantile
3 day ahead inc hosp,02,2024-04-08,2024-04-11,0.99,9.030000000000015,quantile
4 day ahead inc hosp,02,2024-04-08,2024-04-12,0.01,0,quantile
4 day ahead inc hosp,02,2024-04-08,2024-04-12,0.025,0,quantile
4 day ahead inc hosp,02,2024-04-08,2024-04-12,0.05,0,quantile
4 day ahead inc hosp,02,2024-04-08,2024-04-12,0.1,0,quantile
4 day ahead inc hosp,02,2024-04-08,2024-04-12,0.15,0,quantile
4 day ahead inc hosp,02,2024-04-08,2024-04-12,0.2,0,quantile
4 day ahead inc hosp,02,2024-04-08,2024-04-12,0.25,0,quantile
4 day ahead inc hosp,02,2024-04-08,2024-04-12,0.3,0,quantile
4 day ahead inc hosp,02,2024-04-08,2024-04-12,0.35,0,quantile
4 day ahead inc hosp,02,2024-04-08,2024-04-12,0.4,0,quantile
4 day ahead inc hosp,02,2024-04-08,2024-04-12,0.45,0,quantile
4 day ahead inc hosp,02,2024-04-08,2024-04-12,0.5,0,quantile
4 day ahead inc hosp,02,2024-04-08,2024-04-12,0.55,0,quantile
4 day ahead inc hosp,02,2024-04-08,2024-04-12,0.6,1,quantile
4 day ahead inc hosp,02,2024-04-08,2024-04-12,0.65,1,quantile
4 day ahead inc hosp,02,2024-04-08,2024-04-12,0.7,1,quantile
4 day ahead inc hosp,02,2024-04-08,2024-04-12,0.75,1,quantile
4 day ahead inc hosp,02,2024-04-08,2024-04-12,0.8,1,quantile
4 day ahead inc hosp,02,2024-04-08,2024-04-12,0.85,2,quantile
4 day ahead inc hosp,02,2024-04-08,2024-04-12,0.9,2,quantile
4 day ahead inc hosp,02,2024-04-08,2024-04-12,0.95,3,quantile
4 day ahead inc hosp,02,2024-04-08,2024-04-12,0.975,3.5249999999999915,quantile
4 day ahead inc hosp,02,2024-04-08,2024-04-12,0.99,5.060000000000031,quantile
5 day ahead inc hosp,02,2024-04-08,2024-04-13,0.01,0,quantile
5 day ahead inc hosp,02,2024-04-08,2024-04-13,0.025,0,quantile
5 day ahead inc hosp,02,2024-04-08,2024-04-13,0.05,0,quantile
5 day ahead inc hosp,02,2024-04-08,2024-04-13,0.1,0,quantile
5 day ahead inc hosp,02,2024-04-08,2024-04-13,0.15,0,quantile
