target,location,forecast_date,target_end_date,quantile,value,type
1 day ahead inc hosp,02,2024-02-26,2024-02-27,0.01,1.99,quantile
1 day ahead inc hosp,02,2024-02-26,2024-02-27,0.025,2,quantile
1 day ahead inc hosp,02,2024-02-26,2024-02-27,0.05,2.95,quantile
1 day ahead inc hosp,02,2024-02-26,2024-02-27,0.1,3,quantile
1 day ahead inc hosp,02,2024-02-26,2024-02-27,0.15,3,quantile
1 day ahead inc hosp,02,2024-02-26,2024-02-27,0.2,4,quantile
1 day ahead inc hosp,02,2024-02-26,2024-02-27,0.25,4,quantile
1 day ahead inc hosp,02,2024-02-26,2024-02-27,0.3,4.699999999999999,quantile
1 day ahead inc hosp,02,2024-02-26,2024-02-27,0.35,5,quantile
1 day ahead inc hosp,02,2024-02-26,2024-02-27,0.4,5,quantile
1 day ahead inc hosp,02,2024-02-26,2024-02-27,0.45,5,quantile
1 day ahead inc hosp,02,2024-02-26,2024-02-27,0.5,6,quantile
1 day ahead inc hosp,02,2024-02-26,2024-02-27,0.55,6,quantile
1 day ahead inc hosp,02,2024-02-26,2024-02-27,0.6,7,quantile
1 day ahead inc hosp,02,2024-02-26,2024-02-27,0.65,7,quantile
1 day ahead inc hosp,02,2024-02-26,2024-02-27,0.7,7.300000000000011,quantile
1 day ahead inc hosp,02,2024-02-26,2024-02-27,0.75,8,quantile
1 day ahead inc hosp,02,2024-02-26,2024-02-27,0.8,9,quantile
1 day ahead inc hosp,02,2024-02-26,2024-02-27,0.85,9,quantile
1 day ahead inc hosp,02,2024-02-26,2024-02-27,0.9,10,quantile
1 day ahead inc hosp,02,2024-02-26,2024-02-27,0.95,12,quantile
1 day ahead inc hosp,02,2024-02-26,2024-02-27,0.975,12.524999999999991,quantile
1 day ahead inc hosp,02,2024-02-26,2024-02-27,0.99,13.010000000000005,quantile
2 day ahead inc hosp,02,2024-02-26,2024-02-28,0.01,1.99,quantile
2 day ahead inc hosp,02,2024-02-26,2024-02-28,0.025,3,quantile
2 day ahead inc hosp,02,2024-02-26,2024-02-28,0.05,3,quantile
2 day ahead inc hosp,02,2024-02-26,2024-02-28,0.1,4,quantile
2 day ahead inc hosp,02,2024-02-26,2024-02-28,0.15,5,quantile
2 day ahead inc hosp,02,2024-02-26,2024-02-28,0.2,5,quantile
2 day ahead inc hosp,02,2024-02-26,2024-02-28,0.25,5.75,quantile
