location,fips,Date, hosp_new_1, hosp_new_2point5, hosp_new_5, hosp_new_10, hosp_new_15, hosp_new_20, hosp_new_25, hosp_new_30, hosp_new_35, hosp_new_40, hosp_new_45, hosp_new_50, hosp_new_55, hosp_new_60, hosp_new_65, hosp_new_70, hosp_new_75, hosp_new_80, hosp_new_85, hosp_new_90, hosp_new_95, hosp_new_97point5, hosp_new_99, death_1, death_2point5, death_5, death_10, death_15, death_20, death_25, death_30, death_35, death_40, death_45, death_50, death_55, death_60, death_65, death_70, death_75, death_80, death_85, death_90, death_95, death_97point5, death_99, cdeath_1, cdeath_2point5, cdeath_5, cdeath_10, cdeath_15, cdeath_20, cdeath_25, cdeath_30, cdeath_35, cdeath_40, cdeath_45, cdeath_50, cdeath_55, cdeath_60, cdeath_65, cdeath_70, cdeath_75, cdeath_80, cdeath_85, cdeath_90, cdeath_95, cdeath_97point5, cdeath_99
Alabama,1,04/12/20, 22, 24, 27, 35, 39, 41, 44, 46, 48, 51, 53, 54, 57, 63, 69, 74, 79, 83, 90, 98, 124, 150, 196, 0, 0, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 7, 7, 8, 10, 11, 13, 5, 8, 17, 40, 60, 86, 115, 138, 162, 183, 210, 234, 257, 277, 296, 317, 340, 365, 387, 419, 441, 457, 463
Alaska,2,04/12/20, 0, 0, 1, 3, 6, 7, 7, 8, 8, 10, 11, 11, 12, 15, 16, 17, 18, 18, 20, 24, 28, 33, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 4, 1, 4, 7, 12, 19, 23, 30, 39, 45, 47, 53, 57, 59, 68, 75, 80, 83, 89, 95, 99, 102, 102, 103
Arizona,4,04/12/20, 39, 68, 73, 101, 114, 131, 148, 161, 169, 185, 203, 211, 219, 233, 256, 280, 293, 308, 342, 361, 390, 439, 564, 3, 5, 6, 7, 8, 10, 11, 13, 14, 15, 15, 17, 18, 19, 21, 22, 23, 25, 26, 28, 31, 38, 48, 30, 54, 83, 158, 248, 340, 456, 566, 649, 720, 797, 882, 966, 1082, 1163, 1251, 1349, 1449, 1520, 1601, 1697, 1732, 1760
Arkansas,5,04/12/20, 1, 1, 2, 4, 4, 6, 7, 7, 8, 10, 14, 16, 17, 19, 21, 22, 24, 26, 30, 34, 43, 45, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 4, 5, 7, 1, 1, 3, 11, 29, 32, 41, 44, 49, 53, 56, 58, 63, 69, 75, 82, 89, 94, 104, 110, 116, 116, 117
California,6,04/12/20, 113, 161, 228, 328, 360, 407, 486, 537, 596, 657, 683, 748, 790, 841, 937, 1028, 1086, 1157, 1370, 1550, 1830, 2520, 3527, 11, 19, 22, 28, 38, 41, 47, 49, 56, 58, 62, 67, 71, 77, 81, 87, 96, 107, 127, 142, 159, 206, 279, 104, 196, 332, 788, 1218, 1605, 2117, 2528, 2981, 3354, 3803, 4100, 4518, 4970, 5336, 5703, 5995, 6372, 6616, 7109, 7412, 7689, 7756
Colorado,8,04/12/20, 82, 119, 131, 149, 168, 191, 211, 229, 233, 240, 251, 264, 274, 297, 315, 324, 338, 370, 397, 483, 603, 673, 814, 8, 9, 11, 14, 15, 17, 18, 19, 19, 20, 22, 23, 24, 25, 26, 29, 31, 32, 35, 41, 47, 55, 71, 28, 65, 137, 254, 393, 511, 660, 773, 912, 1040, 1174, 1280, 1396, 1530, 1640, 1765, 1888, 2022, 2151, 2325, 2430, 2489, 2521
Connecticut,9,04/12/20, 102, 134, 172, 199, 213, 237, 254, 267, 306, 340, 353, 381, 398, 423, 450, 489, 517, 543, 622, 663, 783, 829, 1051, 7, 8, 14, 17, 20, 23, 24, 25, 28, 30, 34, 37, 40, 42, 43, 46, 48, 50, 52, 61, 72, 82, 101, 43, 108, 188, 455, 645, 797, 1073, 1217, 1398, 1536, 1759, 1884, 2085, 2265, 2450, 2654, 2853, 3015, 3158, 3378, 3588, 3690, 3753
Delaware,10,04/12/20, 1, 2, 3, 4, 5, 7, 9, 11, 13, 16, 18, 21, 24, 27, 29, 32, 33, 37, 45, 54, 70, 88, 116, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 3, 3, 3, 4, 4, 5, 6, 10, 13, 2, 5, 8, 14, 21, 32, 42, 48, 73, 89, 106, 111, 117, 126, 140, 144, 158, 164, 176, 184, 190, 193, 201
Florida,12,04/12/20, 214, 270, 314, 390, 451, 492, 556, 583, 638, 663, 695, 734, 787, 877, 962, 1011, 1034, 1113, 1182, 1369, 1657, 1871, 2131, 20, 22, 31, 35, 43, 48, 50, 54, 56, 61, 66, 68, 72, 75, 80, 86, 91, 93, 104, 119, 137, 154, 165, 90, 185, 369, 763, 1215, 1633, 2130, 2663, 3017, 3327, 3609, 3908, 4240, 4609, 4938, 5261, 5616, 5969, 6252, 6659, 7010, 7191, 7269
Georgia,13,04/12/20, 63, 80, 94, 115, 126, 140, 151, 163, 173, 188, 197, 202, 231, 242, 250, 262, 276, 299, 326, 391, 517, 606, 674, 3, 5, 7, 10, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 24, 28, 30, 33, 36, 52, 58, 25, 53, 83, 162, 281, 374, 544, 671, 792, 871, 966, 1036, 1113, 1212, 1268, 1345, 1433, 1535, 1632, 1755, 1837, 1897, 1919
