location,fips,Date, hosp_new_1, hosp_new_2point5, hosp_new_5, hosp_new_10, hosp_new_15, hosp_new_20, hosp_new_25, hosp_new_30, hosp_new_35, hosp_new_40, hosp_new_45, hosp_new_50, hosp_new_55, hosp_new_60, hosp_new_65, hosp_new_70, hosp_new_75, hosp_new_80, hosp_new_85, hosp_new_90, hosp_new_95, hosp_new_97point5, hosp_new_99, death_1, death_2point5, death_5, death_10, death_15, death_20, death_25, death_30, death_35, death_40, death_45, death_50, death_55, death_60, death_65, death_70, death_75, death_80, death_85, death_90, death_95, death_97point5, death_99, cdeath_1, cdeath_2point5, cdeath_5, cdeath_10, cdeath_15, cdeath_20, cdeath_25, cdeath_30, cdeath_35, cdeath_40, cdeath_45, cdeath_50, cdeath_55, cdeath_60, cdeath_65, cdeath_70, cdeath_75, cdeath_80, cdeath_85, cdeath_90, cdeath_95, cdeath_97point5, cdeath_99
Alabama,1,04/12/20, 19, 20, 22, 26, 27, 30, 32, 34, 35, 37, 40, 42, 44, 47, 51, 52, 56, 61, 64, 71, 91, 93, 140, 0, 0, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 5, 5, 5, 6, 7, 8, 9, 11, 12, 4, 7, 21, 44, 61, 75, 110, 121, 142, 161, 180, 195, 213, 229, 250, 262, 268, 291, 317, 348, 367, 378, 380
Alaska,2,04/12/20, 0, 0, 1, 3, 4, 5, 5, 6, 7, 8, 8, 9, 10, 10, 11, 12, 12, 14, 16, 19, 24, 27, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 0, 2, 4, 7, 10, 13, 27, 35, 40, 42, 51, 61, 62, 67, 75, 77, 82, 90, 93, 95, 97, 99, 99
Arizona,4,04/12/20, 30, 46, 54, 66, 86, 100, 109, 116, 124, 132, 137, 143, 162, 174, 183, 190, 206, 219, 249, 259, 267, 309, 376, 1, 2, 6, 7, 8, 9, 9, 10, 11, 12, 13, 14, 15, 15, 16, 17, 18, 20, 22, 22, 27, 29, 33, 19, 31, 63, 133, 203, 281, 353, 442, 517, 569, 625, 687, 757, 844, 913, 980, 1066, 1162, 1219, 1279, 1375, 1407, 1427
Arkansas,5,04/12/20, 1, 1, 2, 3, 3, 5, 5, 6, 7, 8, 9, 10, 11, 13, 15, 15, 17, 18, 21, 25, 32, 39, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 4, 4, 0, 0, 4, 8, 12, 14, 22, 30, 33, 35, 37, 41, 45, 52, 58, 63, 67, 72, 76, 86, 98, 99, 100
California,6,04/12/20, 84, 114, 155, 234, 284, 314, 334, 386, 426, 475, 490, 519, 563, 634, 671, 733, 775, 849, 984, 1203, 1269, 1715, 2516, 9, 14, 21, 26, 27, 34, 39, 43, 45, 48, 53, 56, 58, 62, 67, 72, 81, 91, 102, 114, 133, 148, 239, 101, 186, 295, 681, 1044, 1375, 1760, 2075, 2468, 2777, 3123, 3369, 3702, 4066, 4349, 4637, 4916, 5245, 5444, 5882, 6133, 6355, 6401
Colorado,8,04/12/20, 65, 77, 87, 114, 119, 132, 141, 156, 164, 171, 180, 195, 204, 208, 220, 223, 240, 255, 276, 340, 390, 449, 581, 6, 6, 7, 10, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 28, 30, 33, 34, 38, 50, 58, 26, 61, 130, 230, 347, 454, 593, 683, 812, 906, 999, 1078, 1178, 1307, 1398, 1490, 1600, 1709, 1816, 1948, 2047, 2105, 2138
Connecticut,9,04/12/20, 81, 99, 118, 137, 151, 166, 184, 205, 217, 236, 242, 257, 287, 300, 326, 341, 365, 387, 428, 463, 515, 567, 741, 8, 10, 11, 14, 15, 18, 21, 22, 24, 26, 29, 31, 32, 34, 35, 37, 39, 41, 46, 51, 62, 69, 72, 43, 95, 141, 329, 488, 616, 849, 973, 1113, 1237, 1440, 1547, 1741, 1868, 2029, 2207, 2376, 2538, 2667, 2819, 2991, 3070, 3121
Delaware,10,04/12/20, 1, 1, 3, 3, 4, 5, 5, 7, 9, 11, 13, 14, 15, 17, 19, 20, 21, 25, 29, 35, 46, 53, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 3, 3, 3, 4, 4, 5, 7, 8, 2, 8, 11, 19, 24, 37, 44, 51, 61, 69, 77, 85, 89, 103, 116, 124, 135, 145, 152, 155, 161, 164, 167
Florida,12,04/12/20, 136, 190, 240, 293, 332, 356, 402, 424, 448, 482, 502, 543, 586, 627, 671, 726, 748, 783, 840, 960, 1171, 1211, 1471, 16, 21, 27, 30, 36, 38, 42, 44, 46, 50, 52, 58, 60, 64, 70, 77, 80, 82, 85, 92, 114, 125, 145, 87, 163, 334, 636, 1021, 1367, 1814, 2203, 2484, 2752, 2988, 3235, 3515, 3803, 4084, 4379, 4687, 4976, 5187, 5550, 5847, 6005, 6074
Georgia,13,04/12/20, 46, 53, 65, 91, 103, 114, 117, 125, 129, 144, 148, 164, 171, 181, 188, 197, 203, 217, 240, 272, 347, 473, 516, 3, 4, 5, 7, 8, 9, 10, 11, 12, 12, 13, 14, 15, 16, 17, 18, 19, 20, 23, 28, 35, 36, 47, 19, 34, 54, 119, 206, 277, 431, 550, 654, 727, 793, 858, 920, 1011, 1068, 1131, 1198, 1268, 1347, 1424, 1491, 1531, 1554
