location,fips,Date, hosp_new_1, hosp_new_2point5, hosp_new_5, hosp_new_10, hosp_new_15, hosp_new_20, hosp_new_25, hosp_new_30, hosp_new_35, hosp_new_40, hosp_new_45, hosp_new_50, hosp_new_55, hosp_new_60, hosp_new_65, hosp_new_70, hosp_new_75, hosp_new_80, hosp_new_85, hosp_new_90, hosp_new_95, hosp_new_97point5, hosp_new_99, death_1, death_2point5, death_5, death_10, death_15, death_20, death_25, death_30, death_35, death_40, death_45, death_50, death_55, death_60, death_65, death_70, death_75, death_80, death_85, death_90, death_95, death_97point5, death_99, cdeath_1, cdeath_2point5, cdeath_5, cdeath_10, cdeath_15, cdeath_20, cdeath_25, cdeath_30, cdeath_35, cdeath_40, cdeath_45, cdeath_50, cdeath_55, cdeath_60, cdeath_65, cdeath_70, cdeath_75, cdeath_80, cdeath_85, cdeath_90, cdeath_95, cdeath_97point5, cdeath_99
Hawaii,15,04/12/20, 0, 1, 1, 1, 2, 3, 4, 5, 7, 8, 11, 15, 17, 19, 23, 28, 30, 40, 45, 60, 81, 90, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 3, 4, 5, 6, 6, 9, 1, 2, 3, 12, 24, 28, 33, 46, 53, 58, 66, 77, 91, 100, 111, 117, 118, 123, 124, 139, 144, 149, 153
Idaho,16,04/12/20, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 4, 5, 5, 5, 7, 9, 11, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 6, 6, 6, 7, 7, 8, 8, 8, 9, 9, 9, 9, 9
Illinois,17,04/12/20, 329, 339, 370, 489, 541, 659, 687, 732, 833, 890, 959, 1015, 1037, 1122, 1228, 1368, 1505, 1580, 1722, 1862, 2233, 3575, 5300, 21, 33, 36, 49, 53, 57, 64, 66, 72, 77, 81, 86, 89, 95, 101, 105, 120, 125, 132, 151, 171, 214, 317, 96, 277, 442, 1010, 1675, 2369, 2953, 3389, 3762, 4096, 4679, 5138, 5558, 6011, 6430, 6933, 7326, 7783, 8219, 8688, 9050, 9214, 9365
Indiana,18,04/12/20, 52, 63, 67, 76, 90, 104, 115, 123, 129, 139, 148, 170, 178, 191, 212, 230, 244, 268, 287, 357, 392, 473, 583, 1, 1, 3, 4, 5, 6, 8, 10, 10, 10, 12, 12, 13, 14, 15, 17, 18, 19, 21, 23, 31, 40, 46, 22, 43, 64, 127, 216, 262, 333, 411, 510, 563, 630, 690, 742, 795, 861, 929, 989, 1061, 1141, 1245, 1300, 1354, 1361
Iowa,19,04/12/20, 8, 8, 10, 12, 15, 17, 21, 23, 26, 30, 31, 33, 35, 38, 41, 45, 52, 59, 64, 72, 104, 109, 227, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 5, 6, 9, 13, 2, 4, 7, 11, 17, 28, 52, 59, 74, 77, 87, 95, 110, 131, 142, 146, 153, 157, 163, 185, 195, 197, 200
Kansas,20,04/12/20, 8, 11, 13, 18, 20, 22, 23, 24, 25, 26, 29, 31, 32, 33, 36, 39, 41, 50, 57, 79, 92, 117, 146, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4, 4, 6, 10, 11, 2, 2, 7, 26, 43, 47, 66, 76, 87, 95, 116, 125, 134, 150, 163, 174, 184, 199, 218, 229, 236, 241, 244
Kentucky,21,04/12/20, 5, 5, 10, 13, 18, 20, 24, 28, 30, 35, 37, 40, 48, 52, 61, 67, 76, 82, 97, 117, 136, 145, 270, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 5, 6, 7, 8, 9, 13, 20, 6, 10, 20, 40, 57, 72, 94, 126, 149, 155, 170, 185, 197, 210, 226, 241, 252, 267, 292, 333, 341, 349, 351
Louisiana,22,04/12/20, 97, 105, 118, 156, 170, 199, 224, 246, 274, 294, 306, 329, 371, 394, 441, 474, 531, 646, 712, 805, 1007, 1119, 1282, 7, 9, 10, 13, 14, 16, 18, 20, 22, 23, 25, 27, 31, 33, 34, 37, 42, 49, 56, 69, 86, 95, 99, 31, 54, 144, 278, 526, 625, 830, 1053, 1318, 1412, 1559, 1675, 1777, 1919, 2109, 2287, 2521, 2689, 2855, 3068, 3189, 3277, 3349
Maine,23,04/12/20, 7, 8, 10, 13, 16, 19, 23, 25, 26, 29, 30, 33, 34, 37, 40, 42, 45, 54, 59, 64, 96, 106, 176, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 5, 6, 7, 13, 4, 7, 15, 33, 49, 65, 84, 98, 113, 118, 134, 141, 151, 165, 177, 189, 196, 211, 222, 248, 256, 259, 265
Maryland,24,04/12/20, 28, 42, 61, 76, 90, 107, 112, 119, 129, 136, 144, 152, 175, 180, 185, 208, 230, 247, 263, 309, 434, 500, 680, 1, 2, 4, 4, 5, 6, 7, 8, 8, 9, 10, 12, 12, 14, 14, 16, 17, 18, 20, 24, 34, 39, 55, 13, 33, 45, 114, 179, 214, 350, 431, 502, 540, 597, 681, 753, 824, 886, 950, 1016, 1082, 1146, 1228, 1274, 1304, 1320
Massachusetts,25,04/12/20, 497, 517, 562, 624, 640, 679, 710, 790, 830, 848, 877, 891, 918, 963, 1021, 1149, 1226, 1275, 1356, 1498, 1787, 1986, 3545, 42, 46, 50, 53, 57, 60, 65, 67, 69, 73, 77, 80, 82, 84, 87, 90, 98, 103, 110, 119, 146, 156, 246, 123, 272, 390, 836, 1309, 1731, 2301, 2704, 3058, 3440, 3991, 4436, 4845, 5281, 5675, 6061, 6431, 6904, 7281, 7784, 8125, 8337, 8464
Michigan,26,04/12/20, 656, 736, 938, 1053, 1144, 1201, 1243, 1365, 1471, 1604, 1690, 1768, 1883, 1999, 2119, 2206, 2420, 2549, 2815, 3195, 3913, 4367, 5026, 61, 80, 85, 96, 100, 106, 113, 121, 126, 136, 138, 143, 147, 150, 155, 170, 177, 189, 195, 222, 255, 323, 363, 172, 369, 665, 1555, 2421, 3253, 4120, 4928, 5617, 6156, 6997, 7528, 8118, 8868, 9653, 10472, 11231, 11955, 12648, 13828, 14506, 14879, 15124
Minnesota,27,04/12/20, 17, 20, 22, 28, 34, 36, 40, 42, 47, 48, 53, 58, 60, 66, 71, 88, 98, 107, 123, 147, 189, 293, 323, 0, 0, 1, 1, 2, 2, 3, 3, 3, 4, 4, 5, 5, 6, 6, 6, 7, 8, 9, 11, 14, 17, 19, 6, 13, 26, 48, 67, 85, 136, 176, 206, 224, 264, 291, 317, 351, 384, 404, 435, 455, 468, 495, 512, 525, 532
Mississippi,28,04/12/20, 8, 11, 12, 14, 16, 18, 20, 21, 22, 24, 25, 26, 28, 33, 38, 41, 43, 46, 48, 56, 77, 81, 93, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 4, 5, 6, 8, 9, 2, 3, 3, 11, 18, 29, 46, 48, 61, 67, 83, 90, 100, 109, 113, 118, 125, 137, 145, 157, 161, 163, 167
Missouri,29,04/12/20, 78, 95, 108, 122, 134, 138, 147, 159, 167, 178, 187, 200, 208, 214, 240, 247, 257, 272, 290, 310, 384, 432, 548, 4, 6, 7, 9, 9, 10, 12, 13, 14, 15, 16, 17, 17, 18, 19, 21, 22, 24, 24, 26, 30, 34, 38, 21, 46, 108, 188, 294, 375, 481, 575, 639, 704, 801, 901, 985, 1072, 1156, 1236, 1321, 1403, 1473, 1575, 1657, 1685, 1706
Montana,30,04/12/20, 4, 5, 10, 14, 17, 19, 22, 23, 25, 26, 27, 29, 31, 33, 35, 38, 41, 45, 50, 59, 77, 95, 117, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 4, 5, 5, 6, 7, 9, 10, 1, 3, 9, 20, 33, 46, 65, 78, 93, 102, 113, 122, 128, 151, 157, 168, 185, 193, 209, 232, 246, 262, 266
Nebraska,31,04/12/20, 0, 0, 0, 0, 0, 1, 1, 2, 3, 3, 4, 5, 7, 9, 10, 11, 14, 19, 22, 26, 42, 51, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 4, 4, 7, 0, 0, 0, 1, 10, 11, 14, 22, 27, 29, 38, 38, 42, 44, 46, 46, 47, 47, 50, 54, 54, 56, 57
Nevada,32,04/12/20, 1, 2, 9, 15, 20, 23, 24, 26, 30, 36, 40, 41, 44, 48, 54, 60, 67, 83, 98, 109, 123, 156, 269, 0, 0, 1, 1, 1, 1, 2, 2, 2, 3, 3, 4, 4, 4, 5, 6, 6, 7, 8, 9, 12, 13, 21, 8, 11, 21, 61, 74, 96, 130, 158, 180, 203, 231, 239, 262, 273, 289, 318, 335, 355, 377, 400, 409, 428, 437
New Hampshire,33,04/12/20, 11, 14, 16, 18, 20, 21, 23, 25, 28, 31, 34, 37, 41, 43, 50, 55, 64, 73, 78, 100, 133, 199, 263, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 5, 5, 6, 9, 12, 14, 17, 2, 3, 15, 42, 64, 81, 124, 150, 164, 171, 195, 200, 211, 234, 245, 251, 262, 283, 289, 302, 317, 328, 335
New Jersey,34,04/12/20, 984, 1092, 1163, 1300, 1385, 1444, 1561, 1647, 1726, 1868, 1968, 2049, 2199, 2285, 2405, 2496, 2565, 2699, 2832, 3251, 4144, 4332, 5016, 90, 99, 105, 124, 135, 142, 152, 159, 165, 171, 174, 180, 189, 196, 205, 214, 220, 233, 242, 284, 340, 350, 382, 247, 433, 815, 1683, 2905, 3894, 5104, 6052, 7073, 7935, 8992, 9978, 10804, 11869, 12761, 13777, 14832, 15827, 16679, 17690, 18451, 18865, 19178
New Mexico,35,04/12/20, 1, 2, 3, 5, 7, 8, 9, 10, 11, 13, 15, 17, 21, 23, 28, 29, 32, 40, 56, 74, 102, 128, 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 3, 4, 5, 6, 7, 9, 12, 1, 1, 5, 8, 18, 30, 46, 59, 68, 77, 93, 98, 107, 125, 139, 145, 152, 159, 165, 178, 183, 185, 185
New York,36,04/12/20, 4390, 5800, 6739, 7180, 7599, 8155, 8420, 8844, 9333, 9663, 10084, 10613, 11010, 11452, 11795, 12095, 12778, 13795, 14813, 15811, 16801, 18247, 19896, 563, 648, 706, 760, 801, 825, 880, 912, 944, 998, 1007, 1027, 1034, 1080, 1116, 1158, 1206, 1282, 1367, 1451, 1582, 1729, 1852, 1249, 2719, 5124, 10358, 16039, 21698, 28303, 33512, 38069, 42851, 48595, 54249, 58891, 64397, 69671, 74687, 80206, 85719, 90699, 96631, 101638, 104263, 106030
North Carolina,37,04/12/20, 79, 105, 111, 130, 147, 156, 164, 173, 182, 193, 211, 236, 242, 265, 277, 295, 316, 328, 355, 383, 470, 585, 728, 5, 6, 7, 8, 10, 11, 12, 13, 14, 14, 15, 16, 17, 18, 19, 21, 22, 23, 25, 30, 33, 35, 36, 16, 33, 74, 151, 233, 348, 451, 536, 613, 693, 788, 881, 956, 1042, 1118, 1225, 1315, 1383, 1484, 1574, 1657, 1695, 1721
North Dakota,38,04/12/20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4, 8, 13, 19, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 3, 0, 0, 2, 3, 3, 3, 5, 5, 8, 8, 8, 8, 8, 9, 9, 10, 10, 10, 10, 10, 11, 13, 15
Ohio,39,04/12/20, 37, 44, 49, 58, 64, 73, 82, 85, 90, 95, 103, 109, 118, 126, 138, 148, 182, 189, 227, 250, 348, 391, 449, 1, 2, 3, 4, 4, 4, 5, 6, 6, 6, 7, 8, 9, 10, 11, 11, 12, 15, 18, 21, 29, 32, 34, 13, 23, 41, 90, 156, 213, 292, 338, 404, 446, 481, 520, 572, 638, 720, 759, 805, 848, 878, 918, 957, 975, 1014
Oklahoma,40,04/12/20, 11, 15, 17, 27, 30, 34, 38, 42, 45, 49, 52, 56, 59, 61, 64, 71, 76, 87, 101, 116, 141, 173, 175, 0, 0, 1, 1, 2, 2, 2, 2, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 7, 7, 9, 11, 11, 3, 6, 19, 46, 74, 101, 123, 134, 150, 167, 189, 207, 242, 256, 275, 296, 322, 339, 350, 368, 388, 393, 402
Oregon,41,04/12/20, 16, 27, 34, 41, 51, 57, 65, 69, 74, 83, 90, 98, 106, 114, 128, 141, 150, 162, 183, 209, 263, 298, 644, 0, 1, 1, 2, 3, 3, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 10, 11, 13, 14, 17, 22, 33, 10, 15, 37, 61, 96, 128, 186, 225, 265, 303, 333, 371, 411, 444, 488, 523, 565, 586, 629, 705, 740, 758, 777
Pennsylvania,42,04/12/20, 221, 272, 316, 383, 446, 477, 531, 572, 618, 655, 684, 732, 748, 804, 865, 897, 964, 1028, 1120, 1236, 1525, 2012, 2251, 19, 19, 25, 32, 36, 40, 44, 51, 52, 53, 55, 57, 61, 64, 65, 71, 79, 84, 86, 92, 108, 141, 155, 79, 162, 289, 580, 930, 1275, 1613, 1884, 2145, 2439, 2789, 3196, 3437, 3770, 4144, 4422, 4748, 5026, 5270, 5633, 5902, 6081, 6185
Rhode Island,44,04/12/20, 16, 21, 22, 25, 28, 30, 33, 34, 36, 38, 39, 40, 42, 46, 48, 51, 53, 58, 64, 70, 82, 100, 127, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 5, 5, 5, 6, 8, 9, 10, 4, 7, 16, 31, 44, 66, 91, 107, 124, 137, 153, 163, 178, 189, 205, 225, 244, 262, 272, 288, 296, 309, 312
South Carolina,45,04/12/20, 29, 34, 39, 50, 57, 60, 67, 73, 77, 81, 88, 94, 103, 113, 122, 138, 144, 156, 177, 209, 291, 303, 390, 1, 1, 1, 2, 3, 4, 4, 4, 5, 5, 7, 7, 7, 8, 10, 10, 11, 12, 13, 14, 18, 21, 28, 12, 18, 29, 74, 112, 149, 218, 260, 293, 312, 355, 381, 412, 465, 506, 543, 586, 633, 670, 707, 744, 768, 778
South Dakota,46,04/12/20, 0, 0, 1, 2, 3, 4, 6, 8, 10, 11, 13, 16, 18, 20, 25, 29, 39, 45, 57, 89, 123, 203, 316, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 3, 4, 5, 7, 10, 16, 20, 0, 0, 1, 18, 19, 22, 51, 60, 78, 88, 123, 127, 132, 151, 161, 163, 167, 169, 175, 195, 203, 204, 205
Tennessee,47,04/12/20, 57, 65, 67, 93, 110, 127, 138, 145, 153, 169, 181, 194, 205, 218, 231, 246, 276, 305, 327, 374, 450, 461, 497, 3, 4, 5, 6, 8, 9, 10, 11, 11, 12, 13, 13, 14, 17, 18, 19, 21, 22, 24, 26, 29, 32, 36, 29, 51, 84, 148, 248, 330, 450, 536, 628, 666, 741, 811, 857, 943, 1029, 1100, 1163, 1256, 1323, 1410, 1475, 1504, 1521
Texas,48,04/12/20, 181, 195, 217, 240, 268, 298, 317, 335, 358, 379, 389, 410, 428, 450, 478, 507, 524, 557, 593, 703, 885, 949, 1113, 13, 14, 16, 17, 20, 21, 22, 23, 25, 27, 29, 31, 32, 34, 35, 37, 38, 39, 42, 44, 55, 61, 75, 40, 81, 159, 305, 464, 606, 801, 960, 1104, 1233, 1432, 1556, 1682, 1868, 2058, 2187, 2358, 2547, 2709, 2912, 3029, 3089, 3137
Utah,49,04/12/20, 12, 15, 20, 23, 26, 29, 35, 44, 50, 52, 56, 65, 72, 77, 83, 92, 105, 121, 134, 152, 172, 229, 243, 0, 0, 1, 1, 2, 2, 3, 3, 3, 4, 5, 5, 5, 6, 7, 7, 8, 9, 10, 13, 16, 16, 19, 14, 19, 35, 93, 132, 159, 193, 226, 253, 261, 288, 308, 337, 355, 383, 407, 439, 466, 483, 519, 543, 552, 574
Vermont,50,04/12/20, 13, 15, 21, 27, 34, 37, 41, 46, 48, 52, 56, 62, 64, 67, 71, 78, 87, 96, 103, 117, 128, 158, 196, 0, 0, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 6, 6, 7, 8, 8, 11, 12, 17, 2, 5, 16, 42, 71, 94, 125, 138, 157, 169, 213, 235, 253, 271, 297, 308, 346, 369, 382, 413, 440, 451, 454
Virginia,51,04/12/20, 35, 42, 52, 60, 65, 73, 84, 90, 101, 108, 117, 129, 132, 137, 151, 159, 181, 188, 222, 245, 335, 396, 556, 0, 0, 1, 2, 3, 3, 4, 5, 5, 5, 6, 6, 7, 8, 9, 10, 11, 12, 12, 13, 16, 19, 31, 8, 16, 34, 72, 111, 133, 194, 237, 279, 321, 368, 397, 426, 466, 498, 532, 558, 587, 625, 705, 723, 745, 750
Washington,53,04/12/20, 75, 75, 84, 106, 132, 154, 169, 184, 194, 212, 241, 282, 338, 365, 402, 436, 559, 641, 818, 1002, 1199, 1284, 2020, 5, 6, 7, 10, 12, 12, 13, 14, 14, 17, 22, 25, 27, 29, 33, 38, 42, 50, 62, 75, 83, 87, 140, 111, 162, 221, 347, 531, 640, 851, 1028, 1259, 1353, 1459, 1620, 1782, 1930, 2089, 2256, 2414, 2514, 2632, 2946, 3129, 3239, 3259
West Virginia,54,04/12/20, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 4, 5, 7, 8, 19, 25, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 0, 0, 0, 0, 2, 4, 6, 6, 7, 7, 7, 7, 7, 9, 9, 10, 10, 13, 13, 14, 14, 14, 14
Wisconsin,55,04/12/20, 40, 51, 63, 84, 95, 114, 122, 142, 147, 156, 165, 183, 195, 212, 224, 239, 263, 272, 288, 340, 411, 493, 588, 4, 4, 4, 5, 6, 7, 8, 10, 11, 12, 12, 13, 14, 14, 15, 17, 18, 19, 22, 23, 27, 29, 44, 20, 37, 80, 148, 211, 287, 355, 431, 527, 585, 662, 724, 831, 895, 956, 1020, 1095, 1144, 1201, 1263, 1321, 1369, 1398
Wyoming,56,04/12/20, 0, 0, 0, 1, 1, 2, 2, 2, 2, 3, 3, 4, 5, 5, 7, 8, 10, 11, 14, 19, 28, 39, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 3, 6, 0, 0, 0, 4, 6, 6, 8, 10, 11, 12, 12, 12, 19, 20, 20, 24, 24, 25, 27, 29, 31, 31, 31
US National,US,04/12/20, 12737, 14670, 15301, 16565, 18246, 19300, 20475, 21253, 21645, 22242, 23499, 25079, 26328, 27131, 27995, 28912, 29716, 31947, 33895, 36391, 42732, 48939, 56498, 1457, 1492, 1530, 1592, 1665, 1733, 1805, 1846, 1920, 2021, 2077, 2160, 2245, 2290, 2355, 2422, 2579, 2650, 2737, 2877, 3448, 3776, 4430, 2752, 5739, 10505, 21934, 34543, 46244, 60512, 71984, 82603, 92117, 104286, 115287, 125171, 136776, 147725, 158534, 169844, 181084, 191182, 204384, 214369, 219929, 223410
Alabama,1,04/13/20, 28, 40, 45, 48, 52, 56, 64, 71, 74, 78, 81, 85, 90, 97, 101, 105, 113, 123, 133, 152, 210, 264, 316, 1, 1, 2, 2, 3, 3, 4, 4, 4, 5, 5, 6, 6, 6, 7, 8, 9, 9, 11, 11, 14, 16, 20, 6, 14, 29, 55, 93, 127, 170, 204, 239, 274, 323, 349, 386, 409, 440, 460, 484, 517, 566, 600, 614, 628, 637
Alaska,2,04/13/20, 1, 2, 3, 6, 8, 9, 10, 10, 12, 13, 14, 16, 19, 21, 25, 26, 27, 30, 35, 39, 43, 47, 62, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 4, 4, 5, 6, 7, 1, 2, 4, 10, 18, 24, 44, 61, 69, 73, 80, 87, 89, 98, 105, 111, 123, 136, 144, 157, 165, 167, 172
Arizona,4,04/13/20, 45, 103, 108, 126, 171, 205, 228, 243, 264, 288, 311, 325, 349, 380, 389, 414, 463, 495, 547, 609, 681, 760, 991, 4, 5, 7, 9, 10, 13, 14, 17, 19, 21, 23, 25, 25, 26, 28, 29, 31, 33, 34, 40, 42, 43, 64, 38, 75, 137, 262, 378, 477, 609, 754, 890, 981, 1087, 1196, 1312, 1467, 1578, 1697, 1814, 1935, 2051, 2164, 2293, 2334, 2372
Arkansas,5,04/13/20, 2, 3, 4, 6, 7, 7, 10, 11, 15, 17, 20, 21, 24, 27, 30, 33, 34, 38, 46, 51, 57, 83, 95, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 4, 6, 6, 8, 3, 6, 11, 16, 33, 40, 51, 58, 71, 75, 80, 87, 91, 98, 107, 112, 119, 128, 143, 154, 166, 167, 167
California,6,04/13/20, 169, 256, 377, 472, 542, 634, 689, 816, 889, 993, 1061, 1143, 1272, 1342, 1472, 1566, 1707, 1906, 2173, 2486, 3141, 4379, 5976, 9, 14, 29, 42, 50, 56, 63, 69, 74, 81, 89, 93, 97, 101, 106, 112, 129, 140, 164, 185, 224, 294, 433, 139, 263, 448, 1099, 1680, 2307, 2996, 3520, 4162, 4665, 5239, 5648, 6185, 6795, 7289, 7785, 8234, 8708, 9017, 9766, 10142, 10497, 10573
