forecast_date,location,quantile,target,target_end_date,type,value
2022-12-26,01,,1 day ahead inc hosp,2022-12-27,point,85.76318760957766
2022-12-26,01,,2 day ahead inc hosp,2022-12-28,point,86.34420641229934
2022-12-26,01,,3 day ahead inc hosp,2022-12-29,point,84.89067860680136
2022-12-26,01,,4 day ahead inc hosp,2022-12-30,point,85.74672792352297
2022-12-26,01,,5 day ahead inc hosp,2022-12-31,point,79.11578665719993
2022-12-26,01,,6 day ahead inc hosp,2023-01-01,point,70.63842883674198
2022-12-26,01,,7 day ahead inc hosp,2023-01-02,point,74.17068084775566
2022-12-26,01,,8 day ahead inc hosp,2023-01-03,point,85.76318760957766
2022-12-26,01,,9 day ahead inc hosp,2023-01-04,point,86.34420641229934
2022-12-26,01,,10 day ahead inc hosp,2023-01-05,point,84.89067860680136
2022-12-26,01,,11 day ahead inc hosp,2023-01-06,point,85.74672792352297
2022-12-26,01,,12 day ahead inc hosp,2023-01-07,point,79.11578665719993
2022-12-26,01,,13 day ahead inc hosp,2023-01-08,point,70.63842883674198
2022-12-26,01,,14 day ahead inc hosp,2023-01-09,point,78.72987987584303
2022-12-26,01,,15 day ahead inc hosp,2023-01-10,point,91.03496666197522
2022-12-26,01,,16 day ahead inc hosp,2023-01-11,point,91.65170012081694
2022-12-26,01,,17 day ahead inc hosp,2023-01-12,point,90.10882538628474
2022-12-26,01,,18 day ahead inc hosp,2023-01-13,point,91.01749521515728
2022-12-26,01,,19 day ahead inc hosp,2023-01-14,point,83.97895649076615
2022-12-26,01,,20 day ahead inc hosp,2023-01-15,point,74.98050379705073
2022-12-26,01,,21 day ahead inc hosp,2023-01-16,point,81.92560751403076
2022-12-26,01,,22 day ahead inc hosp,2023-01-17,point,94.73017055993564
2022-12-26,01,,23 day ahead inc hosp,2023-01-18,point,95.37193787076502
2022-12-26,01,,24 day ahead inc hosp,2023-01-19,point,93.76643624744317
2022-12-26,01,,25 day ahead inc hosp,2023-01-20,point,94.71198992893551
