forecast_date,location,quantile,target,target_end_date,type,value
2023-01-09,01,,1 day ahead inc hosp,2023-01-10,point,128.84657204778972
2023-01-09,01,,2 day ahead inc hosp,2023-01-11,point,129.78820345850662
2023-01-09,01,,3 day ahead inc hosp,2023-01-12,point,127.45674966925314
2023-01-09,01,,4 day ahead inc hosp,2023-01-13,point,128.5277694060367
2023-01-09,01,,5 day ahead inc hosp,2023-01-14,point,118.83960992140038
2023-01-09,01,,6 day ahead inc hosp,2023-01-15,point,105.86351807205557
2023-01-09,01,,7 day ahead inc hosp,2023-01-16,point,111.10582318159351
2023-01-09,01,,8 day ahead inc hosp,2023-01-17,point,128.84657204778972
2023-01-09,01,,9 day ahead inc hosp,2023-01-18,point,129.78820345850662
2023-01-09,01,,10 day ahead inc hosp,2023-01-19,point,127.45674966925314
2023-01-09,01,,11 day ahead inc hosp,2023-01-20,point,128.5277694060367
2023-01-09,01,,12 day ahead inc hosp,2023-01-21,point,118.83960992140038
2023-01-09,01,,13 day ahead inc hosp,2023-01-22,point,105.86351807205557
2023-01-09,01,,14 day ahead inc hosp,2023-01-23,point,118.88273134300593
2023-01-09,01,,15 day ahead inc hosp,2023-01-24,point,137.8652528786831
2023-01-09,01,,16 day ahead inc hosp,2023-01-25,point,138.87279425517272
2023-01-09,01,,17 day ahead inc hosp,2023-01-26,point,136.3781491814087
2023-01-09,01,,18 day ahead inc hosp,2023-01-27,point,137.52413548514178
2023-01-09,01,,19 day ahead inc hosp,2023-01-28,point,127.15784838840015
2023-01-09,01,,20 day ahead inc hosp,2023-01-29,point,113.27348844187854
2023-01-09,01,,21 day ahead inc hosp,2023-01-30,point,131.9761672027403
2023-01-09,01,,22 day ahead inc hosp,2023-01-31,point,153.0493744534546
2023-01-09,01,,23 day ahead inc hosp,2023-02-01,point,154.1678838253803
2023-01-09,01,,24 day ahead inc hosp,2023-02-02,point,151.39848500986474
2023-01-09,01,,25 day ahead inc hosp,2023-02-03,point,152.67068727444055
2023-01-09,01,,26 day ahead inc hosp,2023-02-04,point,141.16268418857712
2023-01-09,01,,27 day ahead inc hosp,2023-02-05,point,125.74913682888338
2023-01-09,01,,28 day ahead inc hosp,2023-02-06,point,142.83856038703638
2023-01-09,01,,29 day ahead inc hosp,2023-02-07,point,165.64621308849462
2023-01-09,01,,30 day ahead inc hosp,2023-02-08,point,166.85678217722898
2023-01-09,01,,31 day ahead inc hosp,2023-02-09,point,163.85944600411437
2023-01-09,01,,32 day ahead inc hosp,2023-02-10,point,165.236357789361
2023-01-09,01,,33 day ahead inc hosp,2023-02-11,point,152.78118024818312
2023-01-09,01,,34 day ahead inc hosp,2023-02-12,point,136.09900980801638
2023-01-09,02,,1 day ahead inc hosp,2023-01-10,point,6.313899853574716
2023-01-09,02,,2 day ahead inc hosp,2023-01-11,point,6.709028244877413
2023-01-09,02,,3 day ahead inc hosp,2023-01-12,point,6.742337031348129
2023-01-09,02,,4 day ahead inc hosp,2023-01-13,point,6.380808737249514
2023-01-09,02,,5 day ahead inc hosp,2023-01-14,point,5.790957525778443
2023-01-09,02,,6 day ahead inc hosp,2023-01-15,point,5.461701852737707
2023-01-09,02,,7 day ahead inc hosp,2023-01-16,point,6.058366757200433
2023-01-09,02,,8 day ahead inc hosp,2023-01-17,point,6.313899853574716
2023-01-09,02,,9 day ahead inc hosp,2023-01-18,point,6.709028244877413
2023-01-09,02,,10 day ahead inc hosp,2023-01-19,point,6.742337031348129
2023-01-09,02,,11 day ahead inc hosp,2023-01-20,point,6.380808737249514
2023-01-09,02,,12 day ahead inc hosp,2023-01-21,point,5.790957525778443
2023-01-09,02,,13 day ahead inc hosp,2023-01-22,point,5.461701852737707
2023-01-09,02,,14 day ahead inc hosp,2023-01-23,point,6.356884218203571
2023-01-09,02,,15 day ahead inc hosp,2023-01-24,point,6.625008346812947
2023-01-09,02,,16 day ahead inc hosp,2023-01-25,point,7.039606131248988
2023-01-09,02,,17 day ahead inc hosp,2023-01-26,point,7.074556161105063
2023-01-09,02,,18 day ahead inc hosp,2023-01-27,point,6.695214071183202
2023-01-09,02,,19 day ahead inc hosp,2023-01-28,point,6.076298774773942
2023-01-09,02,,20 day ahead inc hosp,2023-01-29,point,5.730819493708786
2023-01-09,02,,21 day ahead inc hosp,2023-01-30,point,6.73898186944865
2023-01-09,02,,22 day ahead inc hosp,2023-01-31,point,7.023222321128753
2023-01-09,02,,23 day ahead inc hosp,2023-02-01,point,7.462740622315876
2023-01-09,02,,24 day ahead inc hosp,2023-02-02,point,7.499791417871082
2023-01-09,02,,25 day ahead inc hosp,2023-02-03,point,7.097647949694999
2023-01-09,02,,26 day ahead inc hosp,2023-02-04,point,6.441531082050508
2023-01-09,02,,27 day ahead inc hosp,2023-02-05,point,6.075285838083144
2023-01-09,02,,28 day ahead inc hosp,2023-02-06,point,6.831980431400448
2023-01-09,02,,29 day ahead inc hosp,2023-02-07,point,7.120143427133474
2023-01-09,02,,30 day ahead inc hosp,2023-02-08,point,7.5657271208017995
2023-01-09,02,,31 day ahead inc hosp,2023-02-09,point,7.603289220701276
2023-01-09,02,,32 day ahead inc hosp,2023-02-10,point,7.195596136134589
2023-01-09,02,,33 day ahead inc hosp,2023-02-11,point,6.530424796116476
2023-01-09,02,,34 day ahead inc hosp,2023-02-12,point,6.159125334513498
2023-01-09,04,,1 day ahead inc hosp,2023-01-10,point,124.4921728152216
2023-01-09,04,,2 day ahead inc hosp,2023-01-11,point,125.54616632003638
2023-01-09,04,,3 day ahead inc hosp,2023-01-12,point,122.69111599855556
2023-01-09,04,,4 day ahead inc hosp,2023-01-13,point,123.72048668781493
2023-01-09,04,,5 day ahead inc hosp,2023-01-14,point,120.30907804795166
2023-01-09,04,,6 day ahead inc hosp,2023-01-15,point,111.81767564530705
2023-01-09,04,,7 day ahead inc hosp,2023-01-16,point,108.60372224618528
2023-01-09,04,,8 day ahead inc hosp,2023-01-17,point,124.4921728152216
2023-01-09,04,,9 day ahead inc hosp,2023-01-18,point,125.54616632003638
2023-01-09,04,,10 day ahead inc hosp,2023-01-19,point,122.69111599855556
2023-01-09,04,,11 day ahead inc hosp,2023-01-20,point,123.72048668781493
2023-01-09,04,,12 day ahead inc hosp,2023-01-21,point,120.30907804795166
2023-01-09,04,,13 day ahead inc hosp,2023-01-22,point,111.81767564530705
2023-01-09,04,,14 day ahead inc hosp,2023-01-23,point,107.79386229515221
2023-01-09,04,,15 day ahead inc hosp,2023-01-24,point,123.56383239654244
2023-01-09,04,,16 day ahead inc hosp,2023-01-25,point,124.6099662524378
2023-01-09,04,,17 day ahead inc hosp,2023-01-26,point,121.77620609363035
2023-01-09,04,,18 day ahead inc hosp,2023-01-27,point,122.79790074675795
2023-01-09,04,,19 day ahead inc hosp,2023-01-28,point,119.4119310437644
2023-01-09,04,,20 day ahead inc hosp,2023-01-29,point,110.98384918476029
2023-01-09,04,,21 day ahead inc hosp,2023-01-30,point,118.74832532313411
2023-01-09,04,,22 day ahead inc hosp,2023-01-31,point,136.12090572857903
2023-01-09,04,,23 day ahead inc hosp,2023-02-01,point,137.27335208133385
2023-01-09,04,,24 day ahead inc hosp,2023-02-02,point,134.15161336578052
2023-01-09,04,,25 day ahead inc hosp,2023-02-03,point,135.2771369017895
2023-01-09,04,,26 day ahead inc hosp,2023-02-04,point,131.5470707990979
2023-01-09,04,,27 day ahead inc hosp,2023-02-05,point,122.26249201943915
2023-01-09,04,,28 day ahead inc hosp,2023-02-06,point,123.35986036107887
2023-01-09,04,,29 day ahead inc hosp,2023-02-07,point,141.40709670816526
2023-01-09,04,,30 day ahead inc hosp,2023-02-08,point,142.60429776984438
2023-01-09,04,,31 day ahead inc hosp,2023-02-09,point,139.36132780806574
2023-01-09,04,,32 day ahead inc hosp,2023-02-10,point,140.53056051814698
2023-01-09,04,,33 day ahead inc hosp,2023-02-11,point,136.65563906293056
2023-01-09,04,,34 day ahead inc hosp,2023-02-12,point,127.01049805859671
2023-01-09,05,,1 day ahead inc hosp,2023-01-10,point,76.57308041557214
2023-01-09,05,,2 day ahead inc hosp,2023-01-11,point,80.10494127397745
2023-01-09,05,,3 day ahead inc hosp,2023-01-12,point,79.19705238966469
2023-01-09,05,,4 day ahead inc hosp,2023-01-13,point,73.92969319971344
2023-01-09,05,,5 day ahead inc hosp,2023-01-14,point,70.7911274828144
2023-01-09,05,,6 day ahead inc hosp,2023-01-15,point,63.485152820445
2023-01-09,05,,7 day ahead inc hosp,2023-01-16,point,60.407431601806536
