cnty,step_ahead,horizon,fct_date,fct_mean,fct_lb,fct_ub,fct_std
01001,1-step_ahead,2021-01-03,2021-01-10,1227.8910238877393,0.0,7706.928762279718,1946.1941318888178
01001,2-step_ahead,2021-01-03,2021-01-17,662.1763499783058,0.0,2181.786446750748,550.9561734219061
01001,3-step_ahead,2021-01-03,2021-01-24,539.6553776746991,0.0,243.66843863544426,61.53243399884956
01001,4-step_ahead,2021-01-03,2021-01-31,731.9338074455055,0.0,2708.073126552374,683.8568501394884
01003,1-step_ahead,2021-01-03,2021-01-10,1076.2814083544934,1067.575021602166,1084.9877906410622,4.397163898711151
01003,2-step_ahead,2021-01-03,2021-01-17,1047.2444314299157,824.8841433519324,1269.5843746014536,112.29803819432355
01003,3-step_ahead,2021-01-03,2021-01-24,1159.8310434768066,451.8852723081186,902.2682488074443,113.73307487356709
01003,4-step_ahead,2021-01-03,2021-01-31,1102.24908013513,538.4071466593314,1138.2559654897073,151.47697445211512
01005,1-step_ahead,2021-01-03,2021-01-10,169.5857257068661,0.0,622.6959229834042,157.24644519782936
01005,2-step_ahead,2021-01-03,2021-01-17,119.11111969610569,0.0,554.1490896695987,139.9366388054542
01005,3-step_ahead,2021-01-03,2021-01-24,212.62246705053337,0.0,450.3848179917665,113.73353989691074
01005,4-step_ahead,2021-01-03,2021-01-31,0.6592148123362761,0.0,2.8554325370006333,0.7210688224749074
01007,1-step_ahead,2021-01-03,2021-01-10,189.8547472842826,0.0,257.4575594206245,65.0145352072284
01007,2-step_ahead,2021-01-03,2021-01-17,268.74982284262643,0.0,863.4778317683612,218.04995751726292
01007,3-step_ahead,2021-01-03,2021-01-24,251.72273180917927,0.0,837.1129948923423,211.39217042735916
01007,4-step_ahead,2021-01-03,2021-01-31,147.39376310476788,0.0,3.7485250664532463,0.946597239003345
01009,1-step_ahead,2021-01-03,2021-01-10,315.7375912408735,303.69542328557264,327.77975918525965,6.081903004971466
01009,2-step_ahead,2021-01-03,2021-01-17,265.32531755835885,85.95281226568271,444.69782249612746,90.59217430061736
01009,3-step_ahead,2021-01-03,2021-01-24,355.40098423437036,0.0,307.9009978025452,77.75277722286495
01009,4-step_ahead,2021-01-03,2021-01-31,336.6252236675905,0.0,869.7724404043637,219.6395051526171
01011,1-step_ahead,2021-01-03,2021-01-10,80.23148569572447,0.0,186.6177891793215,47.1257043382125
01011,2-step_ahead,2021-01-03,2021-01-17,25.49910677420045,12.596232786580892,38.40198073191892,6.516603016499502
01011,3-step_ahead,2021-01-03,2021-01-24,153.66221064291642,72.04720667111769,233.81344031204526,40.85005900023423
01011,4-step_ahead,2021-01-03,2021-01-31,24.98711412094503,10.50067724321047,32.90289191219629,5.65712491641056
01013,1-step_ahead,2021-01-03,2021-01-10,100.4337840269911,66.37121422051823,134.4963536680885,17.203318042315722
01013,2-step_ahead,2021-01-03,2021-01-17,109.057410651437,0.0,203.9054307186266,51.49127038349157
01013,3-step_ahead,2021-01-03,2021-01-24,119.25696229485416,0.0,283.7021904505062,71.64196728548136
01013,4-step_ahead,2021-01-03,2021-01-31,139.82881419190682,0.0,430.94461546293314,108.82439784417504
01015,1-step_ahead,2021-01-03,2021-01-10,1121.3650063213229,0.0,3938.7368686844957,994.6305223950746
01015,2-step_ahead,2021-01-03,2021-01-17,700.6219204246449,235.9535620056004,1165.2902788414194,234.6809890999543
01015,3-step_ahead,2021-01-03,2021-01-24,608.060954267866,63.08543284248329,1153.0364756712108,275.2401623304868
01015,4-step_ahead,2021-01-03,2021-01-31,885.969038619516,0.0,2656.77634884795,670.903118395947
01017,1-step_ahead,2021-01-03,2021-01-10,295.63418126418344,0.0,962.0997061504685,242.9544712501183
01017,2-step_ahead,2021-01-03,2021-01-17,262.6154397520052,0.0,508.1609811827172,128.32348009664577
01017,3-step_ahead,2021-01-03,2021-01-24,545.3996393149333,0.0,2726.7304552540077,688.5682967813151
01017,4-step_ahead,2021-01-03,2021-01-31,206.33767100501396,36.158608970999474,168.15123123349503,33.33147026830696
01019,1-step_ahead,2021-01-03,2021-01-10,112.55794246392371,0.0,273.32432772007115,69.02129487880585
01019,2-step_ahead,2021-01-03,2021-01-17,133.52362788707444,0.0,581.9473664571528,146.95640567099818
01019,3-step_ahead,2021-01-03,2021-01-24,173.02392120490578,0.0,756.5365643709872,191.04458696237052
01019,4-step_ahead,2021-01-03,2021-01-31,125.17913099405581,0.0,381.963125524438,96.45533472839344
01021,1-step_ahead,2021-01-03,2021-01-10,193.40427420669425,74.75229018169692,206.53737788010525,33.27906255010312
01021,2-step_ahead,2021-01-03,2021-01-17,199.4840673705738,191.534652813157,207.43348184302403,4.014855815622984
01021,3-step_ahead,2021-01-03,2021-01-24,299.4152290234195,0.0,779.9114425358798,196.94733397370703
01021,4-step_ahead,2021-01-03,2021-01-31,199.37117435851982,183.36770521064255,215.3745891430616,8.082546447580567
01023,1-step_ahead,2021-01-03,2021-01-10,9.761318882233534,5.4062035907089525,14.116434173707047,2.199553177524771
01023,2-step_ahead,2021-01-03,2021-01-17,13.137461389893465,0.0,36.95771519634019,9.33275636271217
01023,3-step_ahead,2021-01-03,2021-01-24,9.843569638038721,4.696052382938598,10.79574940324399,1.5403275303801496
01023,4-step_ahead,2021-01-03,2021-01-31,9.850269962154721,0.0,26.007326467384008,6.56750668368283
01025,1-step_ahead,2021-01-03,2021-01-10,103.02627862479193,40.94143334311871,43.268402424590185,0.5876184549170391
01025,2-step_ahead,2021-01-03,2021-01-17,124.81364483313965,80.58298430244814,169.0443053620011,22.33871743928105
01025,3-step_ahead,2021-01-03,2021-01-24,234.1224922429486,0.0,899.1375275730883,227.05493120532532
01025,4-step_ahead,2021-01-03,2021-01-31,29.776800182462754,0.0,25.06392038793259,6.329272825235503
01027,1-step_ahead,2021-01-03,2021-01-10,86.65360307081814,0.0,285.7793842819724,72.16651118231626
01027,2-step_ahead,2021-01-03,2021-01-17,81.44244497014091,0.0,305.03569916130385,77.02921695992522
01027,3-step_ahead,2021-01-03,2021-01-24,94.00563782186909,0.0,289.5744670979957,73.12486542878679
01027,4-step_ahead,2021-01-03,2021-01-31,125.15358913810852,0.0,464.5328091988108,117.30626494919466
01029,1-step_ahead,2021-01-03,2021-01-10,141.09160554775724,0.0,713.1722523527901,180.09400311939143
01029,2-step_ahead,2021-01-03,2021-01-17,56.013283004965544,34.48470977239308,77.54184912393237,10.873014987762446
01029,3-step_ahead,2021-01-03,2021-01-24,87.54265650501034,0.0,300.470984091778,75.87651113428737
01029,4-step_ahead,2021-01-03,2021-01-31,56.233027395382365,26.72556133986217,85.74049345086019,14.90276063409041
01031,1-step_ahead,2021-01-03,2021-01-10,896.373961852046,0.0,3968.10695290761,1002.0472103302045
01031,2-step_ahead,2021-01-03,2021-01-17,406.0598870545874,130.46846992447715,681.6512999480998,139.18758333929864
01031,3-step_ahead,2021-01-03,2021-01-24,507.38440174776144,0.0,1476.5409003210113,372.86386371742714
01031,4-step_ahead,2021-01-03,2021-01-31,578.9099660284805,0.0,2.406985364214077,0.6078245869227467
01033,1-step_ahead,2021-01-03,2021-01-10,394.84686546358915,0.0,810.0540124202893,204.5590940455276
01033,2-step_ahead,2021-01-03,2021-01-17,354.09163884976886,0.0,651.2359317019167,164.4535181065446
01033,3-step_ahead,2021-01-03,2021-01-24,359.87478933916634,91.35913057841614,628.3904480988207,135.61396907080922
01033,4-step_ahead,2021-01-03,2021-01-31,257.61075699297317,0.0,216.3994290399477,54.64632046463326
01035,1-step_ahead,2021-01-03,2021-01-10,38.759244197826206,20.759699301767622,56.75878909385428,9.090679240425926
01035,2-step_ahead,2021-01-03,2021-01-17,43.188959599123365,3.8433185945453134,25.96313566309701,5.5858123910484085
01035,3-step_ahead,2021-01-03,2021-01-24,44.920579614153176,1.3277217868051292,51.79396228463249,12.744000125713981
01035,4-step_ahead,2021-01-03,2021-01-31,50.07579447260432,0.0,137.8530187889038,34.81136838103631
01037,1-step_ahead,2021-01-03,2021-01-10,70.07223155676206,0.0,167.2952508374793,42.246275464009926
01037,2-step_ahead,2021-01-03,2021-01-17,40.87487048284362,11.391506412913365,70.35823455239367,14.890587914010178
01037,3-step_ahead,2021-01-03,2021-01-24,42.903537842423866,15.54000588926856,29.619448629182315,3.5554148333115543
01037,4-step_ahead,2021-01-03,2021-01-31,80.22654570906539,19.97467866826848,110.16183532366979,22.774534508939723
01039,1-step_ahead,2021-01-03,2021-01-10,213.13798417583993,0.0,531.10753661301,134.11806480126515
01039,2-step_ahead,2021-01-03,2021-01-17,191.31699576608216,0.0,411.18502067177053,103.83460117974003
01039,3-step_ahead,2021-01-03,2021-01-24,210.62869993986996,0.0,713.3493448920492,180.13872345758818
01039,4-step_ahead,2021-01-03,2021-01-31,269.5927969098336,0.0,574.5683446545384,145.09301632690364
01041,1-step_ahead,2021-01-03,2021-01-10,209.2431997595493,0.0,710.9077797044257,179.5221665920267
01041,2-step_ahead,2021-01-03,2021-01-17,258.940189726616,0.0,1275.4098067858488,322.07318353178
01041,3-step_ahead,2021-01-03,2021-01-24,108.69563234195203,10.085612978567989,207.3051212364663,49.8029061257319
01041,4-step_ahead,2021-01-03,2021-01-31,184.97422264090568,0.0,2.3983435615678665,0.6056423135272391
01043,1-step_ahead,2021-01-03,2021-01-10,481.7868193622728,202.96982492226434,606.3883239254823,101.87335833414593
01043,2-step_ahead,2021-01-03,2021-01-17,414.26257435898384,69.4010180940881,486.29326650188307,105.27582030499873
01043,3-step_ahead,2021-01-03,2021-01-24,369.44782853333413,46.27711764857585,692.6185390201621,163.21753064939045
01043,4-step_ahead,2021-01-03,2021-01-31,373.9063761113171,0.0,492.00002042643183,124.2424294006141
01045,1-step_ahead,2021-01-03,2021-01-10,293.08635381987364,44.050043139764185,439.10378163937895,99.7610450756603
01045,2-step_ahead,2021-01-03,2021-01-17,394.4044648005523,0.0,1641.5675538616515,414.5372610761746
01045,3-step_ahead,2021-01-03,2021-01-24,513.9273769446435,0.0,2193.5472501252543,553.9260732639531
01045,4-step_ahead,2021-01-03,2021-01-31,241.4743938212041,227.092843765326,255.85594387488982,7.263409118576723
01047,1-step_ahead,2021-01-03,2021-01-10,144.40363473542877,0.0,448.84706366275884,113.34521809665627
01047,2-step_ahead,2021-01-03,2021-01-17,124.4102241731187,13.175509931846735,235.6449384140721,56.17914860662257
01047,3-step_ahead,2021-01-03,2021-01-24,133.73610623702857,76.94663179531369,190.52558067625358,28.681552747712093
01047,4-step_ahead,2021-01-03,2021-01-31,149.53488677680753,0.0,309.53575470077266,78.16559462140724
01049,1-step_ahead,2021-01-03,2021-01-10,330.04795737638915,81.99677417516726,83.99140844880533,0.5036955236459773
01049,2-step_ahead,2021-01-03,2021-01-17,210.89081627405213,151.4151416710649,270.3664908453948,30.038219488467153
01049,3-step_ahead,2021-01-03,2021-01-24,329.71974466963337,0.0,850.9005387828661,214.8738734300167
01049,4-step_ahead,2021-01-03,2021-01-31,465.4917004296648,0.0,1887.3752658133415,476.60991560942966
01051,1-step_ahead,2021-01-03,2021-01-10,876.2112376229691,339.55133851497527,1150.6928254631664,204.83370882530082
01051,2-step_ahead,2021-01-03,2021-01-17,699.8009616980403,0.0,1142.0585549448544,288.39862498607437
01051,3-step_ahead,2021-01-03,2021-01-24,1561.5771345305718,0.0,7423.093330263113,1874.5185177432104
01051,4-step_ahead,2021-01-03,2021-01-31,643.5368540239975,627.8530779056085,659.220615159763,7.921095266200635
01053,1-step_ahead,2021-01-03,2021-01-10,300.4167832839955,0.0,427.6045910055939,107.98095732464492
01053,2-step_ahead,2021-01-03,2021-01-17,194.6908519613853,187.8828919552916,201.4988098674585,3.4383631091330575
01053,3-step_ahead,2021-01-03,2021-01-24,295.22983433965453,0.0,716.1482652710092,180.84552153308314
01053,4-step_ahead,2021-01-03,2021-01-31,305.5041800693909,80.04551787146406,530.9628422654198,113.86801121059487
01055,1-step_ahead,2021-01-03,2021-01-10,1020.3882557414167,0.0,1745.551937288165,440.7959437596376
01055,2-step_ahead,2021-01-03,2021-01-17,708.0417453080157,120.30782798017384,856.4356948567171,185.89087547387456
01055,3-step_ahead,2021-01-03,2021-01-24,695.6438646479808,265.21932482704966,396.19958220074477,33.075822569114926
01055,4-step_ahead,2021-01-03,2021-01-31,883.8465341265382,0.0,1508.7810426508286,381.0053138007143
01057,1-step_ahead,2021-01-03,2021-01-10,91.4549643217111,15.75665518531687,109.42455597327135,23.653510299988504
01057,2-step_ahead,2021-01-03,2021-01-17,82.25017349087136,45.762794353034884,69.74146894847331,6.055220857433946
01057,3-step_ahead,2021-01-03,2021-01-24,131.2234895039112,0.0,284.8057407470664,71.92064160279455
01057,4-step_ahead,2021-01-03,2021-01-31,131.3275866460142,0.0,347.61203370330145,87.78081659174279
01059,1-step_ahead,2021-01-03,2021-01-10,163.7252159802194,159.67957654298286,167.77085349758883,2.0432517562136296
01059,2-step_ahead,2021-01-03,2021-01-17,171.71574706387258,111.43113476359795,232.00035934642204,30.44677388455154
01059,3-step_ahead,2021-01-03,2021-01-24,194.59873597446332,0.0,486.3811421711432,122.8235207502887
01059,4-step_ahead,2021-01-03,2021-01-31,146.05430900952987,99.28406294831561,192.82455506845128,23.621336393973653
01061,1-step_ahead,2021-01-03,2021-01-10,174.39037465964591,7.150519397608513e-08,1.1111935886192298e-07,1.0003576991373195e-08
