forecast_date,location,quantile,target,target_end_date,type,value
2022-11-21,01,,1 day ahead inc hosp,2022-11-22,point,45.07118210815813
2022-11-21,01,,2 day ahead inc hosp,2022-11-23,point,45.17470858858407
2022-11-21,01,,3 day ahead inc hosp,2022-11-24,point,44.51293876082799
2022-11-21,01,,4 day ahead inc hosp,2022-11-25,point,45.1325015651443
2022-11-21,01,,5 day ahead inc hosp,2022-11-26,point,41.78888853532907
2022-11-21,01,,6 day ahead inc hosp,2022-11-27,point,37.16108603191196
2022-11-21,01,,7 day ahead inc hosp,2022-11-28,point,39.08912654040222
2022-11-21,01,,8 day ahead inc hosp,2022-11-29,point,45.07118210815813
2022-11-21,01,,9 day ahead inc hosp,2022-11-30,point,45.17470858858407
2022-11-21,01,,10 day ahead inc hosp,2022-12-01,point,44.51293876082799
2022-11-21,01,,11 day ahead inc hosp,2022-12-02,point,45.1325015651443
2022-11-21,01,,12 day ahead inc hosp,2022-12-03,point,41.78888853532907
2022-11-21,01,,13 day ahead inc hosp,2022-12-04,point,37.16108603191196
2022-11-21,01,,14 day ahead inc hosp,2022-12-05,point,43.050910229273825
2022-11-21,01,,15 day ahead inc hosp,2022-12-06,point,49.639262541720676
2022-11-21,01,,16 day ahead inc hosp,2022-12-07,point,49.753281697676066
2022-11-21,01,,17 day ahead inc hosp,2022-12-08,point,49.024439792812274
2022-11-21,01,,18 day ahead inc hosp,2022-12-09,point,49.70679688366334
2022-11-21,01,,19 day ahead inc hosp,2022-12-10,point,46.024300058383176
2022-11-21,01,,20 day ahead inc hosp,2022-12-11,point,40.927457847608906
2022-11-21,01,,21 day ahead inc hosp,2022-12-12,point,45.1036268157112
2022-11-21,01,,22 day ahead inc hosp,2022-12-13,point,52.0061192937673
2022-11-21,01,,23 day ahead inc hosp,2022-12-14,point,52.12557501334828
2022-11-21,01,,24 day ahead inc hosp,2022-12-15,point,51.36198109374107
2022-11-21,01,,25 day ahead inc hosp,2022-12-16,point,52.076873750293394
2022-11-21,01,,26 day ahead inc hosp,2022-12-17,point,48.218791269042256
2022-11-21,01,,27 day ahead inc hosp,2022-12-18,point,42.87892579839283
2022-11-21,01,,28 day ahead inc hosp,2022-12-19,point,45.98273539465975
2022-11-21,01,,29 day ahead inc hosp,2022-12-20,point,53.019763403048714
2022-11-21,01,,30 day ahead inc hosp,2022-12-21,point,53.14154741760954
2022-11-21,01,,31 day ahead inc hosp,2022-12-22,point,52.36307039407143
2022-11-21,01,,32 day ahead inc hosp,2022-12-23,point,53.09189692494322
2022-11-21,01,,33 day ahead inc hosp,2022-12-24,point,49.158617089354756
2022-11-21,01,,34 day ahead inc hosp,2022-12-25,point,43.714673036181146
2022-11-21,02,,1 day ahead inc hosp,2022-11-22,point,4.8961967929725985
2022-11-21,02,,2 day ahead inc hosp,2022-11-23,point,5.131392345512324
2022-11-21,02,,3 day ahead inc hosp,2022-11-24,point,5.155630443573183
2022-11-21,02,,4 day ahead inc hosp,2022-11-25,point,4.933384129521016
2022-11-21,02,,5 day ahead inc hosp,2022-11-26,point,4.474883097822271
2022-11-21,02,,6 day ahead inc hosp,2022-11-27,point,4.1235157946183785
2022-11-21,02,,7 day ahead inc hosp,2022-11-28,point,4.634738631495523
2022-11-21,02,,8 day ahead inc hosp,2022-11-29,point,4.8961967929725985
2022-11-21,02,,9 day ahead inc hosp,2022-11-30,point,5.131392345512324
2022-11-21,02,,10 day ahead inc hosp,2022-12-01,point,5.155630443573183
2022-11-21,02,,11 day ahead inc hosp,2022-12-02,point,4.933384129521016
2022-11-21,02,,12 day ahead inc hosp,2022-12-03,point,4.474883097822271
2022-11-21,02,,13 day ahead inc hosp,2022-12-04,point,4.1235157946183785
2022-11-21,02,,14 day ahead inc hosp,2022-12-05,point,4.562322969330607
2022-11-21,02,,15 day ahead inc hosp,2022-12-06,point,4.819695967134566
2022-11-21,02,,16 day ahead inc hosp,2022-12-07,point,5.051216697202172
2022-11-21,02,,17 day ahead inc hosp,2022-12-08,point,5.075076086114524
2022-11-21,02,,18 day ahead inc hosp,2022-12-09,point,4.856302268631296
2022-11-21,02,,19 day ahead inc hosp,2022-12-10,point,4.404965104941878
2022-11-21,02,,20 day ahead inc hosp,2022-12-11,point,4.059087754451111
2022-11-21,02,,21 day ahead inc hosp,2022-12-12,point,4.677796694489014
2022-11-21,02,,22 day ahead inc hosp,2022-12-13,point,4.941683877941685
2022-11-21,02,,23 day ahead inc hosp,2022-12-14,point,5.179064465220634
2022-11-21,02,,24 day ahead inc hosp,2022-12-15,point,5.203527742226009
2022-11-21,02,,25 day ahead inc hosp,2022-12-16,point,4.979216695607158
2022-11-21,02,,26 day ahead inc hosp,2022-12-17,point,4.516456056652178
2022-11-21,02,,27 day ahead inc hosp,2022-12-18,point,4.161824449529959
2022-11-21,02,,28 day ahead inc hosp,2022-12-19,point,4.8596904216481605
2022-11-21,02,,29 day ahead inc hosp,2022-12-20,point,5.13383872299086
2022-11-21,02,,30 day ahead inc hosp,2022-12-21,point,5.3804497327518845
2022-11-21,02,,31 day ahead inc hosp,2022-12-22,point,5.405864251746523
2022-11-21,02,,32 day ahead inc hosp,2022-12-23,point,5.172830985036204
2022-11-21,02,,33 day ahead inc hosp,2022-12-24,point,4.692076135793883
2022-11-21,02,,34 day ahead inc hosp,2022-12-25,point,4.323654860372507
2022-11-21,04,,1 day ahead inc hosp,2022-11-22,point,132.72594232703742
2022-11-21,04,,2 day ahead inc hosp,2022-11-23,point,133.25426559573364
2022-11-21,04,,3 day ahead inc hosp,2022-11-24,point,130.36390439777196
2022-11-21,04,,4 day ahead inc hosp,2022-11-25,point,132.06321968939773
2022-11-21,04,,5 day ahead inc hosp,2022-11-26,point,128.29871568786209
2022-11-21,04,,6 day ahead inc hosp,2022-11-27,point,119.07809467694663
2022-11-21,04,,7 day ahead inc hosp,2022-11-28,point,115.0425210977496
2022-11-21,04,,8 day ahead inc hosp,2022-11-29,point,132.72594232703742
2022-11-21,04,,9 day ahead inc hosp,2022-11-30,point,133.25426559573364
2022-11-21,04,,10 day ahead inc hosp,2022-12-01,point,130.36390439777196
2022-11-21,04,,11 day ahead inc hosp,2022-12-02,point,132.06321968939773
2022-11-21,04,,12 day ahead inc hosp,2022-12-03,point,128.29871568786209
2022-11-21,04,,13 day ahead inc hosp,2022-12-04,point,119.07809467694663
2022-11-21,04,,14 day ahead inc hosp,2022-12-05,point,119.58137904607572
2022-11-21,04,,15 day ahead inc hosp,2022-12-06,point,137.9624774145142
2022-11-21,04,,16 day ahead inc hosp,2022-12-07,point,138.51164501315492
2022-11-21,04,,17 day ahead inc hosp,2022-12-08,point,135.50724825015416
2022-11-21,04,,18 day ahead inc hosp,2022-12-09,point,137.2736078889005
2022-11-21,04,,19 day ahead inc hosp,2022-12-10,point,133.36058011766792
2022-11-21,04,,20 day ahead inc hosp,2022-12-11,point,123.77617110415531
2022-11-21,04,,21 day ahead inc hosp,2022-12-12,point,126.07751569479136
2022-11-21,04,,22 day ahead inc hosp,2022-12-13,point,145.45714851489268
2022-11-21,04,,23 day ahead inc hosp,2022-12-14,point,146.03614908412027
