forecast_date,location,si,target_end_date,quantile,values,type,target
2020-04-19,US,si_1,2020-04-20,0.01,2645,quantile,1 day ahead inc death
2020-04-19,US,si_1,2020-04-21,0.01,2574,quantile,2 day ahead inc death
2020-04-19,US,si_1,2020-04-22,0.01,2473.99,quantile,3 day ahead inc death
2020-04-19,US,si_1,2020-04-23,0.01,2393,quantile,4 day ahead inc death
2020-04-19,US,si_1,2020-04-24,0.01,2367,quantile,5 day ahead inc death
2020-04-19,US,si_1,2020-04-25,0.01,2394,quantile,6 day ahead inc death
2020-04-19,US,si_1,2020-04-26,0.01,2450,quantile,7 day ahead inc death
2020-04-19,US,si_1,2020-04-20,0.025,2668,quantile,1 day ahead inc death
2020-04-19,US,si_1,2020-04-21,0.025,2597,quantile,2 day ahead inc death
2020-04-19,US,si_1,2020-04-22,0.025,2497,quantile,3 day ahead inc death
2020-04-19,US,si_1,2020-04-23,0.025,2416,quantile,4 day ahead inc death
2020-04-19,US,si_1,2020-04-24,0.025,2389,quantile,5 day ahead inc death
2020-04-19,US,si_1,2020-04-25,0.025,2417,quantile,6 day ahead inc death
2020-04-19,US,si_1,2020-04-26,0.025,2473,quantile,7 day ahead inc death
2020-04-19,US,si_1,2020-04-20,0.05,2690,quantile,1 day ahead inc death
2020-04-19,US,si_1,2020-04-21,0.05,2618,quantile,2 day ahead inc death
2020-04-19,US,si_1,2020-04-22,0.05,2518,quantile,3 day ahead inc death
2020-04-19,US,si_1,2020-04-23,0.05,2437,quantile,4 day ahead inc death
2020-04-19,US,si_1,2020-04-24,0.05,2409,quantile,5 day ahead inc death
2020-04-19,US,si_1,2020-04-25,0.05,2437,quantile,6 day ahead inc death
2020-04-19,US,si_1,2020-04-26,0.05,2493,quantile,7 day ahead inc death
2020-04-19,US,si_1,2020-04-20,0.1,2718,quantile,1 day ahead inc death
2020-04-19,US,si_1,2020-04-21,0.1,2646,quantile,2 day ahead inc death
2020-04-19,US,si_1,2020-04-22,0.1,2544,quantile,3 day ahead inc death
2020-04-19,US,si_1,2020-04-23,0.1,2462,quantile,4 day ahead inc death
2020-04-19,US,si_1,2020-04-24,0.1,2434,quantile,5 day ahead inc death
2020-04-19,US,si_1,2020-04-25,0.1,2464,quantile,6 day ahead inc death
2020-04-19,US,si_1,2020-04-26,0.1,2519,quantile,7 day ahead inc death
2020-04-19,US,si_1,2020-04-20,0.15,2739,quantile,1 day ahead inc death
2020-04-19,US,si_1,2020-04-21,0.15,2666,quantile,2 day ahead inc death
2020-04-19,US,si_1,2020-04-22,0.15,2565,quantile,3 day ahead inc death
2020-04-19,US,si_1,2020-04-23,0.15,2482,quantile,4 day ahead inc death
2020-04-19,US,si_1,2020-04-24,0.15,2456,quantile,5 day ahead inc death
2020-04-19,US,si_1,2020-04-25,0.15,2483,quantile,6 day ahead inc death
2020-04-19,US,si_1,2020-04-26,0.15,2539,quantile,7 day ahead inc death
2020-04-19,US,si_1,2020-04-20,0.2,2758,quantile,1 day ahead inc death
2020-04-19,US,si_1,2020-04-21,0.2,2686,quantile,2 day ahead inc death
2020-04-19,US,si_1,2020-04-22,0.2,2584,quantile,3 day ahead inc death
2020-04-19,US,si_1,2020-04-23,0.2,2501,quantile,4 day ahead inc death
2020-04-19,US,si_1,2020-04-24,0.2,2476,quantile,5 day ahead inc death
2020-04-19,US,si_1,2020-04-25,0.2,2502,quantile,6 day ahead inc death
2020-04-19,US,si_1,2020-04-26,0.2,2559,quantile,7 day ahead inc death
2020-04-19,US,si_1,2020-04-20,0.25,2782,quantile,1 day ahead inc death
2020-04-19,US,si_1,2020-04-21,0.25,2708,quantile,2 day ahead inc death
2020-04-19,US,si_1,2020-04-22,0.25,2606,quantile,3 day ahead inc death
2020-04-19,US,si_1,2020-04-23,0.25,2523,quantile,4 day ahead inc death
2020-04-19,US,si_1,2020-04-24,0.25,2497,quantile,5 day ahead inc death
2020-04-19,US,si_1,2020-04-25,0.25,2524,quantile,6 day ahead inc death
2020-04-19,US,si_1,2020-04-26,0.25,2581,quantile,7 day ahead inc death
2020-04-19,US,si_1,2020-04-20,0.3,2816,quantile,1 day ahead inc death
2020-04-19,US,si_1,2020-04-21,0.3,2740,quantile,2 day ahead inc death
2020-04-19,US,si_1,2020-04-22,0.3,2637,quantile,3 day ahead inc death
2020-04-19,US,si_1,2020-04-23,0.3,2555,quantile,4 day ahead inc death
2020-04-19,US,si_1,2020-04-24,0.3,2529,quantile,5 day ahead inc death
2020-04-19,US,si_1,2020-04-25,0.3,2555,quantile,6 day ahead inc death
2020-04-19,US,si_1,2020-04-26,0.3,2614,quantile,7 day ahead inc death
2020-04-19,US,si_1,2020-04-20,0.35,3436,quantile,1 day ahead inc death
2020-04-19,US,si_1,2020-04-21,0.35,3675,quantile,2 day ahead inc death
2020-04-19,US,si_1,2020-04-22,0.35,3925,quantile,3 day ahead inc death
2020-04-19,US,si_1,2020-04-23,0.35,4189,quantile,4 day ahead inc death
2020-04-19,US,si_1,2020-04-24,0.35,4476,quantile,5 day ahead inc death
2020-04-19,US,si_1,2020-04-25,0.35,4781,quantile,6 day ahead inc death
2020-04-19,US,si_1,2020-04-26,0.35,5100,quantile,7 day ahead inc death
2020-04-19,US,si_1,2020-04-20,0.4,3516,quantile,1 day ahead inc death
2020-04-19,US,si_1,2020-04-21,0.4,3761,quantile,2 day ahead inc death
2020-04-19,US,si_1,2020-04-22,0.4,4021,quantile,3 day ahead inc death
2020-04-19,US,si_1,2020-04-23,0.4,4300,quantile,4 day ahead inc death
2020-04-19,US,si_1,2020-04-24,0.4,4605,quantile,5 day ahead inc death
2020-04-19,US,si_1,2020-04-25,0.4,4926,quantile,6 day ahead inc death
2020-04-19,US,si_1,2020-04-26,0.4,5271,quantile,7 day ahead inc death
2020-04-19,US,si_1,2020-04-20,0.45,3563,quantile,1 day ahead inc death
2020-04-19,US,si_1,2020-04-21,0.45,3815,quantile,2 day ahead inc death
2020-04-19,US,si_1,2020-04-22,0.45,4071,quantile,3 day ahead inc death
2020-04-19,US,si_1,2020-04-23,0.45,4366,quantile,4 day ahead inc death
2020-04-19,US,si_1,2020-04-24,0.45,4682,quantile,5 day ahead inc death
2020-04-19,US,si_1,2020-04-25,0.45,5021,quantile,6 day ahead inc death
2020-04-19,US,si_1,2020-04-26,0.45,5379,quantile,7 day ahead inc death
2020-04-19,US,si_1,2020-04-20,0.5,3604,quantile,1 day ahead inc death
2020-04-19,US,si_1,2020-04-21,0.5,3854,quantile,2 day ahead inc death
2020-04-19,US,si_1,2020-04-22,0.5,4108,quantile,3 day ahead inc death
2020-04-19,US,si_1,2020-04-23,0.5,4414,quantile,4 day ahead inc death
2020-04-19,US,si_1,2020-04-24,0.5,4744,quantile,5 day ahead inc death
2020-04-19,US,si_1,2020-04-25,0.5,5095,quantile,6 day ahead inc death
2020-04-19,US,si_1,2020-04-26,0.5,5475,quantile,7 day ahead inc death
2020-04-19,US,si_1,2020-04-20,0.55,3645,quantile,1 day ahead inc death
2020-04-19,US,si_1,2020-04-21,0.55,3884,quantile,2 day ahead inc death
2020-04-19,US,si_1,2020-04-22,0.55,4139,quantile,3 day ahead inc death
2020-04-19,US,si_1,2020-04-23,0.55,4451,quantile,4 day ahead inc death
2020-04-19,US,si_1,2020-04-24,0.55,4792,quantile,5 day ahead inc death
2020-04-19,US,si_1,2020-04-25,0.55,5158,quantile,6 day ahead inc death
2020-04-19,US,si_1,2020-04-26,0.55,5553,quantile,7 day ahead inc death
2020-04-19,US,si_1,2020-04-20,0.6,3693.4000000000015,quantile,1 day ahead inc death
2020-04-19,US,si_1,2020-04-21,0.6,3911,quantile,2 day ahead inc death
2020-04-19,US,si_1,2020-04-22,0.6,4165,quantile,3 day ahead inc death
2020-04-19,US,si_1,2020-04-23,0.6,4484,quantile,4 day ahead inc death
2020-04-19,US,si_1,2020-04-24,0.6,4833,quantile,5 day ahead inc death
2020-04-19,US,si_1,2020-04-25,0.6,5208,quantile,6 day ahead inc death
2020-04-19,US,si_1,2020-04-26,0.6,5613,quantile,7 day ahead inc death
2020-04-19,US,si_1,2020-04-20,0.65,3767,quantile,1 day ahead inc death
2020-04-19,US,si_1,2020-04-21,0.65,3935,quantile,2 day ahead inc death
2020-04-19,US,si_1,2020-04-22,0.65,4190,quantile,3 day ahead inc death
2020-04-19,US,si_1,2020-04-23,0.65,4512,quantile,4 day ahead inc death
2020-04-19,US,si_1,2020-04-24,0.65,4869,quantile,5 day ahead inc death
2020-04-19,US,si_1,2020-04-25,0.65,5251,quantile,6 day ahead inc death
2020-04-19,US,si_1,2020-04-26,0.65,5666,quantile,7 day ahead inc death
2020-04-19,US,si_1,2020-04-20,0.7,3854,quantile,1 day ahead inc death
2020-04-19,US,si_1,2020-04-21,0.7,3956,quantile,2 day ahead inc death
2020-04-19,US,si_1,2020-04-22,0.7,4212,quantile,3 day ahead inc death
