"target","location","location_name","type","quantile","value"
"1 wk ahead cum death",1,"Alabama","quantile",0.025,0.175811950358812
"2 wk ahead cum death",1,"Alabama","quantile",0.025,0.112454288523302
"3 wk ahead cum death",1,"Alabama","quantile",0.025,0.0810807415042186
"4 wk ahead cum death",1,"Alabama","quantile",0.025,0.0589335782220732
"5 wk ahead cum death",1,"Alabama","quantile",0.025,0.0420334019332076
"6 wk ahead cum death",1,"Alabama","quantile",0.025,0.0295822773951853
"1 wk ahead cum death",1,"Alabama","quantile",0.5,0.262973024127971
"2 wk ahead cum death",1,"Alabama","quantile",0.5,0.235027610722994
"3 wk ahead cum death",1,"Alabama","quantile",0.5,0.20888835423139
"4 wk ahead cum death",1,"Alabama","quantile",0.5,0.17806036491352
"5 wk ahead cum death",1,"Alabama","quantile",0.5,0.143310048423676
"6 wk ahead cum death",1,"Alabama","quantile",0.5,0.111580423530806
"1 wk ahead cum death",1,"Alabama","quantile",0.975,0.561215025513217
"2 wk ahead cum death",1,"Alabama","quantile",0.975,0.652518100753704
"3 wk ahead cum death",1,"Alabama","quantile",0.975,0.710030904264392
"4 wk ahead cum death",1,"Alabama","quantile",0.975,0.763006056864407
"5 wk ahead cum death",1,"Alabama","quantile",0.975,0.814656549643116
"6 wk ahead cum death",1,"Alabama","quantile",0.975,0.858837299074009
"1 wk ahead cum death",10,"Delaware","quantile",0.025,0.153194282728119
"2 wk ahead cum death",10,"Delaware","quantile",0.025,0.0902842994485057
"3 wk ahead cum death",10,"Delaware","quantile",0.025,0.0595400619973006
"4 wk ahead cum death",10,"Delaware","quantile",0.025,0.0387387635736732
"5 wk ahead cum death",10,"Delaware","quantile",0.025,0.0265290426781976
"6 wk ahead cum death",10,"Delaware","quantile",0.025,0.0192244977059478
"1 wk ahead cum death",10,"Delaware","quantile",0.5,0.222011194037379
"2 wk ahead cum death",10,"Delaware","quantile",0.5,0.176951107893413
"3 wk ahead cum death",10,"Delaware","quantile",0.5,0.144255736629607
"4 wk ahead cum death",10,"Delaware","quantile",0.5,0.110698517557704
"5 wk ahead cum death",10,"Delaware","quantile",0.5,0.0852864626322136
"6 wk ahead cum death",10,"Delaware","quantile",0.5,0.0679664484458938
"1 wk ahead cum death",10,"Delaware","quantile",0.975,0.624794523234502
"2 wk ahead cum death",10,"Delaware","quantile",0.975,0.732764592658081
"3 wk ahead cum death",10,"Delaware","quantile",0.975,0.796204201373092
"4 wk ahead cum death",10,"Delaware","quantile",0.975,0.850562718868623
"5 wk ahead cum death",10,"Delaware","quantile",0.975,0.888184494689589
"6 wk ahead cum death",10,"Delaware","quantile",0.975,0.912809053848158
"1 wk ahead cum death",11,"District of Columbia","quantile",0.025,0.191056729455249
"2 wk ahead cum death",11,"District of Columbia","quantile",0.025,0.136772425107843
"3 wk ahead cum death",11,"District of Columbia","quantile",0.025,0.106786628127894
"4 wk ahead cum death",11,"District of Columbia","quantile",0.025,0.0843329538514893
"5 wk ahead cum death",11,"District of Columbia","quantile",0.025,0.0638653686404217
"6 wk ahead cum death",11,"District of Columbia","quantile",0.025,0.0507597987683066
"1 wk ahead cum death",11,"District of Columbia","quantile",0.5,0.266021312951567
"2 wk ahead cum death",11,"District of Columbia","quantile",0.5,0.237290497035554
"3 wk ahead cum death",11,"District of Columbia","quantile",0.5,0.213727950745947
"4 wk ahead cum death",11,"District of Columbia","quantile",0.5,0.18565337401852
"5 wk ahead cum death",11,"District of Columbia","quantile",0.5,0.149710871713799
"6 wk ahead cum death",11,"District of Columbia","quantile",0.5,0.124109862787531
"1 wk ahead cum death",11,"District of Columbia","quantile",0.975,0.542921957593184
"2 wk ahead cum death",11,"District of Columbia","quantile",0.975,0.625937077856603
"3 wk ahead cum death",11,"District of Columbia","quantile",0.975,0.679485421126159
"4 wk ahead cum death",11,"District of Columbia","quantile",0.975,0.730013672129991
"5 wk ahead cum death",11,"District of Columbia","quantile",0.975,0.786423759645779
"6 wk ahead cum death",11,"District of Columbia","quantile",0.975,0.825130338444163
"1 wk ahead cum death",12,"Florida","quantile",0.025,0.219725436385167
"2 wk ahead cum death",12,"Florida","quantile",0.025,0.158288643658086
