forecast_date,target,location,target_end_date,type,quantile,value
2020-07-06,1 wk ahead cum death,17,2020-07-11,quantile,0.01,7042.94
2020-07-06,1 wk ahead cum death,17,2020-07-11,quantile,0.025,7096.675
2020-07-06,1 wk ahead cum death,17,2020-07-11,quantile,0.05,7130.65
2020-07-06,1 wk ahead cum death,17,2020-07-11,quantile,0.1,7224
2020-07-06,1 wk ahead cum death,17,2020-07-11,quantile,0.15,7294.549999999999
2020-07-06,1 wk ahead cum death,17,2020-07-11,quantile,0.2,7336.8
2020-07-06,1 wk ahead cum death,17,2020-07-11,quantile,0.25,7373.25
2020-07-06,1 wk ahead cum death,17,2020-07-11,quantile,0.3,7391.1
2020-07-06,1 wk ahead cum death,17,2020-07-11,quantile,0.35,7412
2020-07-06,1 wk ahead cum death,17,2020-07-11,quantile,0.4,7432
2020-07-06,1 wk ahead cum death,17,2020-07-11,quantile,0.45,7443
2020-07-06,1 wk ahead cum death,17,2020-07-11,quantile,0.5,7460
2020-07-06,1 wk ahead cum death,17,2020-07-11,quantile,0.55,7470.7
2020-07-06,1 wk ahead cum death,17,2020-07-11,quantile,0.6,7481.200000000001
2020-07-06,1 wk ahead cum death,17,2020-07-11,quantile,0.65,7495
2020-07-06,1 wk ahead cum death,17,2020-07-11,quantile,0.7,7512.9
2020-07-06,1 wk ahead cum death,17,2020-07-11,quantile,0.75,7538.75
2020-07-06,1 wk ahead cum death,17,2020-07-11,quantile,0.8,7573
2020-07-06,1 wk ahead cum death,17,2020-07-11,quantile,0.85,7635
2020-07-06,1 wk ahead cum death,17,2020-07-11,quantile,0.9,7688.9
2020-07-06,1 wk ahead cum death,17,2020-07-11,quantile,0.95,7747.45
2020-07-06,1 wk ahead cum death,17,2020-07-11,quantile,0.975,7800.3
2020-07-06,1 wk ahead cum death,17,2020-07-11,quantile,0.99,7847.389999999999
2020-07-06,1 wk ahead cum death,17,2020-07-11,point,NA,7460
2020-07-06,1 wk ahead cum death,18,2020-07-11,quantile,0.01,2708.9700000000003
2020-07-06,1 wk ahead cum death,18,2020-07-11,quantile,0.025,2716.4750000000004
2020-07-06,1 wk ahead cum death,18,2020-07-11,quantile,0.05,2729.95
2020-07-06,1 wk ahead cum death,18,2020-07-11,quantile,0.1,2739
2020-07-06,1 wk ahead cum death,18,2020-07-11,quantile,0.15,2744
2020-07-06,1 wk ahead cum death,18,2020-07-11,quantile,0.2,2748
2020-07-06,1 wk ahead cum death,18,2020-07-11,quantile,0.25,2751.75
2020-07-06,1 wk ahead cum death,18,2020-07-11,quantile,0.3,2755
2020-07-06,1 wk ahead cum death,18,2020-07-11,quantile,0.35,2758
2020-07-06,1 wk ahead cum death,18,2020-07-11,quantile,0.4,2760
2020-07-06,1 wk ahead cum death,18,2020-07-11,quantile,0.45,2764
