forecast_date,target,location,target_end_date,type,quantile,value
2020-11-09,1 wk ahead cum death,17,2020-11-14,quantile,0.01,10448.2
2020-11-09,1 wk ahead cum death,17,2020-11-14,quantile,0.025,10516.25
2020-11-09,1 wk ahead cum death,17,2020-11-14,quantile,0.05,10568
2020-11-09,1 wk ahead cum death,17,2020-11-14,quantile,0.1,10627
2020-11-09,1 wk ahead cum death,17,2020-11-14,quantile,0.15,10680
2020-11-09,1 wk ahead cum death,17,2020-11-14,quantile,0.2,10735
2020-11-09,1 wk ahead cum death,17,2020-11-14,quantile,0.25,10800
2020-11-09,1 wk ahead cum death,17,2020-11-14,quantile,0.3,10851
2020-11-09,1 wk ahead cum death,17,2020-11-14,quantile,0.35,10897.5
2020-11-09,1 wk ahead cum death,17,2020-11-14,quantile,0.4,10941
2020-11-09,1 wk ahead cum death,17,2020-11-14,quantile,0.45,11003
2020-11-09,1 wk ahead cum death,17,2020-11-14,quantile,0.5,11063
2020-11-09,1 wk ahead cum death,17,2020-11-14,quantile,0.55,11136
2020-11-09,1 wk ahead cum death,17,2020-11-14,quantile,0.6,11186
2020-11-09,1 wk ahead cum death,17,2020-11-14,quantile,0.65,11274.5
2020-11-09,1 wk ahead cum death,17,2020-11-14,quantile,0.7,11363
2020-11-09,1 wk ahead cum death,17,2020-11-14,quantile,0.75,11482
2020-11-09,1 wk ahead cum death,17,2020-11-14,quantile,0.8,11616
2020-11-09,1 wk ahead cum death,17,2020-11-14,quantile,0.85,11747.5
2020-11-09,1 wk ahead cum death,17,2020-11-14,quantile,0.9,11896
2020-11-09,1 wk ahead cum death,17,2020-11-14,quantile,0.95,12083.5
2020-11-09,1 wk ahead cum death,17,2020-11-14,quantile,0.975,12230
2020-11-09,1 wk ahead cum death,17,2020-11-14,quantile,0.99,12314.600000000002
2020-11-09,1 wk ahead cum death,17,2020-11-14,point,NA,11063
2020-11-09,1 wk ahead cum death,18,2020-11-14,quantile,0.01,4552
2020-11-09,1 wk ahead cum death,18,2020-11-14,quantile,0.025,4555.475
2020-11-09,1 wk ahead cum death,18,2020-11-14,quantile,0.05,4563.95
2020-11-09,1 wk ahead cum death,18,2020-11-14,quantile,0.1,4586
2020-11-09,1 wk ahead cum death,18,2020-11-14,quantile,0.15,4604.85
2020-11-09,1 wk ahead cum death,18,2020-11-14,quantile,0.2,4622.8
2020-11-09,1 wk ahead cum death,18,2020-11-14,quantile,0.25,4642
2020-11-09,1 wk ahead cum death,18,2020-11-14,quantile,0.3,4670
2020-11-09,1 wk ahead cum death,18,2020-11-14,quantile,0.35,4690
2020-11-09,1 wk ahead cum death,18,2020-11-14,quantile,0.4,4712.6
2020-11-09,1 wk ahead cum death,18,2020-11-14,quantile,0.45,4738.55
2020-11-09,1 wk ahead cum death,18,2020-11-14,quantile,0.5,4774
2020-11-09,1 wk ahead cum death,18,2020-11-14,quantile,0.55,4800
2020-11-09,1 wk ahead cum death,18,2020-11-14,quantile,0.6,4827
2020-11-09,1 wk ahead cum death,18,2020-11-14,quantile,0.65,4861
2020-11-09,1 wk ahead cum death,18,2020-11-14,quantile,0.7,4892.299999999999
2020-11-09,1 wk ahead cum death,18,2020-11-14,quantile,0.75,4920.5
2020-11-09,1 wk ahead cum death,18,2020-11-14,quantile,0.8,4954
2020-11-09,1 wk ahead cum death,18,2020-11-14,quantile,0.85,5001.75
2020-11-09,1 wk ahead cum death,18,2020-11-14,quantile,0.9,5080
2020-11-09,1 wk ahead cum death,18,2020-11-14,quantile,0.95,5165.0999999999995
2020-11-09,1 wk ahead cum death,18,2020-11-14,quantile,0.975,5274.525
2020-11-09,1 wk ahead cum death,18,2020-11-14,quantile,0.99,5309.01
2020-11-09,1 wk ahead cum death,18,2020-11-14,point,NA,4774
2020-11-09,1 wk ahead cum death,21,2020-11-14,quantile,0.01,1573.92
2020-11-09,1 wk ahead cum death,21,2020-11-14,quantile,0.025,1582
2020-11-09,1 wk ahead cum death,21,2020-11-14,quantile,0.05,1591.95
2020-11-09,1 wk ahead cum death,21,2020-11-14,quantile,0.1,1612.9
2020-11-09,1 wk ahead cum death,21,2020-11-14,quantile,0.15,1626
2020-11-09,1 wk ahead cum death,21,2020-11-14,quantile,0.2,1636
2020-11-09,1 wk ahead cum death,21,2020-11-14,quantile,0.25,1646
2020-11-09,1 wk ahead cum death,21,2020-11-14,quantile,0.3,1663
2020-11-09,1 wk ahead cum death,21,2020-11-14,quantile,0.35,1680
