location,forecast_date,value,target_end_date,target,type,quantile
01001,2020-08-08,123,2020-08-22,2 wk ahead inc case,point,NA
01003,2020-08-08,870,2020-08-22,2 wk ahead inc case,point,NA
01005,2020-08-08,48,2020-08-22,2 wk ahead inc case,point,NA
01007,2020-08-08,8,2020-08-22,2 wk ahead inc case,point,NA
01009,2020-08-08,83,2020-08-22,2 wk ahead inc case,point,NA
01011,2020-08-08,40,2020-08-22,2 wk ahead inc case,point,NA
01013,2020-08-08,15,2020-08-22,2 wk ahead inc case,point,NA
01015,2020-08-08,302,2020-08-22,2 wk ahead inc case,point,NA
01017,2020-08-08,55,2020-08-22,2 wk ahead inc case,point,NA
01019,2020-08-08,47,2020-08-22,2 wk ahead inc case,point,NA
01021,2020-08-08,149,2020-08-22,2 wk ahead inc case,point,NA
01023,2020-08-08,0,2020-08-22,2 wk ahead inc case,point,NA
01025,2020-08-08,48,2020-08-22,2 wk ahead inc case,point,NA
01027,2020-08-08,112,2020-08-22,2 wk ahead inc case,point,NA
01029,2020-08-08,0,2020-08-22,2 wk ahead inc case,point,NA
01031,2020-08-08,101,2020-08-22,2 wk ahead inc case,point,NA
01033,2020-08-08,150,2020-08-22,2 wk ahead inc case,point,NA
01035,2020-08-08,11,2020-08-22,2 wk ahead inc case,point,NA
01037,2020-08-08,0,2020-08-22,2 wk ahead inc case,point,NA
01039,2020-08-08,11,2020-08-22,2 wk ahead inc case,point,NA
01041,2020-08-08,24,2020-08-22,2 wk ahead inc case,point,NA
01043,2020-08-08,187,2020-08-22,2 wk ahead inc case,point,NA
01045,2020-08-08,100,2020-08-22,2 wk ahead inc case,point,NA
01047,2020-08-08,75,2020-08-22,2 wk ahead inc case,point,NA
01049,2020-08-08,163,2020-08-22,2 wk ahead inc case,point,NA
01051,2020-08-08,199,2020-08-22,2 wk ahead inc case,point,NA
01053,2020-08-08,97,2020-08-22,2 wk ahead inc case,point,NA
01055,2020-08-08,380,2020-08-22,2 wk ahead inc case,point,NA
01057,2020-08-08,95,2020-08-22,2 wk ahead inc case,point,NA
01059,2020-08-08,186,2020-08-22,2 wk ahead inc case,point,NA
01061,2020-08-08,38,2020-08-22,2 wk ahead inc case,point,NA
01063,2020-08-08,21,2020-08-22,2 wk ahead inc case,point,NA
01065,2020-08-08,44,2020-08-22,2 wk ahead inc case,point,NA
01067,2020-08-08,27,2020-08-22,2 wk ahead inc case,point,NA
