location,forecast_date,value,target_end_date,target,type,quantile
01041,2020-09-21,33,2020-09-26,1 wk ahead inc case,point,NA
01041,2020-09-21,86,2020-10-03,2 wk ahead inc case,point,NA
01043,2020-09-21,230,2020-09-26,1 wk ahead inc case,point,NA
01043,2020-09-21,322,2020-10-03,2 wk ahead inc case,point,NA
01045,2020-09-21,106,2020-09-26,1 wk ahead inc case,point,NA
01045,2020-09-21,257,2020-10-03,2 wk ahead inc case,point,NA
01047,2020-09-21,125,2020-09-26,1 wk ahead inc case,point,NA
01047,2020-09-21,171,2020-10-03,2 wk ahead inc case,point,NA
01049,2020-09-21,161,2020-09-26,1 wk ahead inc case,point,NA
01049,2020-09-21,211,2020-10-03,2 wk ahead inc case,point,NA
01051,2020-09-21,216,2020-09-26,1 wk ahead inc case,point,NA
01051,2020-09-21,228,2020-10-03,2 wk ahead inc case,point,NA
01053,2020-09-21,115,2020-09-26,1 wk ahead inc case,point,NA
01053,2020-09-21,271,2020-10-03,2 wk ahead inc case,point,NA
01055,2020-09-21,280,2020-09-26,1 wk ahead inc case,point,NA
01055,2020-09-21,515,2020-10-03,2 wk ahead inc case,point,NA
01057,2020-09-21,31,2020-09-26,1 wk ahead inc case,point,NA
01057,2020-09-21,0,2020-10-03,2 wk ahead inc case,point,NA
01059,2020-09-21,75,2020-09-26,1 wk ahead inc case,point,NA
01059,2020-09-21,59,2020-10-03,2 wk ahead inc case,point,NA
01061,2020-09-21,75,2020-09-26,1 wk ahead inc case,point,NA
01061,2020-09-21,245,2020-10-03,2 wk ahead inc case,point,NA
01063,2020-09-21,8,2020-09-26,1 wk ahead inc case,point,NA
01063,2020-09-21,19,2020-10-03,2 wk ahead inc case,point,NA
01065,2020-09-21,27,2020-09-26,1 wk ahead inc case,point,NA
01065,2020-09-21,33,2020-10-03,2 wk ahead inc case,point,NA
01067,2020-09-21,46,2020-09-26,1 wk ahead inc case,point,NA
01067,2020-09-21,118,2020-10-03,2 wk ahead inc case,point,NA
01069,2020-09-21,288,2020-09-26,1 wk ahead inc case,point,NA
01069,2020-09-21,819,2020-10-03,2 wk ahead inc case,point,NA
01071,2020-09-21,132,2020-09-26,1 wk ahead inc case,point,NA
01071,2020-09-21,189,2020-10-03,2 wk ahead inc case,point,NA
01073,2020-09-21,981,2020-09-26,1 wk ahead inc case,point,NA
01073,2020-09-21,1253,2020-10-03,2 wk ahead inc case,point,NA
01075,2020-09-21,30,2020-09-26,1 wk ahead inc case,point,NA
01075,2020-09-21,61,2020-10-03,2 wk ahead inc case,point,NA
01077,2020-09-21,101,2020-09-26,1 wk ahead inc case,point,NA
01077,2020-09-21,159,2020-10-03,2 wk ahead inc case,point,NA
01079,2020-09-21,17,2020-09-26,1 wk ahead inc case,point,NA
01079,2020-09-21,17,2020-10-03,2 wk ahead inc case,point,NA
